date,link
11/30/2018,/events/ufc-the-ultimate-fighter-28-finale-dos-anjos-vs-usman-1586
11/24/2018,/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
11/17/2018,/events/ufc-fight-night-140-magny-vs-ponzinibbio-1578
11/10/2018,/events/ufc-fight-night-139-korean-zombie-vs-rodriguez-1559
11/3/2018,/events/ufc-230-cormier-vs-lewis-1562
10/27/2018,/events/ufc-fight-night-138-volkan-vs-smith-1564
10/6/2018,/events/ufc-229-nurmagomedov-vs-mcgregor-1566
9/22/2018,/events/ufc-fight-night-137-santos-vs-anders-1544
9/15/2018,/events/ufc-fight-night-136-hunt-vs-oleinik-1539
9/8/2018,/events/ufc-228-woodley-vs-till-1530
8/25/2018,/events/ufc-fight-night-135-gaethje-vs-vick-1528
8/4/2018,/events/ufc-227-dillashaw-vs-garbrandt-2-1492
7/28/2018,/events/ufc-on-fox-30-alvarez-vs-poirier-2-1502
7/22/2018,/events/ufc-fight-night-134-shogun-vs-smith-1507
7/14/2018,/events/ufc-fight-night-133-dos-santos-vs-ivanov-1504
7/7/2018,/events/ufc-226-miocic-vs-cormier-1447
7/6/2018,/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
6/23/2018,/events/ufc-fight-night-132-cowboy-vs-edwards-1475
6/9/2018,/events/ufc-225-whittaker-vs-romero-2-1459
6/1/2018,/events/ufc-fight-night-131-rivera-vs-moraes-1467
5/27/2018,/events/ufc-fight-night-130-thompson-vs-till-1478
5/19/2018,/events/ufc-fight-night-129-maia-vs-usman-1468
5/12/2018,/events/ufc-224-nunes-vs-pennington-1453
4/21/2018,/events/ufc-fight-night-128-barboza-vs-lee-1455
4/14/2018,/events/ufc-on-fox-29-poirier-vs-gaethje-1446
4/7/2018,/events/ufc-223-nurmagomedov-vs-iaquinta-1444
3/17/2018,/events/ufc-fight-night-127-werdum-vs-volkov-1423
3/3/2018,/events/ufc-222-cyborg-vs-kunitskaya-1422
2/24/2018,/events/ufc-on-fox-28-stephens-vs-emmett-1425
2/18/2018,/events/ufc-fight-night-126-cerrone-vs-medeiros-1412
2/10/2018,/events/ufc-221-romero-vs-rockhold-1411
2/3/2018,/events/ufc-fight-night-125-machida-vs-anders-1418
1/27/2018,/events/ufc-on-fox-27-jacare-vs-brunson-2-1413
1/20/2018,/events/ufc-220-miocic-vs-ngannou-1406
1/14/2018,/events/ufc-fight-night-124-stephens-vs-choi-1408
12/30/2017,/events/ufc-219-cyborg-vs-holm-1387
12/16/2017,/events/ufc-on-fox-26-lawler-vs-dos-anjos-1365
12/9/2017,/events/ufc-fight-night-123-swanson-vs-ortega-1386
12/2/2017,/events/ufc-218-holloway-vs-aldo-2-1368
12/1/2017,/events/ufc-the-ultimate-fighter-26-finale-1364
11/25/2017,/events/ufc-fight-night-122-bisping-vs-gastelum-1363
11/18/2017,/events/ufc-fight-night-121-werdum-vs-tybura-1354
11/11/2017,/events/ufc-fight-night-120-poirier-vs-pettis-1353
11/4/2017,/events/ufc-217-bisping-vs-st-pierre-1348
10/28/2017,/events/ufc-fight-night-119-machida-vs-brunson-1352
10/21/2017,/events/ufc-fight-night-118-cerrone-vs-till-1356
10/7/2017,/events/ufc-216-ferguson-vs-lee-1341
9/22/2017,/events/ufc-fight-night-117-saint-preux-vs-okami-1332
9/16/2017,/events/ufc-fight-night-116-rockhold-vs-branch-1343
9/9/2017,/events/ufc-215-nunes-vs-shevchenko-2-1308
9/2/2017,/events/ufc-fight-night-115-volkov-vs-struve-1310
8/5/2017,/events/ufc-fight-night-114-pettis-vs-moreno-1307
7/29/2017,/events/ufc-214-cormier-vs-jones-2-1303
7/22/2017,/events/ufc-on-fox-25-weidman-vs-gastelum-1292
7/16/2017,/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
7/8/2017,/events/ufc-213-romero-vs-whittaker-1282
7/7/2017,/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
6/25/2017,/events/ufc-fight-night-112-chiesa-vs-lee-1276
6/17/2017,/events/ufc-fight-night-111-holm-vs-correia-1277
6/10/2017,/events/ufc-fight-night-110-lewis-vs-hunt-1275
6/3/2017,/events/ufc-212-aldo-vs-holloway-1257
5/28/2017,/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
5/13/2017,/events/ufc-211-miocic-vs-dos-santos-2-1252
4/22/2017,/events/ufc-fight-night-108-swanson-vs-lobov-1258
4/15/2017,/events/ufc-on-fox-24-johnson-vs-reis-1259
4/8/2017,/events/ufc-210-cormier-vs-johnson-2-1248
3/18/2017,/events/ufc-fight-night-107-manuwa-vs-anderson-1246
3/11/2017,/events/ufc-fight-night-106-belfort-vs-gastelum-1231
3/4/2017,/events/ufc-209-woodley-vs-thompson-2-1234
2/19/2017,/events/ufc-fight-night-105-lewis-vs-browne-1228
2/11/2017,/events/ufc-208-holm-vs-de-randamie-1229
2/4/2017,/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
1/28/2017,/events/ufc-on-fox-23-shevchenko-vs-pena-1225
1/15/2017,/events/ufc-fight-night-103-rodriguez-vs-penn-1219
12/30/2016,/events/ufc-207-nunes-vs-rousey-1210
12/17/2016,/events/ufc-on-fox-22-vanzant-vs-waterson-1207
12/10/2016,/events/ufc-206-holloway-vs-pettis-1204
12/9/2016,/events/ufc-fight-night-102-lewis-vs-abdurakhimov-1203
12/3/2016,/events/ufc-the-ultimate-fighter-24-finale-1135
11/26/2016,/events/ufc-fight-night-101-whittaker-vs-brunson-1191
11/19/2016,/events/ufc-fight-night-99-mousasi-vs-hall-2-1184
11/12/2016,/events/ufc-205-alvarez-vs-mcgregor-1188
11/5/2016,/events/ufc-fight-night-98-dos-anjos-vs-ferguson-1164
10/8/2016,/events/ufc-204-bisping-vs-henderson-2-1168
10/1/2016,/events/ufc-fight-night-96-lineker-vs-dodson-1165
9/24/2016,/events/ufc-fight-night-95-cyborg-vs-lansberg-1167
9/17/2016,/events/ufc-fight-night-94-johnson-vs-poirier-1160
9/10/2016,/events/ufc-203-miocic-vs-overeem-1138
9/3/2016,/events/ufc-fight-night-93-arlovski-vs-barnett-1139
8/27/2016,/events/ufc-on-fox-21-maia-vs-condit-1150
8/20/2016,/events/ufc-202-diaz-vs-mcgregor-2-1143
8/6/2016,/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
7/30/2016,/events/ufc-201-lawler-vs-woodley-1129
7/23/2016,/events/ufc-on-fox-20-holm-vs-shevchenko-1114
7/13/2016,/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
7/9/2016,/events/ufc-200-tate-vs-nunes-1102
7/8/2016,/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
7/7/2016,/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
6/18/2016,/events/ufc-fight-night-89-macdonald-vs-thompson-1098
6/4/2016,/events/ufc-199-rockhold-vs-bisping-ii-1081
5/29/2016,/events/ufc-fight-night-88-almeida-vs-garbrandt-1104
5/14/2016,/events/ufc-198-werdum-vs-miocic-1070
5/8/2016,/events/ufc-fight-night-87-overeem-vs-arlovski-1088
4/23/2016,/events/ufc-197-jones-vs-saint-preux-1080
4/16/2016,/events/ufc-on-fox-19-evans-vs-teixeira-1073
4/10/2016,/events/ufc-fight-night-86-rothwell-vs-dos-santos-1077
3/19/2016,/events/ufc-fight-night-85-hunt-vs-mir-1062
3/5/2016,/events/ufc-196-mcgregor-vs-diaz-1060
2/27/2016,/events/ufc-fight-night-84-silva-vs-bisping-1052
2/21/2016,/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
2/6/2016,/events/ufc-fight-night-82-hendricks-vs-thompson-1056
1/30/2016,/events/ufc-on-fox-18-johnson-vs-bader-1038
1/17/2016,/events/ufc-fight-night-81-dillashaw-vs-cruz-1022
1/2/2016,/events/ufc-195-lawler-vs-condit-1012
12/19/2015,/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
12/12/2015,/events/ufc-194-aldo-vs-mcgregor-1005
12/11/2015,/events/ufc-the-ultimate-fighter-22-finale-edgar-vs-mendes-1011
12/10/2015,/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
11/28/2015,/events/ufc-fight-night-79-henderson-vs-masvidal-1013
11/21/2015,/events/ufc-fight-night-78-magny-vs-gastelum-999
11/14/2015,/events/ufc-193-rousey-vs-holm-1002
11/7/2015,/events/ufc-fight-night-77-belfort-vs-henderson-3-997
10/24/2015,/events/ufc-fight-night-76-holohan-vs-smolka-976
10/3/2015,/events/ufc-192-cormier-vs-gustafsson-990
9/26/2015,/events/ufc-fight-night-75-nelson-vs-barnett-1003
9/5/2015,/events/ufc-191-johnson-vs-dodson-ii-992
8/23/2015,/events/ufc-fight-night-74-holloway-vs-oliveira-984
8/8/2015,/events/ufc-fight-night-73-saint-preux-vs-teixeira-979
8/1/2015,/events/ufc-190-rousey-vs-correia-960
7/25/2015,/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
7/18/2015,/events/ufc-fight-night-72-bisping-vs-leites-975
7/15/2015,/events/ufc-fight-night-71-mir-vs-duffee-965
7/12/2015,/events/ufc-the-ultimate-fighter-21-finale-ellenberger-vs-thompson-971
7/11/2015,/events/ufc-189-mendes-vs-mcgregor-942
6/27/2015,/events/ufc-fight-night-70-machida-vs-romero-973
6/20/2015,/events/ufc-fight-night-69-jedrzejczyk-vs-penne-964
6/13/2015,/events/ufc-188-velasquez-vs-werdum-930
6/6/2015,/events/ufc-fight-night-68-henderson-vs-boetsch-947
5/30/2015,/events/ufc-fight-night-67-alves-vs-condit-957
5/23/2015,/events/ufc-187-johnson-vs-cormier-945
5/16/2015,/events/ufc-fight-night-66-edgar-vs-faber-946
5/9/2015,/events/ufc-fight-night-65-hunt-vs-miocic-950
4/25/2015,/events/ufc-186-johnson-vs-horiguchi-929
4/18/2015,/events/ufc-on-fox-15-machida-vs-rockhold-927
4/11/2015,/events/ufc-fight-night-64-gonzaga-vs-cro-cop-ii-936
4/4/2015,/events/ufc-fight-night-63-mendes-vs-lamas-932
3/21/2015,/events/ufc-fight-night-62-maia-vs-laflare-934
3/14/2015,/events/ufc-185-pettis-vs-dos-anjos-925
2/28/2015,/events/ufc-184-rousey-vs-zingano-896
2/22/2015,/events/ufc-fight-night-61-bigfoot-vs-mir-923
2/14/2015,/events/ufc-fight-night-60-henderson-vs-thatch-915
1/31/2015,/events/ufc-183-silva-vs-diaz-856
1/24/2015,/events/ufc-on-fox-14-gustafsson-vs-johnson-906
1/18/2015,/events/ufc-fight-night-59-mcgregor-vs-siver-895
1/3/2015,/events/ufc-182-jones-vs-cormier-864
12/20/2014,/events/ufc-fight-night-58-machida-vs-dollaway-880
12/13/2014,/events/ufc-on-fox-13-dos-santos-vs-miocic-879
12/12/2014,/events/ufc-the-ultimate-fighter-20-finale-912
12/6/2014,/events/ufc-181-hendricks-vs-lawler-2-853
11/22/2014,/events/ufc-fight-night-57-edgar-vs-swanson-892
11/15/2014,/events/ufc-180-werdum-vs-hunt-824
11/8/2014,/events/ufc-fight-night-56-shogun-vs-st-preux-893
11/7/2014,/events/ufc-fight-night-55-rockhold-vs-bisping-894
10/25/2014,/events/ufc-179-aldo-vs-mendes-ii-855
10/4/2014,/events/ufc-fight-night-53-nelson-vs-story-860
9/27/2014,/events/ufc-178-johnson-vs-cariaso-836
9/20/2014,/events/ufc-fight-night-52-hunt-vs-nelson-847
9/13/2014,/events/ufc-fight-night-51-big-foot-vs-arlovski-ii-850
9/5/2014,/events/ufc-fight-night-50-souza-vs-mousasi-851
8/30/2014,/events/ufc-177-dillashaw-vs-soto-849
8/23/2014,/events/ufc-fight-night-49-henderson-vs-dos-anjos-846
8/16/2014,/events/ufc-fight-night-47-bader-vs-saint-preux-845
7/26/2014,/events/ufc-on-fox-12-lawler-vs-brown-829
7/19/2014,/events/ufc-fight-night-46-mcgregor-vs-brandao-827
7/16/2014,/events/ufc-fight-night-45-cerrone-vs-miller-826
7/6/2014,/events/ufc-the-ultimate-fighter-19-finale-832
7/5/2014,/events/ufc-175-weidman-vs-machida-805
6/28/2014,/events/ufc-fight-night-43-te-huna-vs-marquardt-823
6/14/2014,/events/ufc-174-johnson-vs-bagautinov-807
6/7/2014,/events/ufc-fight-night-42-henderson-vs-khabilov-822
5/31/2014,/events/ufc-the-ultimate-fighter-brazil-3-finale-812
5/24/2014,/events/ufc-173-barao-vs-dillashaw-786
5/10/2014,/events/ufc-fight-night-40-brown-vs-silva-794
4/26/2014,/events/ufc-172-jones-vs-teixeira-772
4/19/2014,/events/ufc-on-fox-11-werdum-vs-browne-779
4/16/2014,/events/ufc-the-ultimate-fighter-nations-finale-806
4/11/2014,/events/ufc-fight-night-39-minotauro-vs-nelson-790
3/23/2014,/events/ufc-fight-night-38-shogun-vs-henderson-784
3/15/2014,/events/ufc-171-hendricks-vs-lawler-771
3/8/2014,/events/ufc-fight-night-37-gustafsson-vs-manuwa-751
3/1/2014,/events/ufc-the-ultimate-fighter-china-finale-778
2/22/2014,/events/ufc-170-rousey-vs-mcmann-756
2/15/2014,/events/ufc-fight-night-36-machida-vs-mousasi-758
2/1/2014,/events/ufc-169-barao-vs-faber-737
1/25/2014,/events/ufc-on-fox-10-henderson-vs-thomson-777
1/15/2014,/events/ufc-fight-night-35-rockhold-vs-philippou-762
1/4/2014,/events/ufc-fight-night-34-saffiedine-vs-lim-761
12/28/2013,/events/ufc-168-weidman-vs-silva-ii-706
12/14/2013,/events/ufc-on-fox-9-johnson-vs-benavidez-729
12/6/2013,/events/ufc-fight-night-33-hunt-vs-bigfoot-728
11/30/2013,/events/ufc-the-ultimate-fighter-18-finale-720
11/16/2013,/events/ufc-167-st-pierre-vs-hendricks-699
