Ludovit Klein,Michael Trizano,,,,,2021-05-08,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,3,1,0,0,3.22,0.53,0.9,0.29,0.5,2,1,8,0,0,2,0,0,0,0,2,Orthodox,180.34,180.34,145,0,1,0,3.32,0.54,0.0,3.69,0.57,1,0,1,0,0,0,0,1,0,0,1,Southpaw,170.18,182.88,145,26,29,1,-1,1,1,1,7,0,-1,0,10.159999999999997,-2.539999999999992,3,-0.0999999999999996,0.9,-3.4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junyong Park,Tafon Nchukwi,,,,,2021-05-08,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,0,2,0,6.08,0.51,0.0,0.41,0.25,2,0,5,0,0,0,1,1,0,0,2,Orthodox,182.88,195.58,205,0,2,0,4.37,0.47,0.6,3.02,0.57,2,1,8,0,0,0,2,0,0,0,2,Orthodox,177.8,185.42,185,30,26,0,0,0,0,-1,-3,0,1,0,5.079999999999984,10.159999999999997,-4,1.71,-0.6,-2.61,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,M-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Aguilera,Carlston Harris,,,,,2021-05-08,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,0,0,0,1.74,0.38,5.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,193.04,170,1,0,0,2.54,0.37,0.0,0.0,0.0,1,1,3,0,0,0,0,1,0,0,1,Switch,175.26,182.88,170,29,33,-1,0,-1,-1,-1,-3,0,-1,0,7.620000000000003,10.159999999999997,4,-0.8,5.2,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Anaconda Choke,1,2:52,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominick Reyes,Jiri Prochazka,,,,,2021-05-01,"Las Vegas, Nevada, USA",USA,Blue,False,Light Heavyweight,MALE,5,0,1,0,7.19,0.52,0.0,0.98,1.0,1,0,2,0,0,0,0,1,0,0,1,Orthodox,190.5,203.2,205,2,0,0,4.77,0.5,0.4,0.36,0.28,6,2,17,2,0,1,1,3,1,0,6,Southpaw,193.04,195.58,205,31,28,-2,1,-5,-5,-2,-15,-2,-2,-1,-2.539999999999992,7.619999999999976,-3,2.420000000000001,-0.4,0.62,1,1,5.0,3.0,,,,,,3.0,,,,,,,,,,,,,5.0,,,,,,,,Red,KO/TKO,Spinning Back Elbow,2,4:29,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giga Chikadze,Cub Swanson,,,,,2021-05-01,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,0,2,0,4.63,0.5,0.5,1.08,0.51,6,10,72,0,0,1,9,5,2,0,17,Orthodox,172.72,177.8,145,0,5,0,3.55,0.44,0.0,0.38,0.33,5,1,16,0,0,2,2,1,0,0,5,Orthodox,182.88,187.96,145,32,37,0,-3,1,12,9,56,0,4,2,-10.159999999999997,-10.159999999999997,5,1.08,0.5,0.7000000000000001,1,1,15.0,14.0,,,,,,,,,,14.0,,,,,,,,,,,,,15.0,,,,Red,KO/TKO,Kick,1,1:03,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Strickland,Krzysztof Jotko,,,,,2021-05-01,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,0,3,0,2.94,0.41,0.1,1.16,0.34,5,4,35,0,0,2,6,1,0,0,9,Southpaw,185.42,195.58,185,0,3,0,5.14,0.39,0.4,1.14,0.6,3,3,30,0,0,2,3,3,1,0,9,Orthodox,185.42,193.04,185,30,31,0,0,2,0,1,5,0,-2,-1,0.0,2.5400000000000205,1,-2.2,-0.3,0.02,1,1,,15.0,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merab Dvalishvili,Cody Stamann,,,,,2021-05-01,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,1,0,1,4.03,0.46,0.0,2.8,0.44,3,2,23,0,0,2,3,0,0,0,5,Orthodox,167.64,162.56,145,0,5,0,4.02,0.39,0.4,7.38,0.43,5,2,21,0,0,0,5,0,0,0,5,Orthodox,167.64,172.72,135,30,31,1,-5,-2,0,0,2,0,0,0,0.0,-10.159999999999997,1,0.0100000000000006,-0.4,-4.58,1,1,13.0,12.0,,,,,,,,,,,12.0,,,,,,,,,,,,,13.0,,,Red,U-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randa Markos,Luana Pinheiro,,,,,2021-05-01,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Strawweight,FEMALE,3,0,1,0,5.52,0.5,0.0,10.61,0.83,1,0,1,0,0,0,0,1,0,0,1,Orthodox,157.48,157.48,115,3,0,1,2.87,0.42,0.2,1.2,0.28,1,9,42,0,0,2,3,0,1,0,6,Orthodox,162.56,160.02,115,35,28,-3,1,0,-5,-9,-41,0,1,-1,-5.0800000000000125,-2.5400000000000205,-7,2.6499999999999995,-0.2,9.41,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,DQ,,1,4:16,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kai Kamaka,TJ Brown,,,,,2021-05-01,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,3,2,0,0,3.87,0.4,0.6,4.07,0.58,1,2,8,0,0,0,0,0,1,0,1,Switch,175.26,182.88,145,1,0,0,5.63,0.56,0.4,2.66,0.77,1,1,5,0,0,0,1,0,0,0,1,Orthodox,170.18,175.26,145,26,30,1,0,0,0,1,3,0,0,1,5.079999999999984,7.620000000000003,4,-1.7599999999999998,0.1999999999999999,1.41,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poliana Botelho,Luana Carolina,,,,,2021-05-01,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Flyweight,FEMALE,3,1,0,0,4.8,0.51,1.6,0.0,0.0,2,1,7,0,0,0,2,0,0,0,2,Orthodox,167.64,175.26,125,1,0,0,2.83,0.57,0.0,0.92,0.57,2,2,11,0,0,0,2,1,0,0,3,Orthodox,172.72,170.18,115,32,27,0,0,0,-1,-1,-4,0,-1,0,-5.079999999999984,5.079999999999984,-5,1.97,1.6,-0.92,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
