R_fighter,B_fighter,date,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout
Augusto Montano,Chris Heatherly,11/15/2014,0,0,30,8,52,20,.57,.40,32,10,54,22,0,1,0,3,.0,.33,0,0,0,2,0,0
Todd Duffee,Anthony Hamilton,12/ 6/2014,1,0,8,2,16,6,.50,.33,8,2,16,6,0,0,0,0,.0,.0,0,0,0,0,0,0
Kyoji Horiguchi,Louis Gaudinot,1/ 3/2015,0,0,44,23,108,89,.40,.25,59,29,123,95,1,0,2,1,.50,.0,0,2,0,0,0,0
Jordan Mein,Thiago Alves,1/31/2015,0,1,37,23,96,68,.38,.33,37,24,96,69,0,0,0,0,.0,.0,0,0,0,0,0,0
Alan Jouban,Richard Walsh,2/28/2015,0,0,12,10,25,20,.48,.50,12,14,25,25,0,0,0,0,.0,.0,0,0,0,0,0,0
Roy Nelson,Alistair Overeem,3/14/2015,1,0,23,62,77,84,.29,.73,23,62,77,84,0,0,4,2,.0,.0,0,0,0,0,0,0
John Makdessi,Shane Campbell,4/25/2015,2,0,47,25,98,57,.47,.43,59,25,114,57,0,0,2,3,.0,.0,0,0,0,0,0,0
Travis Browne,Andrei Arlovski,5/23/2015,1,1,15,51,38,85,.39,.60,15,51,38,85,0,0,0,0,.0,.0,0,0,0,0,0,0
Yair Rodriguez,Charles Rosa,6/13/2015,0,0,56,39,100,79,.56,.49,97,67,149,117,1,5,1,14,1,.35,2,0,1,4,2,0
Gunnar Nelson,Brandon Thatch,7/11/2015,1,0,6,8,8,14,.75,.57,20,8,24,14,0,0,0,0,.0,.0,1,0,3,0,0,0
Kevin Randleman,Maurice Smith,3/ 5/1999,0,0,17,9,49,16,.34,.56,39,14,77,21,4,0,4,0,1,.0,0,2,5,0,0,0
Reginaldo Vieira,Dileno Lopes,8/ 1/2015,0,0,59,46,105,109,.56,.42,127,73,179,146,0,3,1,4,.0,.75,2,3,1,1,0,0
Jan Blachowicz,Corey Anderson,9/ 5/2015,0,0,20,84,43,150,.46,.56,33,156,62,237,1,4,1,4,1,1,1,0,1,6,0,0
Joseph Benavidez,Ali Bagautinov,10/ 3/2015,0,0,48,31,146,121,.32,.25,48,31,146,121,0,0,1,5,.0,.0,0,0,0,0,0,0
Uriah Hall,Robert Whittaker,11/14/2015,0,0,45,67,94,144,.47,.46,58,108,107,186,0,1,1,2,.0,.50,0,0,0,6,1,0
Demian Maia,Gunnar Nelson,12/12/2015,0,0,47,2,58,4,.81,.50,193,7,229,10,2,1,8,1,.25,1,1,0,5,2,1,2
Diego Brandao,Brian Ortega,1/ 2/2016,0,0,56,29,108,110,.51,.26,61,33,116,114,2,0,3,1,.66,.0,0,2,1,1,0,0
Corey Anderson,Tom Lawlor,3/ 5/2016,0,0,55,31,153,99,.35,.31,79,32,178,100,1,1,4,1,.25,1,0,0,1,0,0,0
Robert Whittaker,Rafael Natal,4/23/2016,0,0,89,62,176,137,.50,.45,92,63,179,138,0,0,0,4,.0,.0,0,0,0,0,0,0
Mauricio Rua,Corey Anderson,5/14/2016,2,0,48,55,101,138,.47,.39,66,106,119,196,0,4,0,8,.0,.50,0,0,0,2,0,0
Dan Henderson,Hector Lombard,6/ 4/2016,1,1,13,23,31,41,.41,.56,23,45,41,63,0,2,0,2,.0,1,0,2,0,2,0,0
Royce Gracie,Jason DeLucia,3/11/1994,0,0,0,0,0,0,.0,.0,0,0,0,0,0,1,0,1,.0,1,1,0,1,0,1,0
Wanderlei Silva,Tony Petarra,5/ 7/1999,1,0,25,4,32,5,.78,.80,32,6,39,7,0,0,0,2,.0,.0,0,0,0,0,0,0
Cain Velasquez,Travis Browne,7/ 9/2016,1,0,50,6,79,27,.63,.22,90,6,124,27,1,0,3,0,.33,.0,0,0,1,0,0,0
Francisco Rivera,Erik Perez,7/30/2016,0,0,55,54,158,156,.34,.34,59,147,163,259,0,2,0,6,.0,.33,0,0,0,1,0,0
