R_fighter,B_fighter,date,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout
Alexis Davis,Jennifer Maia,3/23/2019,0,0,72,60,122,128,.59,.46,107,70,174,142,1,0,2,0,.50,.0,0,0,2,0,0,0
Brad Scott,Carlo Pedersoli Jr.,5/27/2018,1,0,58,67,155,179,.37,.37,63,68,160,181,0,3,0,4,.0,.75,0,0,0,1,0,0
Nicolae Negumereanu,Saparbeg Safarov,3/16/2019,0,0,11,70,27,86,.40,.81,20,139,36,156,0,3,0,5,.0,.60,0,0,0,7,0,0
Francimar Barroso,Aleksandar Rakic,9/ 2/2017,0,0,24,46,55,150,.43,.30,36,75,69,179,2,0,14,0,.14,.0,0,0,1,0,0,0
Kyle Bochniak,Jeremy Kennedy,7/22/2017,0,0,23,41,54,94,.42,.43,43,59,76,118,0,8,0,14,.0,.57,0,0,0,4,0,0
Rashad Coulter,Tai Tuivasa,11/18/2017,0,1,10,22,19,36,.52,.61,19,22,28,36,0,0,2,2,.0,.0,0,0,1,0,0,0
Stevie Ray,Kajan Johnson,3/17/2018,0,0,24,33,62,54,.38,.61,37,37,78,58,3,2,4,4,.75,.50,1,0,1,2,0,0
Richard Walsh,Jonathan Meunier,11/26/2016,0,0,18,74,88,155,.20,.47,33,105,106,186,2,1,8,3,.25,.33,1,0,0,2,0,0
Tim Elliott,Brandon Royval,5/30/2020,0,0,17,16,32,33,.53,.48,40,22,55,41,4,1,10,1,.40,1,0,2,2,3,1,1
Roman Kopylov,Karl Roberson,11/ 9/2019,0,0,37,43,95,117,.38,.36,38,43,96,117,0,1,1,3,.0,.33,0,1,0,1,0,0
Josh Neer,Keith Wisniewski,10/ 1/2011,0,0,93,41,159,83,.58,.49,133,41,200,83,0,0,0,2,.0,.0,1,0,0,0,0,0
Jimy Hettes,Alex Caceres,8/14/2011,0,0,2,13,7,25,.28,.52,31,25,44,38,5,0,9,0,.55,.0,2,0,6,0,1,2
Darren Elkins,Charles Oliveira,8/ 1/2010,0,0,0,3,4,4,.0,.75,0,3,4,4,1,0,1,0,1,.0,0,2,0,0,0,0
Ricardo Lamas,Matt Grice,6/26/2011,1,0,16,6,32,30,.50,.20,16,18,32,42,1,0,3,1,.33,.0,0,0,1,0,0,0
Rob Kimmons,Dongi Yang,3/ 3/2011,0,1,1,57,15,71,.6,.80,19,145,33,181,1,1,1,1,1,1,0,2,0,9,0,1
Brendan Schaub,Chase Gormley,3/21/2010,1,0,25,2,36,6,.69,.33,30,2,41,6,0,0,0,2,.0,.0,0,0,0,0,0,0
Danny Castillo,John Cholish,5/ 5/2012,0,0,52,29,136,84,.38,.34,62,31,147,86,1,1,3,6,.33,.16,0,0,2,1,0,0
Daron Cruickshank,James Krause,7/25/2015,0,0,6,10,19,15,.31,.66,6,10,19,15,0,1,0,1,.0,1,0,1,0,1,0,0
Nik Lentz,Danny Castillo,12/19/2015,0,0,59,57,132,124,.44,.45,72,60,148,127,3,2,6,6,.50,.33,2,0,1,2,0,0
Joe Ellenberger,Bryan Barberena,12/13/2014,0,1,24,63,60,122,.40,.51,35,106,71,172,3,0,5,0,.60,.0,0,0,0,0,0,0
Joey Beltran,Lavar Johnson,1/28/2012,0,1,22,65,71,92,.30,.70,36,66,85,93,0,0,3,0,.0,.0,0,0,0,0,0,0
Mairbek Taisumov,Anthony Christodoulou,1/24/2015,0,0,37,9,59,38,.62,.23,37,9,59,38,2,0,2,1,1,.0,0,0,0,0,0,0
Marcus LeVesseur,Abel Trujillo,12/ 8/2012,0,1,9,57,16,75,.56,.76,11,94,19,117,2,1,10,1,.20,1,0,2,0,0,0,0
Tim Means,Jorge Masvidal,4/20/2013,0,0,43,50,133,132,.32,.37,68,71,161,157,0,6,1,8,.0,.75,0,0,1,2,1,0
George Sullivan,Mike Rhodes,1/25/2014,0,0,61,51,177,105,.34,.48,81,57,200,112,2,2,14,4,.14,.50,0,1,2,0,0,0
Alex Oliveira,James Moontasri,7/23/2016,0,0,58,12,78,26,.74,.46,156,30,196,48,2,0,8,1,.25,.0,0,0,1,0,0,0
George Sullivan,Alexander Yakovlev,1/30/2016,0,1,14,15,22,18,.63,.83,19,17,27,20,0,2,0,2,.0,1,0,0,0,3,0,0
Sam Stout,Cody McKenzie,12/14/2013,0,0,54,31,189,90,.28,.34,59,37,194,99,1,1,2,13,.50,.7,1,0,0,1,0,0
Mike Russow,Shawn Jordan,1/26/2013,0,0,25,42,45,72,.55,.58,29,56,51,88,1,2,6,2,.16,1,0,0,0,4,0,0
Ed Herman,Trevor Smith,7/27/2013,0,0,73,87,129,108,.56,.80,127,112,187,136,2,1,5,5,.40,.20,1,1,2,0,0,0
Aljamain Sterling,Augusto Mendes,4/15/2017,0,1,83,30,161,91,.51,.32,162,76,246,145,2,0,6,3,.33,.0,0,0,0,0,0,1
Andreas Stahl,Gilbert Burns,7/26/2014,0,0,41,44,111,140,.36,.31,69,56,143,153,0,2,1,10,.0,.20,0,0,0,2,0,0
George Sullivan,Tim Means,4/18/2015,0,1,39,48,164,130,.23,.36,43,69,169,151,0,2,5,2,.0,1,0,1,0,2,0,0
Chad Laprise,Thibault Gouti,8/27/2016,2,0,17,4,35,16,.48,.25,22,4,40,16,0,0,0,0,.0,.0,0,0,0,0,0,0
Eric Spicely,Alessio Di Chirico,1/28/2017,0,0,1,1,3,2,.33,.50,5,1,7,2,1,0,3,0,.33,.0,1,0,0,0,0,0
John Moraga,Ulysses Gomez,8/ 4/2012,1,0,34,16,63,43,.53,.37,36,16,66,43,0,0,0,5,.0,.0,0,0,0,0,0,0
John Dodson,Manvel Gamburyan,4/16/2016,1,0,16,2,19,2,.84,1,18,2,21,3,0,0,0,0,.0,.0,0,0,0,0,0,0
Josh Emmett,Scott Holtzman,12/17/2016,0,0,87,65,160,179,.54,.36,99,96,175,215,8,3,12,4,.66,.75,1,0,2,1,0,0
Aaron Rosa,Matt Lucas,11/12/2011,0,0,59,19,99,39,.59,.48,256,48,311,75,0,1,0,10,.0,.10,0,0,0,1,0,0
Caio Magalhaes,Luke Zachrich,4/19/2014,1,0,16,3,26,11,.61,.27,18,3,28,11,0,0,0,0,.0,.0,0,0,0,0,0,0
Tom Watson,Stanislav Nedkov,2/16/2013,1,0,56,39,102,78,.54,.50,72,61,118,102,0,5,0,6,.0,.83,0,0,0,0,0,0
Francis Carmont,Magnus Cedenblad,4/14/2012,0,0,28,11,30,14,.93,.78,53,39,57,42,2,0,2,0,1,.0,1,1,6,4,1,1
TJ Grant,Carlo Prater,5/15/2012,0,0,68,27,113,61,.60,.44,116,33,163,67,3,0,7,3,.42,.0,1,1,9,0,0,1
Chris Spang,Adlan Amagov,4/ 6/2013,0,0,5,38,57,99,.8,.38,24,57,76,118,0,6,0,10,.0,.60,0,0,0,1,0,0
Rafael Natal,Andrew Craig,7/11/2012,2,1,73,23,109,72,.66,.31,79,30,115,80,2,0,5,1,.40,.0,0,0,1,1,0,1
Ildemar Alcantara,Leandro Silva,6/ 8/2013,0,0,33,50,105,87,.31,.57,56,63,134,100,3,0,3,6,1,.0,0,0,0,0,0,0
Tim Means,Bernardo Magalhaes,2/15/2012,0,0,83,28,170,68,.48,.41,98,30,186,70,0,0,0,11,.0,.0,0,0,1,0,0,1
Cristiano Marcello,Kazuki Tokudome,3/ 2/2013,0,1,33,33,76,77,.43,.42,67,90,117,178,1,2,4,2,.25,1,0,0,0,5,0,0
Tom Watson,Brad Tavares,9/29/2012,0,0,65,83,127,173,.51,.47,72,92,134,183,0,5,2,12,.0,.41,0,0,0,1,0,0
Mackens Semerzier,Daniel Pineda,3/ 2/2012,0,1,9,14,12,21,.75,.66,9,15,12,22,0,0,0,0,.0,.0,0,2,0,1,0,0
Wagner Prado,Ildemar Alcantara,1/19/2013,0,0,28,24,53,55,.52,.43,41,39,70,70,0,2,1,3,.0,.66,0,3,1,1,1,0
Iuri Alcantara,Iliarde Santos,5/18/2013,0,0,19,3,37,10,.51,.30,23,4,41,11,0,0,0,2,.0,.0,0,0,0,0,0,0
Bart Palaszewski,Diego Nunes,10/ 5/2012,0,2,37,61,119,137,.31,.44,45,68,128,148,0,3,0,6,.0,.50,2,0,0,1,0,0
Daniel Pineda,Pat Schilling,1/20/2012,0,0,19,4,24,7,.79,.57,38,4,44,7,1,0,1,0,1,.0,1,0,2,0,0,0
Tim Means,Justin Salas,6/ 8/2012,2,0,26,5,42,8,.61,.62,30,5,46,8,0,0,0,4,.0,.0,0,0,0,0,0,0
Nick Catone,Chris Camozzi,6/22/2012,0,0,14,34,43,69,.32,.49,32,55,65,94,2,0,9,0,.22,.0,0,0,0,0,0,0
Nick Penner,Cody Donovan,12/14/2012,1,1,7,19,18,27,.38,.70,23,31,37,44,0,1,0,1,.0,1,0,0,1,1,0,0
Nate Loughran,Johnny Rees,7/19/2008,0,0,1,7,3,15,.33,.46,10,10,12,19,0,0,0,0,.0,.0,2,0,0,0,0,0
Emily Kagan,Angela Hill,12/12/2014,0,1,41,107,91,159,.45,.67,60,140,113,199,2,0,12,1,.16,.0,0,0,0,0,0,1
Gillian Robertson,Emily Whitmire,12/ 1/2017,0,0,2,9,6,15,.33,.60,4,13,8,20,1,0,1,0,1,.0,1,0,2,0,0,1
George Sullivan,Dominic Waters,7/12/2015,0,0,54,13,96,53,.56,.24,103,32,145,72,2,5,2,5,1,1,3,0,2,4,1,0
Julija Stoliarenko,Leah Letson,11/30/2018,0,0,57,73,158,179,.36,.40,66,88,168,196,0,0,4,1,.0,.0,1,0,0,0,0,0
Mark Bocek,Joe Brammer,12/ 5/2009,0,0,6,3,16,19,.37,.15,15,5,26,21,2,0,2,0,1,.0,1,0,1,0,0,0
John Albert,Erik Perez,6/ 1/2012,0,0,6,18,24,26,.25,.69,25,59,44,81,0,0,3,0,.0,.0,2,1,1,1,0,1
Tecia Torres,Juliana Lima,7/ 7/2017,0,0,15,6,23,31,.65,.19,26,14,34,39,0,1,7,3,.0,.33,1,0,1,0,0,0
Bryan Caraway,Dustin Neace,12/ 3/2011,0,0,23,18,53,55,.43,.32,32,35,65,72,3,0,3,1,1,.0,1,1,5,0,0,0
Mike Rio,John Cofer,12/15/2012,0,0,30,31,67,59,.44,.52,67,57,111,87,4,0,11,0,.36,.0,1,0,5,1,0,3
Sarah Moras,Alexis Dufresne,7/ 6/2014,0,0,15,12,34,28,.44,.42,123,65,149,86,1,3,2,3,.50,1,0,0,0,7,1,1
Fredson Paixao,Pablo Garza,12/ 4/2010,0,1,1,3,1,7,1,.42,1,3,1,7,0,0,0,0,.0,.0,0,0,0,0,0,0
Cezar Ferreira,Anthony Smith,7/ 8/2016,0,0,30,33,51,63,.58,.52,120,41,148,71,6,0,6,0,1,.0,0,1,3,0,0,0
Cole Miller,Bart Palaszewski,4/13/2013,0,0,5,18,43,62,.11,.29,6,18,44,62,1,0,1,0,1,.0,1,0,0,0,0,0
Scott Jorgensen,Ken Stone,6/ 4/2011,0,0,15,18,28,42,.53,.42,17,25,30,49,1,0,1,0,1,.0,0,0,0,0,0,0
James McSweeney,Travis Browne,6/19/2010,0,1,6,19,11,44,.54,.43,7,28,12,55,0,0,0,0,.0,.0,0,1,0,2,0,0
Chris Gruetzemacher,Abner Lloveras,12/11/2015,0,0,103,94,182,189,.56,.49,135,99,217,194,0,2,0,10,.0,.20,0,0,0,1,0,0
Rolando Delgado,John Polakowski,12/13/2008,1,0,15,1,27,23,.55,.4,44,4,59,28,1,0,4,0,.25,.0,3,1,4,0,0,0
Rob Kimmons,Rob Yundt,6/21/2008,0,0,9,5,13,6,.69,.83,25,45,29,46,1,1,1,1,1,1,4,0,1,0,0,0
Josh Sampo,Ryan Benoit,11/30/2013,0,0,28,18,64,63,.43,.28,65,24,103,69,2,0,2,0,1,.0,5,1,7,2,1,2
Kailin Curran,Jamie Moyle,12/ 3/2016,0,0,47,73,134,121,.35,.60,89,114,178,175,0,3,0,10,.0,.30,1,0,0,2,0,0
Tyler Diamond,Bryce Mitchell,7/ 6/2018,0,0,51,38,107,69,.47,.55,72,45,129,78,3,3,4,10,.75,.30,0,1,5,0,2,0
Jason Dent,Cameron Dollar,6/20/2009,0,0,14,24,36,63,.38,.38,14,24,36,63,0,0,0,1,.0,.0,1,0,0,0,0,0
Mark Hall,Felix Lee Mitchell,12/ 7/1996,0,0,14,24,36,63,.38,.38,14,24,36,63,0,0,0,1,.0,.0,1,0,0,0,0,0
Tom Lawlor,CB Dollaway,7/11/2009,0,0,0,1,1,5,.0,.20,0,4,1,8,0,0,0,0,.0,.0,1,0,0,0,0,0
George Sotiropoulos,George Roop,8/ 8/2009,0,0,14,5,33,46,.42,.10,30,22,53,64,3,0,5,0,.60,.0,1,0,8,0,0,1
Mark Munoz,Nick Catone,8/29/2009,0,0,53,38,102,82,.51,.46,75,55,127,99,2,3,12,6,.16,.50,2,1,2,4,1,0
Rick Story,Brian Foster,9/19/2009,0,0,18,6,59,47,.30,.12,35,16,78,57,3,0,4,2,.75,.0,1,1,5,0,0,0
Kyle Kingsbury,Razak Al-Hassan,10/24/2009,0,0,25,31,98,79,.25,.39,76,45,149,93,2,1,6,4,.33,.25,0,0,3,1,0,1
Alexander Gustafsson,Jared Hamman,11/14/2009,1,0,6,6,23,17,.26,.35,6,6,23,17,0,0,0,0,.0,.0,0,0,0,0,0,0
DaMarques Johnson,Edgar Garcia,12/12/2009,0,0,10,17,36,48,.27,.35,10,26,36,57,0,1,0,2,.0,.50,1,1,0,2,0,0
Rafaello Oliveira,John Gunderson,1/ 2/2010,0,0,21,1,45,30,.46,.3,55,20,83,50,6,1,7,1,.85,1,4,4,13,0,1,0
Chris Tuchscherer,Tim Hague,2/ 6/2010,0,0,24,34,64,70,.37,.48,45,53,88,90,1,1,7,1,.14,1,1,1,1,3,0,0
Matthew Riddle,Greg Soto,3/27/2010,0,0,47,21,88,39,.53,.53,92,63,140,81,4,0,6,4,.66,.0,0,0,1,0,0,0
Jon Madsen,Mostapha Al-Turk,4/10/2010,0,0,32,20,97,127,.32,.15,32,20,97,127,1,0,1,0,1,.0,0,0,0,0,0,0
Mike Guymon,Mike Guymon,5/ 8/2010,0,0,7,59,23,79,.30,.74,12,129,28,149,1,3,6,3,.16,1,2,2,3,10,1,1
Aaron Riley,Joe Brammer,5/29/2010,0,0,46,37,104,107,.44,.34,124,51,184,122,3,1,8,2,.37,.50,0,0,4,0,0,0
Ricardo Funch,Claude Patrick,6/12/2010,0,0,5,13,5,18,1,.72,17,24,20,30,0,1,2,2,.0,.50,0,2,0,3,0,0
Forrest Petz,Daniel Roberts,7/ 3/2010,0,0,21,5,69,44,.30,.11,47,45,97,93,1,6,1,9,1,.66,0,2,1,6,0,0
Stefan Struve,Christian Morecraft,8/ 7/2010,1,0,11,36,19,72,.57,.50,12,60,20,101,0,1,0,1,.0,1,2,1,0,3,0,0
Mike Pierce,Amilcar Alves,8/28/2010,0,0,31,4,47,10,.65,.40,87,12,110,20,4,0,6,0,.66,.0,2,0,4,0,0,0
TJ Grant,Julio Paulino,9/25/2010,0,0,17,12,33,42,.51,.28,36,39,59,71,4,0,6,0,.66,.0,1,1,11,0,2,1
Chris Camozzi,Dongi Yang,10/23/2010,0,0,74,51,130,98,.56,.52,85,60,145,117,0,3,1,5,.0,.60,0,0,1,2,1,0
Kris McCray,Carlos Eduardo Rocha,11/13/2010,0,0,3,2,8,4,.37,.50,14,3,19,5,2,0,2,0,1,.0,0,1,2,1,0,1
Paul Kelly,TJ O'Brien,11/20/2010,1,0,44,32,104,69,.42,.46,106,38,171,77,1,1,1,1,1,1,0,0,1,2,1,0
Pat Audinwood,John Makdessi,12/11/2010,0,1,19,74,162,127,.11,.58,19,77,162,134,1,0,2,0,.50,.0,0,0,0,0,0,0
Kyle Kingsbury,Ricardo Romero,2/ 5/2011,1,0,9,1,13,3,.69,.33,12,1,16,3,0,0,0,0,.0,.0,0,0,0,0,0,0
Mark Hunt,Chris Tuchscherer,2/26/2011,1,0,14,9,43,37,.32,.24,24,22,56,52,0,1,0,4,.0,.25,0,0,0,1,0,0
Joseph Benavidez,Ian Loveland,3/19/2011,0,0,48,45,118,90,.40,.50,70,50,147,98,5,0,17,1,.29,.0,0,0,5,0,0,0
Jason MacDonald,Ryan Jensen,4/30/2011,0,0,0,0,1,5,.0,.0,0,6,1,12,0,0,1,0,.0,.0,1,1,1,0,0,1
Cole Escovedo,Renan Barao,5/28/2011,0,0,29,46,65,88,.44,.52,48,96,84,139,0,6,1,7,.0,.85,0,0,0,1,0,0
Dustin Poirier,Jason Young,6/11/2011,0,0,77,57,146,161,.52,.35,84,102,154,208,5,0,9,0,.55,.0,0,0,2,0,0,0
Anthony Njokuani,Andre Winner,7/ 2/2011,0,0,116,15,211,114,.54,.13,118,17,214,116,2,0,3,1,.66,.0,0,0,0,0,0,0
Mike Brown,Nam Phan,8/ 6/2011,0,0,60,38,123,120,.48,.31,138,51,213,133,5,0,18,0,.27,.0,0,0,1,0,0,0
Erick Silva,Luis Ramos,8/27/2011,1,0,4,4,9,7,.44,.57,6,4,11,7,0,0,0,0,.0,.0,0,0,0,0,0,0
James Te Huna,Ricardo Romero,9/24/2011,1,0,5,0,7,3,.71,.0,6,0,9,3,0,0,0,3,.0,.0,0,0,0,0,0,0
Aaron Simpson,Eric Schafer,10/ 8/2011,2,0,58,14,140,102,.41,.13,63,17,145,107,0,0,0,0,.0,.0,0,0,0,0,0,0
Chris Camozzi,Francis Carmont,10/29/2011,0,1,22,51,47,74,.46,.68,56,82,85,107,0,3,5,6,.0,.50,1,0,0,1,0,0
Chris Cariaso,Vaughan Lee,11/ 5/2011,0,0,52,29,89,56,.58,.51,79,101,116,128,2,4,3,9,.66,.44,1,2,8,0,0,0
Miguel Torres,Nick Pace,11/19/2011,0,0,64,31,122,69,.52,.44,150,41,212,79,0,1,1,3,.0,.33,0,0,0,1,0,0
Mark Bocek,Nik Lentz,12/10/2011,0,0,46,10,85,31,.54,.32,102,123,143,145,5,0,7,0,.71,.0,0,3,2,0,0,0
Manvel Gamburyan,Diego Nunes,12/30/2011,0,0,19,42,56,91,.33,.46,25,42,63,91,2,0,17,0,.11,.0,0,0,1,0,0,0
Felipe Arantes,Antonio Carvalho,1/14/2012,0,0,53,37,122,153,.43,.24,72,65,144,185,0,0,0,3,.0,.0,0,0,1,4,0,0
Rafael Natal,Michael Kuiper,2/ 4/2012,0,1,36,30,72,62,.50,.48,61,68,98,100,6,0,16,0,.37,.0,2,0,5,0,0,1
Riki Fukuda,Steve Cantwell,2/25/2012,0,0,124,47,242,148,.51,.31,187,49,310,151,3,1,6,1,.50,1,0,1,1,0,0,0
Mac Danzig,Efrain Escudero,4/21/2012,0,0,67,56,119,133,.56,.42,130,107,190,186,1,0,5,2,.20,.0,0,1,0,0,0,0
Jacob Volkmann,Paul Sass,5/26/2012,0,0,2,1,5,4,.40,.25,3,2,6,7,0,0,0,0,.0,.0,0,2,1,0,0,0
Marcos Vinicius,Wagner Campos,6/23/2012,0,0,28,17,58,41,.48,.41,46,58,79,97,0,2,0,2,.0,1,0,0,0,7,0,0
John Alessio,Shane Roller,7/ 7/2012,0,0,35,31,103,69,.33,.44,63,82,134,128,0,3,1,7,.0,.42,0,0,1,4,1,0
Seth Baczynski,Simeon Thoresen,9/22/2012,1,0,15,17,78,54,.19,.31,15,17,78,54,0,0,0,0,.0,.0,0,0,0,0,0,0
Sergio Moraes,Renee Forte,10/13/2012,0,0,16,26,45,76,.35,.34,27,38,58,88,4,0,11,0,.36,.0,1,0,2,0,0,0
Matthew Riddle,John Maguire,11/17/2012,0,0,45,37,163,109,.27,.33,74,38,195,110,1,0,4,6,.25,.0,0,2,0,0,0,0
Philip De Fries,Todd Duffee,12/29/2012,0,1,7,20,13,31,.53,.64,12,22,18,33,1,0,1,0,1,.0,0,0,0,0,0,0
Chico Camus,Dustin Kimura,2/ 2/2013,0,0,23,16,41,56,.56,.28,34,26,55,67,1,0,3,0,.33,.0,0,5,0,3,1,1
Kenny Robertson,Brock Jardine,2/23/2013,0,0,9,1,13,3,.69,.33,27,1,32,3,1,0,1,0,1,.0,2,1,3,0,0,0
Rick Story,Quinn Mulhern,3/16/2013,1,0,20,9,49,50,.40,.18,26,9,55,51,1,0,1,1,1,.0,0,0,0,0,0,0
Steven Siler,Kurt Holobaugh,4/27/2013,0,0,50,41,109,92,.45,.44,128,133,201,196,1,1,4,2,.25,.50,2,2,3,0,0,0
Stephen Thompson,Nah-Shon Burrell,5/25/2013,0,0,65,56,134,121,.48,.46,87,78,158,144,2,0,4,1,.50,.0,0,0,1,0,0,0
Mitch Clarke,John Maguire,6/15/2013,0,0,41,15,105,41,.39,.36,118,66,188,95,0,3,1,7,.0,.42,0,0,1,2,1,0
Seth Baczynski,Brian Melancon,7/ 6/2013,0,1,13,24,54,42,.24,.57,14,30,55,48,0,1,1,1,.0,1,0,0,0,1,0,0
Rani Yahya,Josh Clopton,8/ 3/2013,0,0,14,5,40,13,.35,.38,135,57,163,69,2,0,7,0,.28,.0,1,0,6,0,1,0
Soa Palelei,Nikita Krylov,8/31/2013,0,0,29,45,42,68,.69,.66,107,98,128,123,4,0,4,1,1,.0,0,2,4,0,0,0
John Makdessi,Renee Forte,9/21/2013,1,0,20,7,39,27,.51,.25,20,7,39,27,0,0,0,0,.0,.0,0,0,0,0,0,0
Tony Ferguson,Mike Rio,10/19/2013,0,0,5,4,15,8,.33,.50,7,4,18,8,0,0,0,2,.0,.0,1,0,0,0,0,0
Jason High,Anthony Lapsley,11/16/2013,0,0,5,8,12,19,.41,.42,41,72,54,85,4,0,5,0,.80,.0,4,0,11,1,0,1
Robert Peralta,Estevan Payan,12/28/2013,1,0,34,32,68,65,.50,.49,53,62,90,95,2,1,2,1,1,1,0,0,2,2,0,1
Clint Hester,Andy Enz,2/ 1/2014,1,0,72,69,200,225,.36,.30,74,69,202,225,2,0,3,1,.66,.0,0,0,2,0,0,0
Rafaello Oliveira,Erik Koch,2/22/2014,0,1,1,19,6,27,.16,.70,1,19,6,27,0,0,0,0,.0,.0,0,0,0,0,0,0
Renee Forte,Francisco Trevino,3/15/2014,0,0,14,47,70,116,.20,.40,20,63,79,133,5,2,9,7,.55,.28,0,0,3,0,0,0
Chris Beal,Patrick Williams,4/26/2014,1,0,19,14,49,35,.38,.40,19,15,50,37,0,2,0,3,.0,.66,0,0,0,1,0,0
Anthony Njokuani,Vinc Pichel,5/24/2014,0,0,24,57,77,113,.31,.50,30,98,84,159,0,8,0,11,.0,.72,0,0,0,8,0,0
Roland Delorme,Michinori Tanaka,6/14/2014,0,0,2,21,20,37,.10,.56,25,78,44,103,1,3,1,4,1,.75,0,1,3,4,1,1
Jon Tuck,Kevin Lee,9/27/2014,0,0,30,74,80,157,.37,.47,68,100,125,190,0,4,0,9,.0,.44,2,0,0,3,0,0
Gilbert Burns,Christos Giagos,10/25/2014,0,0,7,4,13,13,.53,.30,18,6,26,15,1,0,1,0,1,.0,2,0,3,0,0,0
Henry Briones,Guido Cannetti,11/15/2014,1,0,32,35,63,73,.50,.47,52,36,86,74,0,1,0,2,.0,.50,1,0,1,1,0,0
Sergio Pettis,Matt Hobar,12/ 6/2014,0,1,78,36,200,124,.39,.29,96,54,220,142,0,2,1,9,.0,.22,2,0,0,2,0,0
Alexis Dufresne,Marion Reneau,1/ 3/2015,0,0,28,85,116,221,.24,.38,33,86,122,222,0,0,3,0,.0,.0,0,0,0,0,0,0
Thiago Santos,Andy Enz,1/31/2015,1,0,20,1,38,28,.52,.3,21,1,39,28,0,0,0,0,.0,.0,0,0,0,0,0,0
Masio Fullen,Alex Torres,2/28/2015,0,0,41,37,134,99,.30,.37,61,40,158,102,1,2,2,9,.50,.22,0,0,0,0,0,0
Sergio Pettis,Ryan Benoit,3/14/2015,0,1,39,28,100,90,.39,.31,51,29,113,91,1,1,3,1,.33,1,0,0,1,0,0,0
Nordine Taleb,Chris Clements,4/25/2015,0,0,36,17,64,62,.56,.27,64,29,97,75,6,0,6,0,1,.0,0,1,5,0,0,0
Islam Makhachev,Leo Kuntz,5/23/2015,0,0,32,7,50,25,.64,.28,53,11,80,30,3,0,5,0,.60,.0,1,0,3,0,0,0
Augusto Montano,Cathal Pendred,6/13/2015,0,0,21,17,55,41,.38,.41,28,45,62,75,0,4,0,17,.0,.23,0,0,0,3,0,0
Neil Seery,Louis Smolka,7/11/2015,1,0,21,23,43,45,.48,.51,92,36,121,58,0,6,0,10,.0,.60,3,5,0,9,0,0
Warlley Alves,Nordine Taleb,8/ 1/2015,0,0,17,17,38,34,.44,.50,23,30,46,47,2,0,3,2,.66,.0,1,0,3,0,0,0
Joe Riggs,Ron Stallings,9/ 5/2015,1,0,35,24,61,36,.57,.66,47,32,74,46,2,0,2,0,1,.0,0,0,2,1,0,0
Francisco Trevino,Sage Northcutt,10/ 3/2015,0,0,1,21,3,31,.33,.67,1,21,3,31,0,1,0,1,.0,1,0,0,0,1,0,0
Daniel Kelly,Steve Montgomery,11/14/2015,0,0,63,77,121,191,.52,.40,115,89,176,204,5,0,13,0,.38,.0,0,0,8,0,0,0
Joe Proctor,Magomed Mustafaev,12/12/2015,0,1,9,18,13,27,.69,.66,9,22,13,31,0,0,0,0,.0,.0,0,0,0,0,0,0
Dustin Poirier,Joe Duffy,1/ 2/2016,0,0,72,37,137,100,.52,.37,88,60,153,123,4,0,7,0,.57,.0,0,1,1,0,0,0
Diego Sanchez,Jim Miller,3/ 5/2016,0,0,48,56,125,115,.38,.48,71,61,148,120,2,0,9,1,.22,.0,0,0,2,1,0,0
Walt Harris,Cody East,4/23/2016,1,0,31,26,58,62,.53,.41,40,26,69,62,0,0,0,0,.0,.0,0,0,0,0,0,0
Rogerio Nogueira,Patrick Cummins,5/14/2016,1,0,30,12,58,36,.51,.33,36,14,65,38,0,0,0,2,.0,.0,0,0,0,0,0,0
Sean Strickland,Tom Breese,6/ 4/2016,0,0,73,62,207,153,.35,.40,77,62,211,153,0,0,2,3,.0,.0,0,0,0,0,0,0
Remco Pardoel,Alberta Cerra Leon,3/11/1994,0,0,4,1,6,3,.66,.33,20,9,22,11,1,0,1,0,1,.0,1,0,2,0,0,0
Gegard Mousasi,Thiago Santos,7/ 9/2016,1,0,21,5,34,13,.61,.38,39,5,55,13,2,0,2,0,1,.0,0,0,2,0,0,0
Cesar Arzamendia,Damien Brown,7/30/2016,0,2,17,22,27,42,.62,.52,17,25,27,46,0,0,0,0,.0,.0,1,0,0,1,0,0
Neil Magny,Lorenz Larkin,8/20/2016,0,1,8,32,23,48,.34,.66,13,34,29,50,0,0,5,0,.0,.0,0,0,0,0,0,0
Yancy Medeiros,Sean Spencer,9/10/2016,2,0,17,17,57,89,.29,.19,17,18,57,90,0,0,0,0,.0,.0,1,0,2,0,0,0
Danny Roberts,Mike Perry,10/ 8/2016,0,1,81,90,239,214,.33,.42,81,103,239,228,0,0,4,0,.0,.0,0,0,0,5,0,0
Liz Carmouche,Katlyn Chookagian,11/12/2016,0,1,27,22,64,115,.42,.19,49,64,88,160,4,0,7,0,.57,.0,0,0,1,0,0,0
John Makdessi,Lando Vannata,12/10/2016,0,1,11,10,13,32,.84,.31,11,10,13,32,0,0,0,0,.0,.0,0,0,0,0,0,0
