R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1
Alexander Volkanovski,Jeremy Kennedy,-200,170,50,170,2/10/2018,"Perth, Western Australia, Australia", Australia,Red,FALSE,Featherweight,MALE,3,0,3,0,38,0.476666667,0,7,0.6,3,0,9,0,0,0,3,0,0,0,3,Orthodox,180.34,180.34,145,0,3,0,68.33333333,0.62,0,4,0.64,3,0,8,0,0,0,2,1,0,0,3,Orthodox,167.64,180.34,145,29,25,0,0,0,0,0,1,0,-1,0,12.7,0,4,-0.143333333,0,3,0,1
Jussier Formiga,Ben Nguyen,-110,-110,90.90909091,90.90909091,2/10/2018,"Perth, Western Australia, Australia", Australia,Red,FALSE,Flyweight,MALE,3,0,2,0,30,0.478,0.8,0.2,0.2,2,1,8,0,0,0,1,1,2,0,4,Switch,165.1,165.1,125,0,1,0,13.8,0.35,0.5,1.3,0.338,3,4,23,0,0,0,4,0,2,0,6,Orthodox,165.1,170.18,125,32,29,0,1,-1,-2,3,-15,0,1,0,0,-5.08,3,0.128,0.3,-1.1,0,1
Ross Pearson,Mizuto Hirota,-160,140,62.5,140,2/10/2018,"Perth, Western Australia, Australia", Australia,Red,FALSE,Lightweight,MALE,3,1,0,0,54.2,0.384,0,1.8,0.45,1,4,15,0,0,0,1,0,0,0,1,Orthodox,170.18,170.18,155,4,0,0,41.95652174,0.421304348,0,0.652173913,0.347826087,3,12,59,1,0,2,4,4,0,1,11,Orthodox,172.72,175.26,155,33,36,3,0,-2,-10,8,-44,-1,-5,0,-2.54,-5.08,-3,-0.037304348,0,1.147826087,0,1
Teruto Ishihara,Jose Quinonez,135,-155,135,64.51612903,2/10/2018,"Perth, Western Australia, Australia", Australia,Blue,FALSE,Bantamweight,MALE,3,0,3,0,38.75,0.485,1,2.5,0.5525,3,1,10,1,0,0,2,0,1,0,3,Orthodox,172.72,175.26,135,0,1,0,39,0.513333333,0,0.333333333,0.055,2,3,15,0,0,0,1,2,0,0,3,Southpaw,170.18,175.26,135,26,27,0,2,1,0,2,-5,1,-2,1,2.54,0,-1,-0.028333333,1,2.166666667,0,1
Luke Jumeau,Daichi Abe,140,-160,140,62.5,2/10/2018,"Perth, Western Australia, Australia", Australia,Red,FALSE,Welterweight,MALE,3,0,1,0,63,0.34,0,1,1,1,0,3,0,0,0,1,0,0,0,1,Orthodox,180.34,180.34,170,1,0,0,44.5,0.495,0,0,0,1,1,6,0,0,0,1,0,0,0,1,Orthodox,180.34,182.88,170,29,26,1,1,0,0,1,-3,0,0,0,0,-2.54,3,-0.155,0,1,0,1
Lyoto Machida,Eryk Anders,205,-245,205,40.81632653,2/3/2018,"Belem, Para, Brazil", Brazil,Red,FALSE,Middleweight,MALE,5,0,2,0,51,0.675,0,1.5,0.5,2,0,4,0,0,0,1,1,0,0,2,Southpaw,185.42,190.5,185,3,0,0,29.22727273,0.522727273,0.363636364,0.636363636,0.279545455,8,8,56,5,0,1,6,6,1,0,14,Southpaw,185.42,187.96,185,39,30,3,2,-6,-12,8,-52,-5,-5,-1,0,2.54,9,0.152272727,-0.363636364,0.863636364,0,1
Valentina Shevchenko,Priscila Cachoeira,-1100,700,9.090909091,700,2/3/2018,"Belem, Para, Brazil", Brazil,Red,FALSE,Women's Flyweight,FEMALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,165.1,125,1,0,0,46.4,0.546,0.2,2,0.572,2,2,18,1,0,1,1,0,1,0,3,Southpaw,165.1,167.64,125,29,29,1,0,-2,-3,2,-18,-1,0,-1,5.08,-2.54,0,-0.546,-0.2,-2,0,1
Michel Prazeres,Desmond Green,-120,100,83.33333333,100,2/3/2018,"Belem, Para, Brazil", Brazil,Red,FALSE,Lightweight,MALE,3,1,0,0,52,0.435,0,1,0.5,1,1,6,0,0,1,0,0,0,0,1,Southpaw,177.8,185.42,155,0,5,0,33.55555556,0.491111111,0.333333333,3.888888889,0.434444444,5,2,25,0,0,2,3,0,2,0,7,Orthodox,167.64,170.18,170,36,28,-1,-5,-4,-6,1,-19,0,0,-2,10.16,15.24,8,-0.056111111,-0.333333333,-2.888888889,0,1
Tim Johnson,Marcelo Golm,150,-170,150,58.82352941,2/3/2018,"Belem, Para, Brazil", Brazil,Red,FALSE,Heavyweight,MALE,3,0,1,0,35,0.64,1,1,1,1,0,1,0,0,0,0,0,1,0,1,Orthodox,190.5,190.5,249,1,0,0,34.5,0.431666667,0,1,0.261666667,1,3,14,0,0,1,1,1,0,0,3,Southpaw,190.5,195.58,265,32,25,1,1,0,-2,3,-13,0,-1,1,0,-5.08,7,0.208333333,1,0,0,1
Douglas Silva de Andrade,Marlon Vera,165,-190,165,52.63157895,2/3/2018,"Belem, Para, Brazil", Brazil,Red,FALSE,Bantamweight,MALE,3,1,0,0,32.85714286,0.428571429,1.142857143,0.428571429,0.212857143,3,3,18,0,0,0,1,1,2,0,4,Switch,172.72,177.8,135,1,0,0,41.5,0.3275,0,0.75,0.5,2,2,11,0,0,0,1,1,0,0,2,Orthodox,170.18,172.72,135,32,25,0,0,1,2,-1,7,0,0,2,2.54,5.08,7,0.101071429,1.142857143,-0.321428571,0,1
Thiago Santos,Anthony Smith,-255,215,39.21568627,215,2/3/2018,"Belem, Para, Brazil", Brazil,Red,FALSE,Middleweight,MALE,3,0,3,0,37.83333333,0.443333333,0.333333333,0.333333333,0.066666667,3,2,15,0,0,0,1,3,0,0,4,Orthodox,193.04,193.04,205,0,3,0,22,0.421666667,0,0.166666667,0.083333333,4,4,18,0,0,0,1,7,0,0,8,Orthodox,187.96,193.04,205,34,29,0,0,-1,-4,2,-3,0,-4,0,5.08,0,5,0.021666666,0.333333333,0.166666666,0,1
Sergio Moraes,Tim Means,173,-205,173,48.7804878,2/3/2018,"Belem, Para, Brazil", Brazil,Red,FALSE,Welterweight,MALE,3,1,0,0,45.25,0.495625,0.125,0.5,0.21875,4,7,37,0,0,1,3,4,1,0,9,Orthodox,187.96,190.5,170,1,0,0,28.22222222,0.468888889,0.333333333,0.888888889,0.261111111,4,3,23,1,0,1,2,1,2,0,6,Orthodox,182.88,182.88,170,35,33,0,0,0,3,-4,14,-1,3,-1,5.08,7.62,2,0.026736111,-0.208333333,-0.388888889,0,1
Alan Patrick,Damir Hadzovic,-240,200,41.66666667,200,2/3/2018,"Belem, Para, Brazil", Brazil,Red,FALSE,Lightweight,MALE,3,0,1,0,12.5,0.355,0,0,0,1,1,4,0,0,0,0,1,0,0,1,Orthodox,175.26,177.8,155,0,2,0,21,0.48,0.4,2.6,0.402,2,1,12,0,0,0,3,1,0,0,4,Southpaw,180.34,187.96,155,34,31,0,-1,-1,-3,0,-8,0,0,0,-5.08,-10.16,3,-0.125,-0.4,-2.6,0,1
Maia Stevenson,Polyana Viana,350,-440,350,22.72727273,2/3/2018,"Belem, Para, Brazil", Brazil,Blue,FALSE,Women's Strawweight,FEMALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,170.18,115,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,162.56,157.48,115,35,25,0,0,0,0,0,0,0,0,0,2.54,12.7,10,0,0,0,0,1
Iuri Alcantara,Joe Soto,-120,100,83.33333333,100,2/3/2018,"Belem, Para, Brazil", Brazil,Red,FALSE,Bantamweight,MALE,3,1,0,0,33.85714286,0.408571429,1.285714286,0.571428571,0.352857143,3,4,17,1,0,0,1,0,2,0,3,Orthodox,167.64,165.1,135,2,0,0,27.875,0.46625,0.5,1,0.385,3,7,37,0,0,1,4,2,2,0,9,Southpaw,175.26,180.34,135,37,30,1,0,0,-6,3,-20,1,-2,0,-7.62,-15.24,7,-0.057678571,0.785714286,-0.428571429,0,1
Deiveson Figueiredo,Joseph Morales,110,-130,110,76.92307692,2/3/2018,"Belem, Para, Brazil", Brazil,Red,FALSE,Flyweight,MALE,3,0,1,0,12,0.54,1,0,0,1,0,1,0,0,0,0,0,1,0,1,Switch,167.64,175.26,125,0,1,0,19,0.39,5,1,0.25,1,0,3,0,0,1,0,0,0,0,1,Orthodox,165.1,172.72,125,30,23,0,0,0,0,0,-2,0,0,1,2.54,2.54,7,0.15,-4,-1,0,1
Jacare Souza,Derek Brunson,120,-140,120,71.42857143,1/27/2018,"Charlotte, North Carolina, USA", USA,Red,FALSE,Middleweight,MALE,5,0,2,0,20.66666667,0.475,0.25,1.083333333,0.119166667,5,3,20,0,0,0,2,6,1,0,9,Southpaw,185.42,195.58,185,1,0,0,19.44444444,0.505555556,0.777777778,1.333333333,0.392222222,5,2,16,0,0,0,1,2,4,0,7,Orthodox,185.42,182.88,185,38,34,1,2,0,2,-1,4,0,4,-3,0,12.7,4,-0.030555556,-0.527777778,-0.25,0,1
Dennis Bermudez,Andre Fili,-150,130,66.66666667,130,1/27/2018,"Charlotte, North Carolina, USA", USA,Blue,FALSE,Featherweight,MALE,3,0,1,0,38,0.357777778,0.111111111,1.888888889,0.522222222,1,4,21,0,0,0,3,2,0,0,5,Orthodox,180.34,187.96,145,2,0,0,47.28571429,0.455714286,0.857142857,2.785714286,0.408571429,7,5,33,1,0,2,4,1,2,0,9,Orthodox,167.64,167.64,155,31,27,2,1,-6,-4,1,-12,-1,1,-2,12.7,20.32,4,-0.097936508,-0.746031746,-0.896825397,0,1
Jordan Rinaldi,Gregor Gillespie,425,-550,425,18.18181818,1/27/2018,"Charlotte, North Carolina, USA", USA,Blue,FALSE,Lightweight,MALE,3,0,3,0,23,0.486666667,0.333333333,3,0.306666667,3,0,6,0,0,0,1,1,1,0,3,Orthodox,170.18,180.34,155,0,1,0,12,0.405,1,1,0.14,1,1,4,0,0,0,0,0,1,0,1,Orthodox,177.8,182.88,145,30,31,0,2,2,2,1,2,0,1,0,-7.62,-2.54,-1,0.081666667,-0.666666667,2,0,1
Drew Dober,Frank Camacho,-140,120,71.42857143,120,1/27/2018,"Charlotte, North Carolina, USA", USA,Red,FALSE,Welterweight,MALE,3,0,1,0,154,0.51,0,1,0.2,1,0,3,0,0,1,0,0,0,0,1,Orthodox,177.8,185.42,170,0,1,0,25.77777778,0.341111111,0.111111111,0.555555556,0.038888889,2,5,17,0,0,0,1,2,1,0,4,Southpaw,172.72,177.8,155,29,28,0,0,-1,-3,5,-14,0,-2,-1,5.08,7.62,1,0.168888889,-0.111111111,0.444444444,0,1
Erik Koch,Bobby Green,155,-175,155,57.14285714,1/27/2018,"Charlotte, North Carolina, USA", USA,Blue,FALSE,Lightweight,MALE,3,4,0,0,55.875,0.465,0.125,0.625,0.22875,4,4,20,0,0,1,1,1,1,0,4,Orthodox,177.8,180.34,155,1,0,0,17.75,0.3725,0.75,0.25,0.0625,2,4,16,0,0,0,1,2,1,0,4,Southpaw,177.8,180.34,155,29,31,-3,0,2,0,0,4,0,-1,0,0,0,-2,0.0925,-0.625,0.375,0,1
Mirsad Bektic,Godofredo Pepey,-550,425,18.18181818,425,1/27/2018,"Charlotte, North Carolina, USA", USA,Red,FALSE,Featherweight,MALE,3,1,0,0,18.4,0.402,0.8,0.2,0.1,3,5,18,1,0,1,0,1,3,0,5,Orthodox,170.18,185.42,145,1,0,0,32.8,0.494,0.4,3,0.564,4,1,12,0,1,0,1,1,1,0,4,Orthodox,172.72,177.8,145,26,30,0,0,-1,1,-4,6,1,0,2,-2.54,7.62,-4,-0.092,0.4,-2.8,0,1
Katlyn Chookagian,Mara Romero Borella,-190,165,52.63157895,165,1/27/2018,"Charlotte, North Carolina, USA", USA,Red,FALSE,Women's Flyweight,FEMALE,3,0,1,0,3,0.6,1,1,1,1,0,1,0,0,0,0,0,1,0,1,Orthodox,167.64,175.26,125,0,1,0,57.33333333,0.296666667,0,0,0,1,1,9,0,0,1,1,0,0,0,2,Orthodox,175.26,172.72,125,29,31,0,0,0,-1,1,-8,0,0,1,-7.62,2.54,-2,0.303333333,1,1,0,1
Randa Markos,Juliana Lima,-155,135,64.51612903,135,1/27/2018,"Charlotte, North Carolina, USA", USA,Red,FALSE,Women's Strawweight,FEMALE,3,1,0,0,28,0.43,0,1.666666667,0.385,2,3,17,0,0,0,3,0,0,0,3,Orthodox,165.1,165.1,115,1,0,0,41.42857143,0.372857143,0.285714286,1.428571429,0.375714286,1,4,19,0,0,1,2,0,0,0,3,Orthodox,162.56,160.02,115,32,35,0,0,1,0,1,-2,0,0,0,2.54,5.08,-3,0.057142857,-0.285714286,0.238095238,0,1
Justine Kish,Ji Yeon Kim,-160,140,62.5,140,1/27/2018,"Charlotte, North Carolina, USA", USA,Blue,FALSE,Women's Flyweight,FEMALE,3,1,0,0,60,0.37,0,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,170.18,182.88,125,1,0,0,54.33333333,0.516666667,0.333333333,1.333333333,0.433333333,2,1,9,0,0,0,2,0,0,0,2,Orthodox,165.1,162.56,125,29,28,0,0,-2,-2,0,-6,0,0,0,5.08,20.32,1,-0.146666667,-0.333333333,-1.333333333,0,1
Vinc Pichel,Joaquim Silva,110,-130,110,76.92307692,1/27/2018,"Charlotte, North Carolina, USA", USA,Red,FALSE,Lightweight,MALE,3,0,3,0,31.66666667,0.443333333,0.333333333,0,0,3,0,7,0,0,2,0,1,0,0,3,Orthodox,172.72,175.26,155,0,3,0,30,0.385,0.25,4,0.345,3,1,8,0,0,0,2,1,0,0,3,Orthodox,177.8,182.88,155,35,28,0,0,0,0,1,-1,0,0,0,-5.08,-7.62,7,0.058333333,0.083333333,-4,0,1
Niko Price,George Sullivan,-365,305,27.39726027,305,1/27/2018,"Charlotte, North Carolina, USA", USA,Red,FALSE,Welterweight,MALE,3,1,0,0,42.2,0.488,0.6,1,0.328,2,2,12,0,0,0,2,1,0,0,3,Orthodox,182.88,185.42,170,1,0,0,16,0.3325,0.5,0.25,0.0625,1,2,6,0,0,0,0,1,1,0,2,Orthodox,182.88,193.04,170,28,36,0,0,1,1,0,6,0,0,-1,0,-7.62,-8,0.1555,0.1,0.75,0,1
Austin Arnett,Cory Sandhagen,170,-200,170,50,1/27/2018,"Charlotte, North Carolina, USA", USA,Blue,FALSE,Featherweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Switch,180.34,177.8,135,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,145,26,25,0,0,0,0,0,0,0,0,0,-2.54,-5.08,1,0,0,0,0,1
Stipe Miocic,Francis Ngannou,150,-170,150,58.82352941,1/20/2018,"Boston, Massachusetts, USA", USA,Red,TRUE,Heavyweight,MALE,5,0,6,0,14,0.566666667,0.166666667,0,0,6,0,8,0,0,0,0,4,1,1,6,Orthodox,193.04,210.82,250,0,5,0,48.15384615,0.523076923,0,1.307692308,0.370769231,5,2,29,3,0,0,3,8,0,0,11,Orthodox,193.04,203.2,240,35,31,0,1,1,-5,2,-21,-3,-3,1,0,7.62,4,0.043589744,0.166666667,-1.307692308,0,1
Daniel Cormier,Volkan Oezdemir,-345,285,28.98550725,285,1/20/2018,"Boston, Massachusetts, USA", USA,Red,TRUE,Light Heavyweight,MALE,5,0,3,0,33,0.596666667,0,0,0,3,0,5,0,0,1,0,2,0,0,3,Orthodox,187.96,190.5,205,1,0,0,54.9,0.54,0.6,1.5,0.379,4,2,31,5,0,1,3,1,3,0,8,Orthodox,180.34,182.88,235,38,28,1,3,-1,-5,2,-26,-5,1,-3,7.62,7.62,10,0.056666667,-0.6,-1.5,0,1
Calvin Kattar,Shane Burgos,190,-230,190,43.47826087,1/20/2018,"Boston, Massachusetts, USA", USA,Red,FALSE,Featherweight,MALE,3,0,3,0,84,0.45,0,0.666666667,0.666666667,3,0,9,0,0,0,2,1,0,0,3,Orthodox,180.34,190.5,145,0,1,0,75,0.46,0,2,0.66,1,0,3,0,0,0,1,0,0,0,1,Orthodox,180.34,182.88,145,29,26,0,2,2,2,0,6,0,1,0,0,7.62,3,-0.01,0,-1.333333333,0,1
Gian Villante,Francimar Barroso,-155,135,64.51612903,135,1/20/2018,"Boston, Massachusetts, USA", USA,Red,FALSE,Light Heavyweight,MALE,3,1,0,0,30.5,0.4475,0,2.125,0.23375,2,4,21,0,0,0,4,0,0,0,4,Orthodox,185.42,190.5,205,2,0,0,47.90909091,0.457272727,0,0.454545455,0.204545455,2,6,28,0,0,1,0,4,0,0,5,Orthodox,190.5,193.04,205,32,37,1,0,0,-1,2,-7,0,-4,0,-5.08,-2.54,-5,-0.009772727,0,1.670454545,0,1
Thomas Almeida,Rob Font,-145,125,68.96551724,125,1/20/2018,"Boston, Massachusetts, USA", USA,Blue,FALSE,Bantamweight,MALE,3,1,0,0,38.33333333,0.506666667,0.666666667,0.666666667,0.283333333,2,2,10,0,0,0,0,3,1,0,4,Orthodox,172.72,180.34,135,1,0,0,46,0.458571429,0,0,0,4,2,13,0,0,0,1,4,0,0,5,Southpaw,170.18,177.8,135,26,30,0,0,-2,-1,0,-3,0,-1,1,2.54,2.54,-4,0.048095238,0.666666667,0.666666667,0,1
Kyle Bochniak,Brandon Davis,120,-140,120,71.42857143,1/20/2018,"Boston, Massachusetts, USA", USA,Red,FALSE,Featherweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,135,1,0,0,38.66666667,0.37,0,0.666666667,0.176666667,1,2,9,0,0,1,0,0,0,0,1,Orthodox,170.18,177.8,145,30,27,1,0,-1,-1,2,-9,0,0,0,7.62,5.08,3,-0.37,0,-0.666666667,0,1
Sabah Homasi,Abdul Razak Alhassan,168,-195,168,51.28205128,1/20/2018,"Boston, Massachusetts, USA", USA,Blue,FALSE,Welterweight,MALE,3,0,1,0,27.33333333,0.47,0,0.333333333,0.11,1,1,5,0,0,0,0,2,0,0,2,Orthodox,177.8,185.42,170,2,0,0,36,0.53,0,1,0.5,0,2,3,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,170,29,32,2,1,1,2,1,2,0,2,0,-5.08,2.54,-3,-0.06,0,-0.666666667,0,1
Dustin Ortiz,Alexandre Pantoja,-135,115,74.07407407,115,1/20/2018,"Boston, Massachusetts, USA", USA,Red,FALSE,Flyweight,MALE,3,0,2,0,78,0.445,1.5,1,0.665,2,0,6,0,0,1,0,0,1,0,2,Orthodox,165.1,170.18,125,0,1,0,38.18181818,0.470909091,0.090909091,2.272727273,0.279090909,2,5,30,0,0,3,0,3,0,0,6,Orthodox,165.1,165.1,125,29,27,0,1,0,-4,5,-24,0,-3,1,0,5.08,2,-0.025909091,1.409090909,-1.272727273,0,1
Dan Ige,Julio Arce,120,-140,120,71.42857143,1/20/2018,"Boston, Massachusetts, USA", USA,Blue,FALSE,Featherweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,170.18,177.8,145,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,180.34,145,26,28,0,0,0,0,0,0,0,0,0,0,-2.54,-2,0,0,0,0,1
Matt Bessette,Enrique Barzola,245,-290,245,34.48275862,1/20/2018,"Boston, Massachusetts, USA", USA,Blue,FALSE,Featherweight,MALE,3,0,2,0,52.75,0.4325,0.25,5.5,0.46,2,1,12,1,0,0,3,0,0,0,3,Switch,170.18,177.8,145,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,145,33,28,0,2,2,3,-1,12,1,0,0,-7.62,0,5,0.4325,0.25,5.5,0,1
Islam Makhachev,Gleison Tibau,-290,245,34.48275862,245,1/20/2018,"Boston, Massachusetts, USA", USA,Red,FALSE,Lightweight,MALE,3,2,0,0,21.96153846,0.355769231,0.653846154,3.230769231,0.515769231,3,10,63,0,0,5,6,1,4,0,16,Southpaw,177.8,180.34,155,0,2,0,22.75,0.5675,0.75,3,0.65,2,1,9,0,0,0,2,0,1,0,3,Orthodox,177.8,177.8,155,26,34,-2,-2,1,13,-9,54,0,1,3,0,2.54,-8,-0.211730769,-0.096153846,0.230769231,0,1
Jeremy Stephens,Dooho Choi,145,-165,145,60.60606061,1/14/2018,"St. Louis, Missouri, USA", USA,Red,FALSE,Featherweight,MALE,5,1,0,0,27.25,0.6,0,0.25,0.05,3,1,6,0,0,0,0,3,0,0,3,Orthodox,177.8,177.8,145,0,1,0,38.19230769,0.445384615,0.384615385,1.038461538,0.271923077,3,13,71,0,0,1,6,5,0,1,13,Orthodox,172.72,180.34,145,31,26,-1,-1,0,-10,12,-65,0,-3,0,5.08,-2.54,5,0.154615385,-0.384615385,-0.788461538,0,1
Paige VanZant,Jessica-Rose Clark,-120,100,83.33333333,100,1/14/2018,"St. Louis, Missouri, USA", USA,Blue,FALSE,Women's Flyweight,FEMALE,3,0,1,0,101,0.58,1,2,0.66,1,0,3,0,0,1,0,0,0,0,1,Orthodox,165.1,162.56,125,1,0,0,40.16666667,0.473333333,0.666666667,1.333333333,0.22,3,2,17,0,0,0,1,2,1,0,4,Orthodox,162.56,165.1,115,23,30,1,1,-2,-3,2,-14,0,-2,-1,2.54,-2.54,-7,0.106666667,0.333333333,0.666666667,0,1
Kamaru Usman,Emil Meek,-750,525,13.33333333,525,1/14/2018,"St. Louis, Missouri, USA", USA,Red,FALSE,Welterweight,MALE,3,0,1,0,50,0.37,1,1,0.5,1,0,3,0,0,0,1,0,0,0,1,Switch,180.34,187.96,170,0,6,0,46.83333333,0.516666667,0.333333333,3.333333333,0.418333333,6,0,15,1,0,0,4,1,1,0,6,Switch,182.88,193.04,170,30,29,0,-5,-5,-5,0,-12,-1,-1,-1,-2.54,-5.08,1,-0.146666667,0.666666667,-2.333333333,0,1
Darren Elkins,Michael Johnson,175,-210,175,47.61904762,1/14/2018,"St. Louis, Missouri, USA", USA,Red,FALSE,Featherweight,MALE,3,2,0,0,45.52941176,0.345882353,0.058823529,0.470588235,0.328235294,4,8,42,1,0,0,5,4,0,0,9,Southpaw,177.8,185.42,145,0,5,0,37,0.331176471,1.176470588,2.176470588,0.349411765,5,4,43,0,0,2,8,3,0,0,13,Orthodox,177.8,180.34,145,33,31,-2,-5,-1,-4,-4,-1,1,1,0,0,5.08,2,0.014705882,-1.117647059,-1.705882353,0,1
James Krause,Alex White,-180,158,55.55555556,158,1/14/2018,"St. Louis, Missouri, USA", USA,Red,FALSE,Lightweight,MALE,3,0,1,0,44.33333333,0.428333333,0.166666667,0.666666667,0.125,1,3,15,0,0,0,1,2,0,0,3,Southpaw,182.88,180.34,155,0,3,0,56,0.46625,0.5,0.5,0.205,3,3,18,0,0,0,2,1,2,0,5,Orthodox,187.96,185.42,170,31,29,0,-2,-2,-2,0,-3,0,1,-2,-5.08,-5.08,2,-0.037916667,-0.333333333,0.166666667,0,1
Matt Frevola,Polo Reyes,-200,185,50,185,1/14/2018,"St. Louis, Missouri, USA", USA,Blue,FALSE,Lightweight,MALE,3,1,0,0,52.75,0.3625,0,0,0,3,1,8,0,0,1,0,2,0,0,3,Orthodox,180.34,180.34,155,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,180.34,155,27,33,-1,0,3,3,-1,8,0,2,0,5.08,0,-6,0.3625,0,0,0,1
Talita Bernardo,Irene Aldana,115,-135,115,74.07407407,1/14/2018,"St. Louis, Missouri, USA", USA,Blue,FALSE,Women's Bantamweight,FEMALE,3,2,0,0,96,0.395,0,0.5,0.5,0,2,6,0,0,0,0,0,0,0,0,Orthodox,175.26,172.72,135,1,0,0,22,0.25,1,3,0.42,0,1,3,0,0,0,0,0,0,0,0,Orthodox,162.56,172.72,135,30,29,-1,0,0,0,-1,3,0,0,0,12.7,0,1,0.145,-1,-2.5,0,1
Kyung Ho Kang,Guido Cannetti,-290,245,34.48275862,245,1/14/2018,"St. Louis, Missouri, USA", USA,Red,FALSE,Bantamweight,MALE,3,0,1,0,33.5,0.545,0,2.5,0.535,1,1,5,0,0,0,1,0,0,0,1,Southpaw,167.64,172.72,135,0,2,0,30,0.405,1.5,2.5,0.6375,2,2,12,0,0,1,0,0,1,0,2,Orthodox,175.26,185.42,135,30,38,0,-1,-1,-1,1,-7,0,0,-1,-7.62,-12.7,-8,0.14,-1.5,0,0,1
Kalindra Faria,Jessica Eye,115,-135,115,74.07407407,1/14/2018,"St. Louis, Missouri, USA", USA,Blue,FALSE,Women's Flyweight,FEMALE,3,4,0,0,48.57142857,0.395714286,0.142857143,0.142857143,0.142857143,1,6,20,0,0,0,0,0,0,1,1,Orthodox,167.64,167.64,125,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Switch,170.18,157,125,31,31,-3,0,1,1,-5,19,0,1,0,-2.54,10.64,0,0.395714286,0.142857143,0.142857143,0,1
Danielle Taylor,JJ Aldrich,110,-130,110,76.92307692,1/14/2018,"St. Louis, Missouri, USA", USA,Blue,FALSE,Women's Strawweight,FEMALE,3,0,1,0,64.5,0.39,0,0,0,1,1,6,0,0,0,1,0,0,0,1,Southpaw,165.1,170.18,125,0,2,0,44.66666667,0.276666667,0,0.333333333,0.333333333,2,1,9,0,0,1,1,0,0,0,2,Orthodox,152.4,152.4,115,28,25,0,-1,-1,-1,0,-3,0,0,0,12.7,17.78,3,0.113333333,0,-0.333333333,0,1
Mads Burnell,Mike Santiago,165,-190,165,52.63157895,1/14/2018,"St. Louis, Missouri, USA", USA,Red,FALSE,Featherweight,MALE,3,1,0,0,24,0.35,0,2,0.28,0,1,2,0,0,0,0,0,0,0,0,Orthodox,177.8,175.26,145,1,0,0,10,0.33,0,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,145,23,28,0,0,0,0,0,-1,0,0,0,5.08,0,-5,0.02,0,2,0,1
Cris Cyborg,Holly Holm,-325,265,30.76923077,265,12/30/2017,"Las Vegas, Nevada, USA", USA,Red,TRUE,Women's Featherweight,FEMALE,5,0,1,0,51.71428571,0.402857143,0,0.285714286,0.285714286,3,3,26,3,0,1,1,2,0,0,4,Southpaw,172.72,175.26,145,0,3,0,61.33333333,0.606666667,0,0.666666667,0.333333333,3,0,6,1,0,0,0,3,0,0,3,Orthodox,172.72,172.72,145,32,36,0,-2,0,1,-3,20,2,-1,0,0,2.54,-4,-0.203809524,0,-0.380952381,0,1
