,R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,constant_1,label
2506,Darren Elkins,Hacran Dias,210.0,-230.0,210.0,43.47826087,2014-12-20,"Barueri, Sao Paulo, Brazil", Brazil,Blue,False,Featherweight,MALE,3.0,2.0,0.0,0.0,30.0,0.433333333,0.333333333,2.666666667,0.41,1.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Orthodox,172.72,175.26,155.0,0.0,1.0,0.0,28.81818182,0.253636364,1.2727272729999999,1.2727272729999999,0.308181818,5.0,3.0,25.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,8.0,Orthodox,177.8,180.34,145.0,30.0,30.0,-2.0,-1.0,-4.0,-7.0,1.0,-16.0,0.0,-2.0,0.0,-5.08,-5.08,0.0,0.17969696899999998,-0.93939394,1.393939394,1.0,0
2507,Leandro Issa,Ulka Sasaki,420.0,-475.0,420.0,21.05263158,2014-12-20,"Barueri, Sao Paulo, Brazil", Brazil,Red,False,Bantamweight,MALE,3.0,0.0,1.0,0.0,5.0,0.62,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Southpaw,177.8,180.34,125.0,0.0,1.0,0.0,30.5,0.31,2.0,2.0,0.225,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Orthodox,170.18,175.26,135.0,31.0,25.0,0.0,0.0,0.0,0.0,1.0,-4.0,0.0,0.0,0.0,7.62,5.08,6.0,0.31,-1.0,-2.0,1.0,1
2508,Marcio Alexandre Junior,Tim Means,160.0,-170.0,160.0,58.82352941,2014-12-20,"Barueri, Sao Paulo, Brazil", Brazil,Blue,False,Welterweight,MALE,3.0,0.0,1.0,0.0,50.83333333,0.443333333,0.166666667,0.666666667,0.166666667,2.0,3.0,16.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,Orthodox,187.96,190.5,170.0,1.0,0.0,0.0,8.0,0.38,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southpaw,182.88,190.5,185.0,25.0,30.0,1.0,1.0,2.0,3.0,-2.0,13.0,-1.0,1.0,0.0,5.08,0.0,-5.0,0.06333333299999999,0.166666667,0.666666667,1.0,0
2509,Vitor Miranda,Jake Collier,165.0,-175.0,165.0,57.14285714,2014-12-20,"Barueri, Sao Paulo, Brazil", Brazil,Red,False,Middleweight,MALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,190.5,198.12,205.0,1.0,0.0,0.0,21.0,0.44,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,185.42,195.58,185.0,35.0,26.0,1.0,0.0,0.0,0.0,1.0,-3.0,-1.0,0.0,0.0,5.08,2.54,9.0,-0.44,0.0,0.0,1.0,1
2510,Junior Dos Santos,Stipe Miocic,-400.0,355.0,25.0,355.0,2014-12-13,"Phoenix, Arizona, USA", USA,Red,False,Heavyweight,MALE,5.0,0.0,3.0,0.0,47.57142857,0.47571428600000004,0.0,1.285714286,0.43142857100000004,3.0,1.0,15.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,Orthodox,193.04,203.2,240.0,1.0,0.0,0.0,48.75,0.520833333,0.083333333,0.333333333,0.208333333,9.0,2.0,29.0,4.0,0.0,0.0,2.0,8.0,0.0,0.0,10.0,Orthodox,193.04,195.58,238.0,30.0,32.0,1.0,3.0,-6.0,-4.0,1.0,-14.0,-4.0,-5.0,0.0,0.0,7.62,-2.0,-0.045119047,-0.083333333,0.9523809529999999,1.0,1
2511,Rafael Dos Anjos,Nate Diaz,-275.0,250.0,36.36363636,250.0,2014-12-13,"Phoenix, Arizona, USA", USA,Red,False,Lightweight,MALE,3.0,0.0,1.0,0.0,42.15789474,0.43105263200000005,1.210526316,0.7894736840000001,0.341052632,5.0,7.0,44.0,2.0,0.0,1.0,1.0,2.0,8.0,0.0,12.0,Southpaw,182.88,193.04,170.0,0.0,2.0,0.0,30.4375,0.395,0.75,1.75,0.301875,5.0,5.0,40.0,0.0,0.0,0.0,6.0,3.0,2.0,0.0,11.0,Southpaw,172.72,177.8,170.0,30.0,29.0,0.0,-1.0,0.0,1.0,-2.0,4.0,2.0,-1.0,6.0,10.16,15.24,1.0,0.036052632,0.460526316,-0.9605263159999999,1.0,1
2512,Alistair Overeem,Stefan Struve,-200.0,185.0,50.0,185.0,2014-12-13,"Phoenix, Arizona, USA", USA,Red,False,Heavyweight,MALE,3.0,1.0,0.0,0.0,20.23076923,0.429230769,1.4615384619999998,0.23076923100000002,0.23076923100000002,4.0,4.0,22.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,9.0,Orthodox,210.82,213.36,265.0,1.0,0.0,0.0,38.6,0.78,0.0,0.2,0.2,1.0,3.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,Orthodox,193.04,203.2,265.0,34.0,26.0,0.0,0.0,3.0,7.0,-1.0,13.0,0.0,3.0,4.0,17.78,10.16,8.0,-0.350769231,1.4615384619999998,0.030769231,1.0,1
2513,Gabriel Gonzaga,Matt Mitrione,120.0,-130.0,120.0,76.92307692,2014-12-13,"Phoenix, Arizona, USA", USA,Blue,False,Heavyweight,MALE,3.0,0.0,2.0,0.0,24.18181818,0.544545455,0.363636364,0.0,0.0,5.0,3.0,18.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,8.0,Switch,190.5,200.66,265.0,1.0,0.0,0.0,13.5,0.556111111,0.5555555560000001,1.0555555559999998,0.45833333299999995,4.0,7.0,29.0,1.0,0.0,0.0,0.0,7.0,4.0,0.0,11.0,Orthodox,187.96,193.04,242.0,35.0,36.0,1.0,2.0,1.0,-3.0,4.0,-11.0,-1.0,0.0,-4.0,2.54,7.62,-1.0,-0.011565656,-0.191919192,-1.0555555559999998,1.0,0
2514,Claudia Gadelha,Joanna Jedrzejczyk,-280.0,240.0,35.71428571,240.0,2014-12-13,"Phoenix, Arizona, USA", USA,Blue,False,Women's Strawweight,FEMALE,3.0,0.0,1.0,0.0,46.0,0.27,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Orthodox,167.64,165.1,125.0,0.0,1.0,0.0,70.0,0.42,2.0,5.0,0.83,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Orthodox,162.56,160.02,115.0,26.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08,5.08,-1.0,-0.15,-2.0,-5.0,1.0,0
2515,John Moraga,Willie Gates,-570.0,480.0,17.54385965,480.0,2014-12-13,"Phoenix, Arizona, USA", USA,Red,False,Flyweight,MALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,172.72,177.8,125.0,0.0,1.0,0.0,24.5,0.37,0.833333333,0.5,0.2,2.0,2.0,16.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,Orthodox,167.64,167.64,125.0,30.0,27.0,0.0,-1.0,-2.0,-4.0,2.0,-16.0,-1.0,-1.0,-2.0,5.08,10.16,3.0,-0.37,-0.833333333,-0.5,1.0,1
2516,Joe Riggs,Ben Saunders,230.0,-250.0,230.0,40.0,2014-12-13,"Phoenix, Arizona, USA", USA,Blue,False,Welterweight,MALE,3.0,0.0,1.0,0.0,23.875,0.6525,1.125,0.125,0.125,3.0,3.0,16.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,5.0,Orthodox,187.96,195.58,170.0,1.0,0.0,0.0,13.375,0.41125,0.25,1.0,0.50375,1.0,4.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,Southpaw,182.88,177.8,185.0,32.0,31.0,1.0,1.0,2.0,1.0,1.0,4.0,0.0,0.0,1.0,5.08,17.78,1.0,0.24125,0.875,-0.875,1.0,0
2517,Jamie Varner,Drew Dober,-450.0,400.0,22.22222222,400.0,2014-12-13,"Phoenix, Arizona, USA", USA,Blue,False,Lightweight,MALE,3.0,2.0,0.0,0.0,55.0,0.32,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southpaw,172.72,177.8,155.0,3.0,0.0,0.0,29.875,0.39,0.75,2.875,0.64125,2.0,5.0,17.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,Orthodox,172.72,182.88,155.0,30.0,26.0,1.0,0.0,-2.0,-3.0,3.0,-11.0,0.0,-1.0,-1.0,0.0,-5.08,4.0,-0.07,-0.75,-2.875,1.0,0
2518,Joe Ellenberger,Bryan Barberena,-210.0,190.0,47.61904762,190.0,2014-12-13,"Phoenix, Arizona, USA", USA,Blue,False,Lightweight,MALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southpaw,182.88,182.88,170.0,0.0,1.0,0.0,22.0,0.59,2.0,3.0,0.3,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Orthodox,175.26,182.88,155.0,29.0,25.0,0.0,-1.0,-1.0,-1.0,0.0,-3.0,0.0,0.0,0.0,7.62,0.0,4.0,-0.59,-2.0,-3.0,1.0,0
2519,David Michaud,Garett Whiteley,-230.0,210.0,43.47826087,210.0,2014-12-13,"Phoenix, Arizona, USA", USA,Red,False,Lightweight,MALE,3.0,2.0,0.0,0.0,25.5,0.43,1.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,182.88,182.88,155.0,1.0,0.0,0.0,41.0,0.33,2.0,3.0,0.37,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,175.26,182.88,155.0,26.0,33.0,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,7.62,0.0,-7.0,0.1,-1.0,-3.0,1.0,1
2520,Henry Cejudo,Dustin Kimura,-225.0,185.0,44.44444444,185.0,2014-12-13,"Phoenix, Arizona, USA", USA,Red,False,Bantamweight,MALE,3.0,1.0,0.0,0.0,9.75,0.2375,1.75,0.75,0.125,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Orthodox,170.18,180.34,135.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,162.56,162.56,135.0,27.0,25.0,-1.0,0.0,1.0,2.0,-2.0,8.0,0.0,0.0,2.0,7.62,17.78,2.0,0.2375,1.75,0.75,1.0,1
2521,Anthony Birchak,Ian Entwistle,-270.0,248.0,37.03703704,248.0,2014-12-13,"Phoenix, Arizona, USA", USA,Blue,False,Bantamweight,MALE,3.0,1.0,0.0,0.0,1.0,0.11,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,165.1,162.56,135.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,172.72,175.26,135.0,28.0,28.0,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-7.62,-12.7,0.0,0.11,3.0,0.0,1.0,0
2522,Carla Esparza,Rose Namajunas,-110.0,-110.0,90.90909091,90.90909091,2014-12-12,"Las Vegas, Nevada, USA", USA,Red,True,Women's Strawweight,FEMALE,5.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,165.1,165.1,115.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,154.94,160.02,115.0,27.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.16,5.08,5.0,0.0,0.0,0.0,1.0,1
2523,Jeremy Stephens,Charles Oliveira,-185.0,170.0,54.05405405,170.0,2014-12-12,"Las Vegas, Nevada, USA", USA,Blue,False,Featherweight,MALE,3.0,0.0,2.0,0.0,20.27272727,0.495454545,1.2727272729999999,1.0909090909999999,0.335454545,2.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,Orthodox,177.8,187.96,155.0,1.0,0.0,0.0,32.63157895,0.45842105299999997,0.473684211,1.4210526319999999,0.37210526299999996,3.0,9.0,50.0,0.0,0.0,1.0,4.0,4.0,0.0,1.0,10.0,Orthodox,172.72,180.34,145.0,28.0,25.0,1.0,2.0,-1.0,-4.0,4.0,-30.0,0.0,-5.0,6.0,5.08,7.62,3.0,0.037033492,0.7990430620000001,-0.33014354100000004,1.0,0
2525,Joe Proctor,Yancy Medeiros,230.0,-250.0,230.0,40.0,2014-12-12,"Las Vegas, Nevada, USA", USA,Blue,False,Lightweight,MALE,3.0,0.0,1.0,0.0,16.75,0.3575,0.5,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Orthodox,177.8,190.5,155.0,0.0,2.0,0.0,30.75,0.3325,1.25,0.0,0.0,2.0,1.0,9.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,Orthodox,177.8,182.88,155.0,29.0,27.0,0.0,-1.0,-1.0,-2.0,-2.0,-4.0,0.0,-2.0,1.0,0.0,7.62,2.0,0.025,-0.75,0.0,1.0,0
2526,Jessica Penne,Randa Markos,130.0,-140.0,130.0,71.42857143,2014-12-12,"Las Vegas, Nevada, USA", USA,Red,False,Women's Strawweight,FEMALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,162.56,160.02,115.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,165.1,170.18,115.0,31.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.54,-10.16,2.0,0.0,0.0,0.0,1.0,1
2527,Felice Herrig,Lisa Ellis,-345.0,285.0,28.98550725,285.0,2014-12-12,"Las Vegas, Nevada, USA", USA,Red,False,Women's Strawweight,FEMALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,162.56,157.48,115.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,162.56,165.1,115.0,30.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62,-2.0,0.0,0.0,0.0,1.0,1
2528,Bec Rawlings,Heather Jo Clark,-190.0,175.0,52.63157895,175.0,2014-12-12,"Las Vegas, Nevada, USA", USA,Blue,False,Women's Strawweight,FEMALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,167.64,162.56,115.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,167.64,162.56,125.0,25.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,1.0,0
2529,Joanne Calderwood,Seohee Ham,-650.0,535.0,15.38461538,535.0,2014-12-12,"Las Vegas, Nevada, USA", USA,Red,False,Women's Strawweight,FEMALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southpaw,157.48,157.48,115.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,167.64,165.1,125.0,28.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.16,-7.62,1.0,0.0,0.0,0.0,1.0,1
2530,Tecia Torres,Angela Magana,-740.0,595.0,13.51351351,595.0,2014-12-12,"Las Vegas, Nevada, USA", USA,Red,False,Women's Strawweight,FEMALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,154.94,165.1,115.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,154.94,152.4,115.0,25.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,-6.0,0.0,0.0,0.0,1.0,1
2531,Aisling Daly,Alex Chambers,-220.0,200.0,45.45454545,200.0,2014-12-12,"Las Vegas, Nevada, USA", USA,Red,False,Women's Strawweight,FEMALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Switch,160.02,160.02,115.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Switch,157.48,162.56,115.0,26.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54,-2.54,-10.0,0.0,0.0,0.0,1.0,1
2532,Emily Peters Kagan,Angela Hill,165.0,-175.0,165.0,57.14285714,2014-12-12,"Las Vegas, Nevada, USA", USA,Blue,False,Women's Strawweight,FEMALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,160.02,162.56,115.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,160.02,167.64,115.0,33.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.08,4.0,0.0,0.0,0.0,1.0,0
2533,Johny Hendricks,Robbie Lawler,-220.0,200.0,45.45454545,200.0,2014-12-06,"Las Vegas, Nevada, USA", USA,Blue,True,Welterweight,MALE,5.0,0.0,2.0,0.0,41.53846154,0.444615385,0.0,1.230769231,0.5,3.0,4.0,33.0,1.0,0.0,1.0,3.0,5.0,0.0,0.0,9.0,Southpaw,180.34,187.96,170.0,0.0,1.0,0.0,42.69230769,0.553076923,0.384615385,3.076923077,0.303846154,6.0,2.0,34.0,2.0,1.0,2.0,3.0,5.0,0.0,0.0,11.0,Southpaw,175.26,175.26,185.0,31.0,32.0,0.0,1.0,-3.0,-2.0,-2.0,-1.0,-1.0,0.0,0.0,5.08,12.7,-1.0,-0.10846153800000001,-0.384615385,-1.846153846,1.0,0
2534,Anthony Pettis,Gilbert Melendez,-315.0,285.0,31.74603175,285.0,2014-12-06,"Las Vegas, Nevada, USA", USA,Red,True,Lightweight,MALE,5.0,0.0,1.0,0.0,69.5,0.3,0.0,1.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Orthodox,175.26,185.42,145.0,0.0,4.0,0.0,14.2,0.47200000000000003,0.4,1.2,0.132,4.0,1.0,9.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,4.0,Orthodox,177.8,182.88,170.0,27.0,32.0,0.0,-3.0,-3.0,-3.0,0.0,-1.0,0.0,-2.0,-1.0,-2.54,2.54,-5.0,-0.172,-0.4,-0.2,1.0,1
2535,Travis Browne,Brendan Schaub,-450.0,400.0,22.22222222,400.0,2014-12-06,"Las Vegas, Nevada, USA", USA,Red,False,Heavyweight,MALE,3.0,1.0,0.0,0.0,22.2,0.465,0.2,1.1,0.23199999999999998,4.0,4.0,18.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,6.0,Orthodox,193.04,198.12,245.0,1.0,0.0,0.0,21.0,0.501,0.2,0.7,0.316,3.0,3.0,18.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,7.0,Orthodox,198.12,200.66,255.0,32.0,31.0,0.0,0.0,1.0,-1.0,-1.0,0.0,1.0,-2.0,0.0,-5.08,-2.54,1.0,-0.036000000000000004,0.0,0.4,1.0,1
2536,Todd Duffee,Anthony Hamilton,-315.0,285.0,31.74603175,285.0,2014-12-06,"Las Vegas, Nevada, USA", USA,Red,False,Heavyweight,MALE,3.0,0.0,1.0,0.0,33.0,0.675,0.0,2.5,0.415,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Orthodox,195.58,193.04,260.0,0.0,1.0,0.0,25.0,0.573333333,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,Orthodox,190.5,200.66,260.0,28.0,34.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.0,-1.0,0.0,5.08,-7.62,-6.0,0.10166666699999999,0.0,2.5,1.0,1
2537,Tony Ferguson,Abel Trujillo,-325.0,295.0,30.76923077,295.0,2014-12-06,"Las Vegas, Nevada, USA", USA,Red,False,Lightweight,MALE,3.0,0.0,2.0,0.0,35.8,0.48200000000000004,0.4,1.6,0.7659999999999999,2.0,2.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,Orthodox,172.72,177.8,155.0,0.0,3.0,0.0,32.0,0.37142857100000004,0.571428571,0.571428571,0.308571429,3.0,1.0,13.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,6.0,Orthodox,180.34,193.04,155.0,30.0,31.0,0.0,-1.0,-1.0,-3.0,-1.0,-2.0,-1.0,0.0,-1.0,-7.62,-15.24,-1.0,0.110571429,-0.171428571,1.028571429,1.0,1
2538,Urijah Faber,Francisco Rivera,-925.0,725.0,10.81081081,725.0,2014-12-06,"Las Vegas, Nevada, USA", USA,Red,False,Bantamweight,MALE,3.0,1.0,0.0,0.0,43.5,0.46,0.666666667,0.833333333,0.291666667,2.0,3.0,14.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,Orthodox,172.72,172.72,135.0,0.0,1.0,0.0,41.6,0.5,0.7,1.8,0.375,4.0,3.0,29.0,3.0,0.0,0.0,2.0,0.0,5.0,0.0,7.0,Orthodox,167.64,170.18,135.0,35.0,33.0,-1.0,-1.0,-2.0,-4.0,0.0,-15.0,-3.0,2.0,-5.0,5.08,2.54,2.0,-0.04,-0.033333333,-0.966666667,1.0,1
2539,Eddie Gordon,Josh Samman,-140.0,130.0,71.42857143,130.0,2014-12-06,"Las Vegas, Nevada, USA", USA,Blue,False,Middleweight,MALE,3.0,0.0,1.0,0.0,36.0,0.58,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Orthodox,190.5,200.66,185.0,0.0,1.0,0.0,22.0,0.52,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Orthodox,182.88,193.04,185.0,31.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,7.62,7.62,5.0,0.06,0.0,0.0,1.0,0
2540,Corey Anderson,Justin Jones,-500.0,435.0,20.0,435.0,2014-12-06,"Las Vegas, Nevada, USA", USA,Red,False,Light Heavyweight,MALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,180.34,198.12,185.0,0.0,1.0,0.0,24.0,0.64,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Orthodox,190.5,200.66,205.0,25.0,27.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-10.16,-2.54,-2.0,-0.64,0.0,-2.0,1.0,1
2541,Raquel Pennington,Ashlee Evans-Smith,175.0,-190.0,175.0,52.63157895,2014-12-06,"Las Vegas, Nevada, USA", USA,Red,False,Women's Bantamweight,FEMALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,172.72,170.18,125.0,1.0,0.0,0.0,81.0,0.545,1.5,1.5,0.83,1.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Orthodox,170.18,170.18,135.0,26.0,27.0,1.0,0.0,-1.0,-1.0,1.0,-6.0,0.0,0.0,0.0,2.54,0.0,-1.0,-0.545,-1.5,-1.5,1.0,1
2542,Sergio Pettis,Matt Hobar,-240.0,220.0,41.66666667,220.0,2014-12-06,"Las Vegas, Nevada, USA", USA,Red,False,Bantamweight,MALE,3.0,0.0,1.0,0.0,35.0,0.44,0.0,3.0,0.33,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Southpaw,177.8,177.8,135.0,0.0,1.0,0.0,61.33333333,0.42,1.0,1.0,0.333333333,1.0,1.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,Orthodox,167.64,175.26,135.0,21.0,27.0,0.0,0.0,0.0,-1.0,0.0,-5.0,0.0,0.0,0.0,10.16,2.54,-6.0,0.02,-1.0,2.0,1.0,1
2543,Alex White,Clay Collard,115.0,-125.0,115.0,80.0,2014-12-06,"Las Vegas, Nevada, USA", USA,Blue,False,Featherweight,MALE,3.0,1.0,0.0,0.0,70.0,0.33,0.0,1.0,0.1,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,180.34,185.42,145.0,1.0,0.0,0.0,31.0,0.46,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Southpaw,182.88,180.34,155.0,26.0,21.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-2.54,5.08,5.0,-0.13,0.0,1.0,1.0,0
