R_fighter,B_fighter,finish,finish_details,date
Alexander Yakovlev,Nicholas Musoke,U-DEC,,10/4/2014
Charles Rosa,Dennis Siver,U-DEC,,10/4/2014
Gasan Umalatov,Cathal Pendred,S-DEC,,10/4/2014
Tor Troeng,Krzysztof Jotko,U-DEC,,10/4/2014
Marcin Bandel,Mairbek Taisumov,KO/TKO,Punch,10/4/2014
Ernest Chavez,Zubaira Tukhugov,KO/TKO,Punches,10/4/2014
Chris Cariaso,Demetrious Johnson,SUB,Kimura,9/27/2014
Eddie Alvarez,Donald Cerrone,U-DEC,,9/27/2014
Dustin Poirier,Conor McGregor,KO/TKO,Punch,9/27/2014
Tim Kennedy,Yoel Romero,KO/TKO,Punch,9/27/2014
Amanda Nunes,Cat Zingano,KO/TKO,Punches,9/27/2014
Takeya Mizugaki,Dominick Cruz,KO/TKO,Punches,9/27/2014
James Krause,Jorge Masvidal,U-DEC,,9/27/2014
Patrick Cote,Stephen Thompson,U-DEC,,9/27/2014
John Howard,Brian Ebersole,S-DEC,,9/27/2014
Jon Tuck,Kevin Lee,U-DEC,,9/27/2014
Cody Gibson,Manvel Gamburyan,SUB,Guillotine Choke,9/27/2014
Roy Nelson,Mark Hunt,KO/TKO,Punch,9/20/2014
Takanori Gomi,Myles Jury,KO/TKO,Punch,9/20/2014
Amir Sadollah,Yoshihiro Akiyama,U-DEC,,9/20/2014
Rin Nakai,Miesha Tate,U-DEC,,9/20/2014
Richard Walsh,Kiichi Kunimoto,S-DEC,,9/20/2014
Jon Delos Reyes,Kyoji Horiguchi,KO/TKO,Punches,9/20/2014
Alex Caceres,Masanori Kanehara,U-DEC,,9/20/2014
Sam Sicilia,Katsunori Kikuno,SUB,Rear Naked Choke,9/20/2014
Takenori Sato,Hyun Gyu Lim,KO/TKO,Elbows,9/20/2014
Michinori Tanaka,Kyung Ho Kang,S-DEC,,9/20/2014
Kazuki Tokudome,Johnny Case,SUB,Guillotine Choke,9/20/2014
Dan Hooker,Maximo Blanco,U-DEC,,9/20/2014
Antonio Silva,Andrei Arlovski,KO/TKO,Punch,9/13/2014
Piotr Hallmann,Gleison Tibau,S-DEC,,9/13/2014
Efrain Escudero,Leonardo Santos,U-DEC,,9/13/2014
Wendell Oliveira Marques,Santiago Ponzinibbio,KO/TKO,Punches,9/13/2014
Russell Doane,Iuri Alcantara,U-DEC,,9/13/2014
Larissa Pacheco,Jessica Andrade,SUB,Guillotine Choke,9/13/2014
Dashon Johnson,Godofredo Pepey,SUB,Armbar,9/13/2014
Igor Araujo,George Sullivan,KO/TKO,Punch,9/13/2014
Leandro Silva,Francisco Trinaldo,U-DEC,,9/13/2014
Paulo Thiago,Sean Spencer,U-DEC,,9/13/2014
Johnny Bedford,Rani Yahya,SUB,Kimura,9/13/2014
Gegard Mousasi,Jacare Souza,SUB,Guillotine Choke,9/5/2014
Alistair Overeem,Ben Rothwell,KO/TKO,Punch,9/5/2014
Derrick Lewis,Matt Mitrione,KO/TKO,Punches,9/5/2014
Michael Chiesa,Joe Lauzon,KO/TKO,,9/5/2014
Justin Scoggins,John Moraga,SUB,Guillotine Choke,9/5/2014
Rodrigo Damm,Al Iaquinta,KO/TKO,Elbows,9/5/2014
Chris Camozzi,Rafael Natal,S-DEC,,9/5/2014
Tateki Matsuda,Chris Beal,U-DEC,,9/5/2014
Sean Soriano,Chas Skelly,U-DEC,,9/5/2014
Joe Soto,TJ Dillashaw,KO/TKO,Kick,8/30/2014
Danny Castillo,Tony Ferguson,S-DEC,,8/30/2014
Shayna Baszler,Bethe Correia,KO/TKO,Punches,8/30/2014
Ramsey Nijem,Diego Ferreira,KO/TKO,Punch,8/30/2014
Damon Jackson,Yancy Medeiros,SUB,Other - Choke,8/30/2014
Lorenz Larkin,Derek Brunson,U-DEC,,8/30/2014
Ruan Potts,Anthony Hamilton,KO/TKO,Punches,8/30/2014
Cain Carrizosa,Chris Wade,SUB,Guillotine Choke,8/30/2014
Cung Le,Michael Bisping,KO/TKO,Knee,8/23/2014
Dong Hyun Kim,Tyron Woodley,KO/TKO,Punch,8/23/2014
Brendan O'Reilly,Lipeng Zhang,U-DEC,,8/23/2014
Jianping Yang,Guangyou Ning,U-DEC,,8/23/2014
Danny Mitchell,Sai Wang,U-DEC,,8/23/2014
Shinsho Anzai,Alberto Mina,KO/TKO,Punch,8/23/2014
Roland Delorme,Yuta Sasaki,SUB,Rear Naked Choke,8/23/2014
Anying Wang,Colby Covington,KO/TKO,Punches,8/23/2014
Yao Zhikui,Royston Wee,S-DEC,,8/23/2014
Elizabeth Phillips,Milana Dudieva,S-DEC,,8/23/2014
Benson Henderson,Rafael Dos Anjos,KO/TKO,Punch,8/23/2014
Mike Pyle,Jordan Mein,KO/TKO,Punch,8/23/2014
Francis Carmont,Thales Leites,KO/TKO,Punch,8/23/2014
Clay Collard,Max Holloway,KO/TKO,Punches,8/23/2014
Valmir Lazaro,James Vick,U-DEC,,8/23/2014
Tom Niinimaki,Chas Skelly,SUB,Rear Naked Choke,8/23/2014
Alex Garcia,Neil Magny,U-DEC,,8/23/2014
Anthony Rocco Martin,Beneil Dariush,SUB,Arm Triangle,8/23/2014
Aaron Phillips,Matt Hobar,U-DEC,,8/23/2014
Chris Heatherly,Ben Saunders,SUB,Omoplata,8/23/2014
Joby Sanchez,Wilson Reis,U-DEC,,8/23/2014
Ovince Saint Preux,Ryan Bader,U-DEC,,8/16/2014
Gray Maynard,Ross Pearson,KO/TKO,Punch,8/16/2014
Brad Tavares,Tim Boetsch,KO/TKO,Punch,8/16/2014
Seth Baczynski,Alan Jouban,KO/TKO,Punch,8/16/2014
Jack May,Shawn Jordan,KO/TKO,Punches,8/16/2014
Robert Peralta,Thiago Tavares,SUB,Rear Naked Choke,8/16/2014
Zach Makovsky,Jussier Formiga,U-DEC,,8/16/2014
Lauren Murphy,Sara McMann,S-DEC,,8/16/2014
Sam Alvey,Tom Watson,U-DEC,,8/16/2014
Nolan Ticman,Frankie Saenz,U-DEC,,8/16/2014
Matt Brown,Robbie Lawler,U-DEC,,7/26/2014
Rogerio Nogueira,Anthony Johnson,KO/TKO,Punch,7/26/2014
Clay Guida,Dennis Bermudez,SUB,Rear Naked Choke,7/26/2014
Josh Thomson,Bobby Green,S-DEC,,7/26/2014
Daron Cruickshank,Jorge Masvidal,U-DEC,,7/26/2014
Kyle Kingsbury,Patrick Cummins,U-DEC,,7/26/2014
Hernani Perpetuo,Tim Means,U-DEC,,7/26/2014
Brian Ortega,Mike de la Torre,Overturned,,7/26/2014
Akbarh Arreola,Tiago dos Santos e Silva,U-DEC,,7/26/2014
Andreas Stahl,Gilbert Burns,U-DEC,,7/26/2014
Juliana Lima,Joanna Jedrzejczyk,U-DEC,,7/26/2014
Steven Siler,Noad Lahat,U-DEC,,7/26/2014
Diego Brandao,Conor McGregor,KO/TKO,Punch,7/19/2014
Zak Cummings,Gunnar Nelson,SUB,Rear Naked Choke,7/19/2014
Brad Pickett,Ian McCall,U-DEC,,7/19/2014
Naoyuki Kotani,Norman Parke,KO/TKO,Punches,7/19/2014
Chris Dempsey,Ilir Latifi,KO/TKO,Punch,7/19/2014
Phil Harris,Neil Seery,U-DEC,,7/19/2014
Mike King,Cathal Pendred,SUB,Rear Naked Choke,7/19/2014
Tor Troeng,Trevor Smith,U-DEC,,7/19/2014
Cody Donovan,Nikita Krylov,KO/TKO,Punches,7/19/2014
Josh Sampo,Paddy Holohan,SUB,Rear Naked Choke,7/19/2014
Jim Miller,Donald Cerrone,KO/TKO,Kick,7/16/2014
Evan Dunham,Edson Barboza,KO/TKO,Kick,7/16/2014
Leonardo Mafra,Rick Story,SUB,Arm Triangle,7/16/2014
Justin Salas,Joe Proctor,KO/TKO,Punch,7/16/2014
Alptekin Ozkilic,John Lineker,KO/TKO,Punch,7/16/2014
Alex White,Lucas Martins,KO/TKO,Punch,7/16/2014
Pat Healy,Gleison Tibau,U-DEC,,7/16/2014
Jessamyn Duke,Leslie Smith,KO/TKO,Punch,7/16/2014
Hugo Viana,Aljamain Sterling,KO/TKO,Punches,7/16/2014
Jerrod Sanders,Yosdenis Cedeno,KO/TKO,,7/16/2014
Tina Lahdemaki,Claudia Gadelha,U-DEC,,7/16/2014
BJ Penn,Frankie Edgar,KO/TKO,Punches,7/6/2014
Matt Van Buren,Corey Anderson,KO/TKO,Punches,7/6/2014
Dhiego Lima,Eddie Gordon,KO/TKO,Punches,7/6/2014
Guto Inocente,Derrick Lewis,KO/TKO,Punches,7/6/2014
Justin Scoggins,Dustin Ortiz,S-DEC,,7/6/2014
Jesse Ronson,Kevin Lee,S-DEC,,7/6/2014
Jumabieke Tuerxun,Leandro Issa,SUB,Armbar,7/6/2014
Juan Manuel Puig,Adriano Martins,KO/TKO,Punch,7/6/2014
Daniel Spohn,Patrick Walsh,U-DEC,,7/6/2014
Alexis Dufresne,Sarah Moras,U-DEC,,7/6/2014
Keith Berish,Robert Drysdale,Overturned,,7/6/2014
Lyoto Machida,Chris Weidman,U-DEC,,7/5/2014
Alexis Davis,Ronda Rousey,KO/TKO,Punches,7/5/2014
Thiago Santos,Uriah Hall,U-DEC,,7/5/2014
Marcus Brimage,Russell Doane,S-DEC,,7/5/2014
Alex Caceres,Urijah Faber,SUB,Rear Naked Choke,7/5/2014
Ildemar Alcantara,Kenny Robertson,U-DEC,,7/5/2014
Chris Camozzi,Bruno Santos,S-DEC,,7/5/2014
George Roop,Rob Font,KO/TKO,Punch,7/5/2014
Guilherme Vasconcelos,Luke Zachrich,U-DEC,,7/5/2014
Bubba Bush,Kevin Casey,Overturned,Elbows,7/5/2014
Jeremy Stephens,Cub Swanson,U-DEC,,6/28/2014
Nicholas Musoke,Kelvin Gastelum,U-DEC,,6/28/2014
Andrew Craig,Cezar Ferreira,U-DEC,,6/28/2014
Hacran Dias,Ricardo Lamas,U-DEC,,6/28/2014
Antonio Braga Neto,Clint Hester,S-DEC,,6/28/2014
James Moontasri,Joe Ellenberger,S-DEC,,6/28/2014
Colton Smith,Diego Ferreira,SUB,Rear Naked Choke,6/28/2014
Johnny Bedford,Cody Gibson,KO/TKO,Punch,6/28/2014
Andy Enz,Marcelo Guimaraes,S-DEC,,6/28/2014
Shane Howell,Ray Borg,SUB,Rear Naked Choke,6/28/2014
Anthony Hamilton,Aleksei Oleinik,SUB,Neck Crank,6/28/2014
James Te Huna,Nate Marquardt,SUB,Armbar,6/28/2014
Soa Palelei,Jared Rosholt,U-DEC,,6/28/2014
Hatsu Hioki,Charles Oliveira,SUB,Anaconda Choke,6/28/2014
Mike Rhodes,Robert Whittaker,U-DEC,,6/28/2014
Dashon Johnson,Jake Matthews,SUB,Triangle Choke,6/28/2014
Roldan Sangcha'an,Richie Vaculik,U-DEC,,6/28/2014
Chris Indich,Vik Grujic,KO/TKO,Punch,6/28/2014
Rodrigo de Lima,Neil Magny,KO/TKO,Punch,6/28/2014
Ian Entwistle,Dan Hooker,KO/TKO,Elbows,6/28/2014
Sean O'Connell,Gian Villante,S-DEC,,6/28/2014
Ali Bagautinov,Demetrious Johnson,U-DEC,,6/14/2014
Tyron Woodley,Rory MacDonald,U-DEC,,6/14/2014
Rafael Cavalcante,Ryan Bader,U-DEC,,6/14/2014
Brendan Schaub,Andrei Arlovski,S-DEC,,6/14/2014
Ryan Jimmo,Ovince Saint Preux,KO/TKO,,6/14/2014
Daniel Sarafian,Kiichi Kunimoto,SUB,Rear Naked Choke,6/14/2014
Elizabeth Phillips,Valerie Letourneau,S-DEC,,6/14/2014
Mike Easton,Yves Jabouin,U-DEC,,6/14/2014
Kajan Johnson,Tae Hyun Bang,KO/TKO,Punch,6/14/2014
Roland Delorme,Michinori Tanaka,U-DEC,,6/14/2014
Josh Shockley,Jason Saggo,KO/TKO,Punches,6/14/2014
Rustam Khabilov,Benson Henderson,SUB,Rear Naked Choke,6/7/2014
Ross Pearson,Diego Sanchez,S-DEC,,6/7/2014
John Moraga,John Dodson,KO/TKO,,6/7/2014
Jason High,Rafael Dos Anjos,KO/TKO,Punch,6/7/2014
Yves Edwards,Piotr Hallmann,SUB,Rear Naked Choke,6/7/2014
Erik Perez,Bryan Caraway,SUB,Rear Naked Choke,6/7/2014
Yaotzin Meza,Sergio Pettis,U-DEC,,6/7/2014
Bobby Voelker,Lance Benoist,U-DEC,,6/7/2014
Danny Martinez,Scott Jorgensen,U-DEC,,6/7/2014
Jake Lindsey,Jon Tuck,KO/TKO,Kick,6/7/2014
Roger Narvaez,Patrick Cummins,KO/TKO,Punches,6/7/2014
Fabio Maldonado,Stipe Miocic,KO/TKO,Punch,5/31/2014
Vitor Miranda,Antonio Carlos Junior,U-DEC,,5/31/2014
Marcio Alexandre Junior,Warlley Alves,SUB,Guillotine Choke,5/31/2014
Alexander Yakovlev,Demian Maia,U-DEC,,5/31/2014
Rony Jason,Robert Peralta,S-DEC,,5/31/2014
Rodrigo Damm,Rashid Magomedov,U-DEC,,5/31/2014
Ernest Chavez,Elias Silverio,SUB,Rear Naked Choke,5/31/2014
Paulo Thiago,Gasan Umalatov,U-DEC,,5/31/2014
Mark Eddiva,Edimilson Souza,KO/TKO,Punches,5/31/2014
Wagner Silva,Ricardo Abreu,SUB,Rear Naked Choke,5/31/2014
Richardson Moreira,Marcos Rogerio de Lima,KO/TKO,Punch,5/31/2014
Matt Hobar,Pedro Munhoz,KO/TKO,Punches,5/31/2014
Mark Munoz,Gegard Mousasi,SUB,Rear Naked Choke,5/31/2014
Francis Carmont,CB Dollaway,U-DEC,,5/31/2014
Luke Barnatt,Sean Strickland,S-DEC,,5/31/2014
Tom Niinimaki,Niklas Backstrom,SUB,Rear Naked Choke,5/31/2014
Drew Dober,Nick Hein,U-DEC,,5/31/2014
Krzysztof Jotko,Magnus Cedenblad,SUB,Guillotine Choke,5/31/2014
Vaughan Lee,Iuri Alcantara,KO/TKO,Punch,5/31/2014
Pawel Pawlak,Peter Sobotta,U-DEC,,5/31/2014
Andy Ogle,Maximo Blanco,U-DEC,,5/31/2014
Viktor Pesta,Ruslan Magomedov,U-DEC,,5/31/2014
Renan Barao,TJ Dillashaw,KO/TKO,Punches,5/24/2014
Dan Henderson,Daniel Cormier,SUB,Rear Naked Choke,5/24/2014
Jake Ellenberger,Robbie Lawler,KO/TKO,Knee,5/24/2014
Francisco Rivera,Takeya Mizugaki,U-DEC,,5/24/2014
Jamie Varner,James Krause,KO/TKO,,5/24/2014
Francisco Trinaldo,Michael Chiesa,U-DEC,,5/24/2014
Katsunori Kikuno,Tony Ferguson,KO/TKO,Punch,5/24/2014
Chico Camus,Chris Holdsworth,U-DEC,,5/24/2014
Al Iaquinta,Mitch Clarke,SUB,D'Arce Choke,5/24/2014
Anthony Njokuani,Vinc Pichel,U-DEC,,5/24/2014
Aaron Phillips,Sam Sicilia,U-DEC,,5/24/2014
David Michaud,Jingliang Li,S-DEC,,5/24/2014
Erick Silva,Matt Brown,KO/TKO,Punches,5/10/2014
Lorenz Larkin,Constantinos Philippou,KO/TKO,Punch,5/10/2014
Erik Koch,Daron Cruickshank,KO/TKO,Kick,5/10/2014
Tim Means,Neil Magny,U-DEC,,5/10/2014
Ruan Potts,Soa Palelei,KO/TKO,Punch,5/10/2014
Louis Smolka,Chris Cariaso,S-DEC,,5/10/2014
Rafael Natal,Ed Herman,U-DEC,,5/10/2014
Darrell Montague,Kyoji Horiguchi,U-DEC,,5/10/2014
Yan Cabral,Zak Cummings,U-DEC,,5/10/2014
Eddie Wineland,Johnny Eduardo,KO/TKO,Punch,5/10/2014
Manvel Gamburyan,Nik Lentz,U-DEC,,5/10/2014
Ben Wall,Justin Salas,KO/TKO,Punch,5/10/2014
Anthony Lapsley,Albert Tumenov,KO/TKO,Punch,5/10/2014
Glover Teixeira,Jon Jones,U-DEC,,4/26/2014
Phil Davis,Anthony Johnson,U-DEC,,4/26/2014
Tim Boetsch,Luke Rockhold,SUB,Kimura,4/26/2014
Yancy Medeiros,Jim Miller,SUB,Guillotine Choke,4/26/2014
Andre Fili,Max Holloway,SUB,Guillotine Choke,4/26/2014
Tim Elliott,Joseph Benavidez,SUB,Guillotine Choke,4/26/2014
Isaac Vallie-Flagg,Takanori Gomi,U-DEC,,4/26/2014
Jessamyn Duke,Bethe Correia,U-DEC,,4/26/2014
Charlie Brenneman,Danny Castillo,KO/TKO,Punch,4/26/2014
Patrick Williams,Chris Beal,KO/TKO,Flying Knee,4/26/2014
Travis Browne,Fabricio Werdum,U-DEC,,4/19/2014
Liz Carmouche,Miesha Tate,U-DEC,,4/19/2014
Edson Barboza,Donald Cerrone,SUB,Rear Naked Choke,4/19/2014
Brad Tavares,Yoel Romero,U-DEC,,4/19/2014
Rafael Dos Anjos,Khabib Nurmagomedov,U-DEC,,4/19/2014
Seth Baczynski,Thiago Alves,U-DEC,,4/19/2014
Pat Healy,Jorge Masvidal,U-DEC,,4/19/2014
Estevan Payan,Alex White,KO/TKO,Punch,4/19/2014
Luke Zachrich,Caio Magalhaes,KO/TKO,Punch,4/19/2014
Hernani Perpetuo,Jordan Mein,S-DEC,,4/19/2014
Ray Borg,Dustin Ortiz,S-DEC,,4/19/2014
Chas Skelly,Mirsad Bektic,M-DEC,,4/19/2014
Jack May,Derrick Lewis,KO/TKO,Punches,4/19/2014
Michael Bisping,Tim Kennedy,U-DEC,,4/16/2014
Kyle Noke,Patrick Cote,U-DEC,,4/16/2014
Sheldon Westcott,Elias Theodorou,KO/TKO,Elbows,4/16/2014
Olivier Aubin-Mercier,Chad Laprise,S-DEC,,4/16/2014
Akira Corassani,Dustin Poirier,KO/TKO,Punch,4/16/2014
Sam Stout,KJ Noons,KO/TKO,Punch,4/16/2014
Leslie Smith,Sarah Kaufman,U-DEC,,4/16/2014
Sean O'Connell,Ryan Jimmo,KO/TKO,Punch,4/16/2014
Dustin Kimura,George Roop,U-DEC,,4/16/2014
Mike de la Torre,Mark Bocek,S-DEC,,4/16/2014
Vik Grujic,Nordine Taleb,U-DEC,,4/16/2014
Chris Indich,Richard Walsh,U-DEC,,4/16/2014
Tim Gorman,Mitch Gagnon,U-DEC,,4/16/2014
Antonio Rodrigo Nogueira,Roy Nelson,KO/TKO,Punch,4/11/2014
Tatsuya Kawajiri,Clay Guida,U-DEC,,4/11/2014
John Howard,Ryan LaFlare,U-DEC,,4/11/2014
Beneil Dariush,Ramsey Nijem,KO/TKO,Punches,4/11/2014
Daniel Omielanczuk,Jared Rosholt,U-DEC,,4/11/2014
Trevor Smith,Thales Leites,KO/TKO,Punch,4/11/2014
Alan Omer,Jim Alers,S-DEC,,4/11/2014
Johnny Bedford,Rani Yahya,CNC,,4/11/2014
Mauricio Rua,Dan Henderson,KO/TKO,Punch,3/23/2014
Cezar Ferreira,CB Dollaway,KO/TKO,Punch,3/23/2014
Norman Parke,Leonardo Santos,M-DEC,,3/23/2014
Gian Villante,Fabio Maldonado,U-DEC,,3/23/2014
Mairbek Taisumov,Michel Prazeres,U-DEC,,3/23/2014
Steven Siler,Rony Jason,KO/TKO,Punch,3/23/2014
Ronny Markes,Thiago Santos,KO/TKO,Kick,3/23/2014
Scott Jorgensen,Jussier Formiga,SUB,Rear Naked Choke,3/23/2014
Thiago Perpetuo,Kenny Robertson,SUB,Rear Naked Choke,3/23/2014
Francimar Barroso,Hans Stringer,S-DEC,,3/23/2014
Noad Lahat,Godofredo Pepey,KO/TKO,Flying Knee,3/23/2014
Robbie Lawler,Johny Hendricks,U-DEC,,3/15/2014
Carlos Condit,Tyron Woodley,KO/TKO,,3/15/2014
Diego Sanchez,Myles Jury,U-DEC,,3/15/2014
Jake Shields,Hector Lombard,U-DEC,,3/15/2014
Nikita Krylov,Ovince Saint Preux,SUB,Other - Choke,3/15/2014
Rick Story,Kelvin Gastelum,S-DEC,,3/15/2014
Raquel Pennington,Jessica Andrade,S-DEC,,3/15/2014
Jimy Hettes,Dennis Bermudez,KO/TKO,Knee,3/15/2014
Sean Spencer,Alex Garcia,S-DEC,,3/15/2014
Renee Forte,Francisco Trevino,U-DEC,,3/15/2014
Will Campuzano,Justin Scoggins,U-DEC,,3/15/2014
Robert McDaniel,Sean Strickland,SUB,Rear Naked Choke,3/15/2014
Daniel Pineda,Robert Whiteford,U-DEC,,3/15/2014
Jimi Manuwa,Alexander Gustafsson,KO/TKO,Knee,3/8/2014
Melvin Guillard,Michael Johnson,U-DEC,,3/8/2014
Neil Seery,Brad Pickett,U-DEC,,3/8/2014
Omari Akhmedov,Gunnar Nelson,SUB,Guillotine Choke,3/8/2014
Cyrille Diabate,Ilir Latifi,SUB,Guillotine Choke,3/8/2014
Mats Nilsson,Luke Barnatt,KO/TKO,Kick,3/8/2014
Brad Scott,Claudio Silva,U-DEC,,3/8/2014
Danny Mitchell,Igor Araujo,U-DEC,,3/8/2014
Louis Gaudinot,Phil Harris,Overturned,,3/8/2014
John Hathaway,Dong Hyun Kim,KO/TKO,Elbow,3/1/2014
Sai Wang,Lipeng Zhang,S-DEC,,3/1/2014
Shawn Jordan,Matt Mitrione,KO/TKO,Punch,3/1/2014
Ivan Menjivar,Hatsu Hioki,U-DEC,,3/1/2014
Kazuki Tokudome,Yui Chul Nam,S-DEC,,3/1/2014
Nam Phan,Vaughan Lee,U-DEC,,3/1/2014
Albert Cheng,Anying Wang,KO/TKO,,3/1/2014
Jumabieke Tuerxun,Mark Eddiva,U-DEC,,3/1/2014
Sara McMann,Ronda Rousey,KO/TKO,Knee,2/22/2014
Patrick Cummins,Daniel Cormier,KO/TKO,Punch,2/22/2014
Demian Maia,Rory MacDonald,U-DEC,,2/22/2014
TJ Waldburger,Mike Pyle,KO/TKO,Elbows,2/22/2014
Robert Whittaker,Stephen Thompson,KO/TKO,Punches,2/22/2014
Jessica Eye,Alexis Davis,S-DEC,,2/22/2014
Pedro Munhoz,Raphael Assuncao,U-DEC,,2/22/2014
Cody Gibson,Aljamain Sterling,U-DEC,,2/22/2014
Josh Sampo,Zach Makovsky,U-DEC,,2/22/2014
Rafaello Oliveira,Erik Koch,KO/TKO,Punches,2/22/2014
Yosdenis Cedeno,Ernest Chavez,S-DEC,,2/22/2014
Gegard Mousasi,Lyoto Machida,U-DEC,,2/15/2014
Francis Carmont,Jacare Souza,U-DEC,,2/15/2014
Takenori Sato,Erick Silva,KO/TKO,Punches,2/15/2014
Viscardi Andrade,Nicholas Musoke,U-DEC,,2/15/2014
Andy Ogle,Charles Oliveira,SUB,Triangle Choke,2/15/2014
Cristiano Marcello,Joe Proctor,U-DEC,,2/15/2014
Ivan Jorge,Rodrigo Damm,U-DEC,,2/15/2014
Jesse Ronson,Francisco Trinaldo,S-DEC,,2/15/2014
Wilson Reis,Iuri Alcantara,S-DEC,,2/15/2014
Maximo Blanco,Felipe Arantes,U-DEC,,2/15/2014
Albert Tumenov,Ildemar Alcantara,S-DEC,,2/15/2014
Douglas Silva de Andrade,Zubaira Tukhugov,U-DEC,,2/15/2014
Urijah Faber,Renan Barao,KO/TKO,Punch,2/1/2014
Ricardo Lamas,Jose Aldo,U-DEC,,2/1/2014
Frank Mir,Alistair Overeem,U-DEC,,2/1/2014
John Lineker,Ali Bagautinov,U-DEC,,2/1/2014
Jamie Varner,Abel Trujillo,KO/TKO,Punch,2/1/2014
John Makdessi,Alan Patrick,U-DEC,,2/1/2014
Danny Martinez,Chris Cariaso,U-DEC,,2/1/2014
Tom Watson,Nick Catone,S-DEC,,2/1/2014
Kevin Lee,Al Iaquinta,U-DEC,,2/1/2014
Andy Enz,Clint Hester,U-DEC,,2/1/2014
Anthony Rocco Martin,Rashid Magomedov,U-DEC,,2/1/2014
Gasan Umalatov,Neil Magny,U-DEC,,2/1/2014
Josh Thomson,Benson Henderson,S-DEC,,1/25/2014
Gabriel Gonzaga,Stipe Miocic,U-DEC,,1/25/2014
Adriano Martins,Donald Cerrone,KO/TKO,Kick,1/25/2014
Darren Elkins,Jeremy Stephens,U-DEC,,1/25/2014
Sergio Pettis,Alex Caceres,SUB,Rear Naked Choke,1/25/2014
Yves Jabouin,Eddie Wineland,KO/TKO,Punches,1/25/2014
Yaotzin Meza,Chico Camus,Overturned,,1/25/2014
Ramiro Hernandez,Hugo Viana,U-DEC,,1/25/2014
Mike Rio,Daron Cruickshank,KO/TKO,Kick,1/25/2014
Mike Rhodes,George Sullivan,U-DEC,,1/25/2014
Walt Harris,Nikita Krylov,KO/TKO,Kick,1/25/2014
Constantinos Philippou,Luke Rockhold,KO/TKO,Kick,1/15/2014
Lorenz Larkin,Brad Tavares,U-DEC,,1/15/2014
Mike Easton,TJ Dillashaw,U-DEC,,1/15/2014
Derek Brunson,Yoel Romero,KO/TKO,Elbows,1/15/2014
Dustin Ortiz,John Moraga,S-DEC,,1/15/2014
Sam Sicilia,Cole Miller,SUB,Rear Naked Choke,1/15/2014
Justin Edwards,Ramsey Nijem,U-DEC,,1/15/2014
Isaac Vallie-Flagg,Elias Silverio,U-DEC,,1/15/2014
Brian Houston,Trevor Smith,S-DEC,,1/15/2014
Alptekin Ozkilic,Louis Smolka,U-DEC,,1/15/2014
Garett Whiteley,Vinc Pichel,U-DEC,,1/15/2014
Charlie Brenneman,Beneil Dariush,SUB,Rear Naked Choke,1/15/2014
Hyun Gyu Lim,Tarec Saffiedine,U-DEC,,1/4/2014
Sean Soriano,Tatsuya Kawajiri,SUB,Rear Naked Choke,1/4/2014
Luiz Dutra,Kiichi Kunimoto,DQ,,1/4/2014
Shunichi Shimizu,Kyung Ho Kang,SUB,Arm Triangle,1/4/2014
Will Chope,Max Holloway,KO/TKO,Punch,1/4/2014
Quinn Mulhern,Katsunori Kikuno,U-DEC,,1/4/2014
Dave Galera,Royston Wee,U-DEC,,1/4/2014
Tae Hyun Bang,Mairbek Taisumov,U-DEC,,1/4/2014
Jon Delos Reyes,Dustin Kimura,SUB,Armbar,1/4/2014
Leandro Issa,Russell Doane,SUB,Triangle Choke,1/4/2014
Anderson Silva,Chris Weidman,KO/TKO,,12/28/2013
Miesha Tate,Ronda Rousey,SUB,Armbar,12/28/2013
Josh Barnett,Travis Browne,KO/TKO,Elbows,12/28/2013
Fabricio Camoes,Jim Miller,SUB,Armbar,12/28/2013
Diego Brandao,Dustin Poirier,KO/TKO,Punches,12/28/2013
Chris Leben,Uriah Hall,KO/TKO,,12/28/2013
Gleison Tibau,Michael Johnson,KO/TKO,Punch,12/28/2013
Manvel Gamburyan,Dennis Siver,Overturned,,12/28/2013
Siyar Bahadurzada,John Howard,U-DEC,,12/28/2013
Bobby Voelker,William Macario,U-DEC,,12/28/2013
Estevan Payan,Robert Peralta,KO/TKO,Punches,12/28/2013
Joseph Benavidez,Demetrious Johnson,KO/TKO,Punch,12/14/2013
Michael McDonald,Urijah Faber,SUB,Guillotine Choke,12/14/2013
Nik Lentz,Chad Mendes,U-DEC,,12/14/2013
Mac Danzig,Joe Lauzon,U-DEC,,12/14/2013
Court McGee,Ryan LaFlare,U-DEC,,12/14/2013
Danny Castillo,Edson Barboza,M-DEC,,12/14/2013
Pat Healy,Bobby Green,U-DEC,,12/14/2013
Scott Jorgensen,Zach Makovsky,U-DEC,,12/14/2013
Cody McKenzie,Sam Stout,U-DEC,,12/14/2013
Roger Bowling,Abel Trujillo,KO/TKO,Punches,12/14/2013
Darren Uyenoyama,Alptekin Ozkilic,S-DEC,,12/14/2013
Antonio Silva,Mark Hunt,M-DEC,,12/6/2013
James Te Huna,Mauricio Rua,KO/TKO,Punch,12/6/2013
Anthony Perosh,Ryan Bader,U-DEC,,12/6/2013
Pat Barry,Soa Palelei,KO/TKO,Punches,12/6/2013
Dylan Andrews,Clint Hester,KO/TKO,,12/6/2013
Julie Kedzie,Bethe Correia,S-DEC,,12/6/2013
Nam Phan,Takeya Mizugaki,U-DEC,,12/6/2013
Nick Ring,Caio Magalhaes,U-DEC,,12/6/2013
