R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details
Edson Barboza,Gilbert Melendez,-255,215,39.21568627,215.0,7/23/2016,"Chicago, Illinois, USA", USA,Red,False,Lightweight,MALE,3,2,0,0,50.75,0.305,0.0,0.75,0.53,1,3,13,2,0,0,1,0,0,0,1,Orthodox,175.26,185.42,145,0,1,0,41.4,0.456666667,0.066666667,0.4,0.177333333,4,4,35,0,1,1,4,5,0,0,11,Orthodox,180.34,190.5,155,30,34,-2,-1,-3,-10,1,-22,2,-5,0,-5.08,-5.08,-4,9.35,-0.066666667,0.35,0,1,,6.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,Red,U-DEC,
Francis Ngannou,Bojan Mihajlovic,-600,450,16.66666667,450.0,7/23/2016,"Chicago, Illinois, USA", USA,Red,False,Heavyweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,205,0,2,0,30.5,0.485,0.0,0.0,0.0,2,0,4,0,0,0,0,1,0,1,2,Orthodox,193.04,210.82,250,29,36,0,-2,-2,-2,0,-4,0,-2,0,-12.7,-25.4,-7,-30.5,0.0,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches
Felice Herrig,Kailin Curran,125,-145,125.0,68.96551724,7/23/2016,"Chicago, Illinois, USA", USA,Red,False,Women's Strawweight,FEMALE,3,0,1,0,43.33333333,0.47,0.666666667,2.666666667,0.833333333,1,2,8,0,0,0,0,0,1,0,1,Orthodox,162.56,165.1,115,1,0,0,18.0,0.58,2.0,0.5,0.5,1,1,5,0,0,0,0,0,1,0,1,Orthodox,162.56,165.1,115,31,25,1,1,0,0,-1,3,0,0,0,0.0,0.0,6,25.33333333,-1.333333333,2.166666667,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke
Frankie Saenz,Eddie Wineland,-155,135,64.51612903,135.0,7/23/2016,"Chicago, Illinois, USA", USA,Blue,False,Bantamweight,MALE,3,2,0,0,38.625,0.25875,0.0,0.25,0.16625,2,5,19,1,0,1,0,2,0,0,3,Orthodox,170.18,175.26,135,1,0,0,64.25,0.47,0.25,2.25,0.365,3,1,12,0,0,1,2,0,0,0,3,Orthodox,167.64,167.64,135,35,32,-1,0,-1,0,-4,7,1,2,0,2.54,7.62,3,-25.625,-0.25,-2.0,0,1,15.0,12.0,,,,,,,,,,,12.0,,,,,,,,,,,,,15.0,,,Red,KO/TKO,Punches
Darren Elkins,Godofredo Pepey,-240,200,41.66666667,200.0,7/23/2016,"Chicago, Illinois, USA", USA,Red,False,Featherweight,MALE,3,0,3,0,12.71428571,0.37285714299999995,0.571428571,0.14285714300000002,0.071428571,3,3,11,1,0,1,0,1,2,0,4,Orthodox,170.18,185.42,145,0,2,0,35.57142857,0.295714286,1.214285714,2.0714285709999998,0.343571429,5,4,34,0,0,1,7,2,0,0,10,Orthodox,177.8,180.34,145,32,29,0,1,-2,-6,1,-23,1,-1,2,-7.62,5.08,3,-22.85714286,-0.642857143,-1.9285714280000001,0,1,,12.0,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,Red,U-DEC,
Kamaru Usman,Alexander Yakovlev,-250,210,40.0,210.0,7/23/2016,"Chicago, Illinois, USA", USA,Red,False,Welterweight,MALE,3,0,2,0,28.0,0.545,0.0,1.25,0.475,2,2,10,0,0,0,1,1,0,0,2,Southpaw,190.5,187.96,155,0,2,0,31.5,0.585,0.5,6.0,0.605,2,0,5,1,0,0,1,0,1,0,2,Switch,182.88,193.04,170,29,32,0,0,0,0,-2,5,-1,1,-1,7.62,-5.08,-3,-3.5,-0.5,-4.75,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Michel Prazeres,JC Cottrell,-220,180,45.45454545,180.0,7/23/2016,"Chicago, Illinois, USA", USA,Red,False,Lightweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,180.34,155,0,1,0,27.4,0.434,0.0,3.4,0.276,2,2,15,0,0,2,1,0,0,0,3,Orthodox,167.64,170.18,170,34,26,0,-1,-2,-3,2,-15,0,0,0,7.62,10.16,8,-27.4,0.0,-3.4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Alex Oliveira,James Moontasri,-220,180,45.45454545,180.0,7/23/2016,"Chicago, Illinois, USA", USA,Red,False,Welterweight,MALE,3,0,1,0,21.0,0.4675,0.25,0.0,0.0,1,2,7,0,0,0,0,1,1,0,2,Switch,177.8,180.34,170,1,0,0,19.8,0.38,0.6,1.6,0.182,3,2,11,0,0,0,1,1,1,0,3,Orthodox,180.34,193.04,170,28,28,1,1,-2,-1,0,-4,0,0,0,-2.54,-12.7,0,1.2,-0.35,-1.6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Jim Alers,Jason Knight,-120,100,83.33333333,100.0,7/23/2016,"Chicago, Illinois, USA", USA,Blue,False,Featherweight,MALE,3,1,0,0,28.0,0.66,1.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,180.34,145,2,0,0,31.33333333,0.40333333299999996,0.333333333,1.0,0.3,1,2,7,0,0,1,0,0,0,0,1,Orthodox,175.26,180.34,145,29,24,1,0,-1,-1,1,-4,0,0,0,2.54,0.0,5,-3.33333333,0.666666667,-1.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,
Luis Henrique,Dmitrii Smoliakov,105,-125,105.0,80.0,7/23/2016,"Chicago, Illinois, USA", USA,Red,False,Heavyweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Switch,187.96,187.96,253,1,0,0,5.0,0.5,0.0,1.0,0.16,0,1,2,0,0,0,0,0,0,0,0,Orthodox,187.96,187.96,243,22,33,1,0,0,0,1,-2,0,0,0,0.0,0.0,-11,-5.0,0.0,-1.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke
Michael McDonald,John Lineker,-115,-105,86.95652174,95.23809524,7/13/2016,"Sioux Falls, South Dakota, USA", USA,Blue,False,Bantamweight,MALE,5,0,4,0,56.8,0.41600000000000004,0.6,0.5,0.2,4,2,23,0,0,0,3,4,1,0,8,Orthodox,160.02,170.18,135,0,1,0,25.25,0.41,0.875,0.75,0.1875,4,2,18,1,0,1,1,2,2,0,6,Orthodox,175.26,177.8,135,25,26,0,3,0,2,0,5,-1,2,-1,-15.24,-7.62,-1,31.55,-0.275,-0.25,0,1,8.0,5.0,,,,,,,,,,,5.0,,,,,,,,,,,,,8.0,,,Red,KO/TKO,Punch
Tony Ferguson,Lando Vannata,-800,550,12.5,550.0,7/13/2016,"Sioux Falls, South Dakota, USA", USA,Red,False,Lightweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,180.34,155,0,7,0,36.27272727,0.391818182,0.9090909090000001,0.545454545,0.37818181799999995,7,1,21,1,0,1,2,2,4,1,10,Orthodox,180.34,193.04,155,32,24,0,-7,-7,-10,1,-21,-1,-3,-4,-5.08,-12.7,8,-36.27272727,-0.9090909090000001,-0.545454545,0,1,,3.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,Red,SUB,D'Arce Choke
Tim Boetsch,Josh Samman,205,-245,205.0,40.81632653,7/13/2016,"Sioux Falls, South Dakota, USA", USA,Red,False,Middleweight,MALE,3,1,0,0,17.25,0.545,0.25,0.75,0.25,3,1,8,0,0,0,0,2,1,0,3,Orthodox,190.5,200.66,185,3,0,0,27.11111111,0.498888889,0.611111111,1.0555555559999998,0.163333333,4,9,41,0,0,2,3,4,0,0,9,Orthodox,182.88,187.96,185,35,28,2,0,-1,-6,8,-33,0,-2,1,7.62,12.7,7,-9.86111111,-0.36111111100000004,-0.305555556,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches
Aleksei Oleinik,Daniel Omielanczuk,-185,160,54.05405405,160.0,7/13/2016,"Sioux Falls, South Dakota, USA", USA,Blue,False,Heavyweight,MALE,3,0,2,0,37.4,0.6920000000000001,0.2,0.6,0.146,2,2,13,0,1,0,0,2,0,0,3,Southpaw,182.88,187.96,247,0,2,0,11.5,0.53,0.5,0.5,0.125,2,0,2,0,0,0,0,1,1,0,2,Orthodox,187.96,203.2,240,39,33,0,0,0,1,-2,11,0,1,-1,-5.08,-15.24,6,25.9,-0.3,0.1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,M-DEC,
Kyle Noke,Keita Nakamura,-155,135,64.51612903,135.0,7/13/2016,"Sioux Falls, South Dakota, USA", USA,Blue,False,Welterweight,MALE,3,1,0,0,30.2,0.366,0.6,1.8,0.5,1,4,15,0,0,0,0,0,1,0,1,Southpaw,180.34,185.42,170,1,0,0,29.7,0.5479999999999999,0.4,0.9,0.28300000000000003,3,4,20,0,0,1,0,3,2,0,6,Southpaw,185.42,193.04,170,36,32,0,0,-2,-5,0,-5,0,-3,-1,-5.08,-7.62,4,0.5,0.2,0.9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke
Louis Smolka,Ben Nguyen,105,-125,105.0,80.0,7/13/2016,"Sioux Falls, South Dakota, USA", USA,Red,False,Flyweight,MALE,3,0,2,0,19.0,0.53,1.0,0.0,0.0,2,0,2,0,0,0,0,1,1,0,2,Switch,165.1,165.1,125,0,3,0,56.6,0.486,1.6,1.6,0.24,3,1,14,0,0,0,2,1,1,0,4,Orthodox,175.26,172.72,135,24,27,0,-1,-1,-2,1,-12,0,0,0,-10.16,-7.62,-3,-37.6,-0.6,-1.6,0,1,,12.0,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,Red,KO/TKO,Elbows
Lauren Murphy,Katlyn Chookagian,-170,150,58.82352941,150.0,7/13/2016,"Sioux Falls, South Dakota, USA", USA,Blue,False,Women's Bantamweight,FEMALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,172.72,125,0,1,0,63.0,0.523333333,0.0,1.0,0.18333333300000001,1,2,9,0,0,0,0,1,0,0,1,Orthodox,170.18,170.18,125,32,27,0,-1,-1,-1,2,-9,0,-1,0,5.08,2.54,5,-63.0,0.0,-1.0,0,1,,13.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,Red,U-DEC,
Eric Spicely,Sam Alvey,235,-275,235.0,36.36363636,7/13/2016,"Sioux Falls, South Dakota, USA", USA,Blue,False,Middleweight,MALE,3,2,0,0,21.33333333,0.558333333,0.0,0.0,0.0,3,3,10,0,0,0,0,3,0,0,3,Southpaw,187.96,190.5,205,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,185,29,30,-2,0,3,3,-3,10,0,3,0,2.54,5.08,-1,21.33333333,0.0,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Guillotine Choke
Cortney Casey,Cristina Stanciu,140,-160,140.0,62.5,7/13/2016,"Sioux Falls, South Dakota, USA", USA,Red,False,Women's Strawweight,FEMALE,3,1,0,0,39.0,0.51,2.0,1.0,1.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,160.02,162.56,115,2,0,0,67.5,0.475,0.0,0.0,0.0,0,2,6,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,115,29,22,1,0,0,0,1,-3,0,0,0,-10.16,-7.62,7,-28.5,2.0,1.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Elbows
Scott Holtzman,Cody Pfister,-260,220,38.46153846,220.0,7/13/2016,"Sioux Falls, South Dakota, USA", USA,Red,False,Lightweight,MALE,3,1,0,0,10.66666667,0.38,0.0,2.333333333,0.57,1,2,7,0,0,0,1,0,0,0,1,Orthodox,177.8,185.42,155,1,0,0,54.5,0.53,0.5,1.5,0.365,1,1,6,0,0,0,0,0,1,0,1,Orthodox,175.26,175.26,155,32,26,0,0,0,0,-1,1,0,0,-1,2.54,10.16,6,-43.83333333,-0.5,0.833333333,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Rani Yahya,Matthew Lopez,150,-170,150.0,58.82352941,7/13/2016,"Sioux Falls, South Dakota, USA", USA,Red,False,Bantamweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,170.18,175.26,135,0,2,0,15.55555556,0.4,1.4444444440000002,2.222222222,0.331111111,3,3,22,0,0,1,3,0,2,0,6,Orthodox,167.64,170.18,135,31,29,0,-2,-3,-6,3,-22,0,0,-2,2.54,5.08,2,-15.55555556,-1.4444444440000002,-2.222222222,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Arm Triangle
Devin Clark,Alex Nicholson,-220,180,45.45454545,180.0,7/13/2016,"Sioux Falls, South Dakota, USA", USA,Blue,False,Middleweight,MALE,3,1,0,0,16.0,0.31,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,Orthodox,193.04,205.74,185,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,190.5,205,26,26,-1,0,0,0,-1,2,0,0,0,10.16,15.24,0,16.0,0.0,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch
Miesha Tate,Amanda Nunes,265,-325,265.0,30.76923077,7/9/2016,"Las Vegas, Nevada, USA", USA,Blue,True,Women's Bantamweight,FEMALE,5,0,3,0,21.16666667,0.583333333,0.5,1.0,0.303333333,3,1,10,0,0,0,1,3,1,0,5,Orthodox,172.72,175.26,145,0,5,0,35.71428571,0.455714286,1.571428571,1.285714286,0.23,5,2,23,2,1,0,3,0,1,0,5,Orthodox,167.64,165.1,135,29,28,0,-2,-2,0,1,-13,-2,3,0,5.08,10.16,1,-14.54761904,-1.071428571,-0.28571428600000004,0,1,4.0,0.0,,,,0.0,,,,,,,,,,,,,4.0,,,,,,,,,,Red,SUB,Rear Naked Choke
Daniel Cormier,Anderson Silva,-430,345,23.25581395,345.0,7/9/2016,"Las Vegas, Nevada, USA", USA,Red,False,Light Heavyweight,MALE,3,4,0,0,34.0,0.6695,0.3,0.15,0.15,16,4,49,13,0,0,2,11,3,0,16,Southpaw,187.96,195.58,185,0,2,0,60.28571429,0.515714286,0.7142857140000001,1.571428571,0.327142857,4,1,23,3,0,1,2,1,2,0,6,Orthodox,180.34,182.88,235,37,41,-4,-2,12,10,-3,26,10,10,1,7.62,12.7,-4,-26.28571429,-0.41428571399999997,-1.4214285709999999,0,1,,0.0,,,,,,0.0,,,,,,,7.0,,,,,,,5.0,,,,,,,Red,U-DEC,
Jose Aldo,Frankie Edgar,120,-140,120.0,71.42857143,7/9/2016,"Las Vegas, Nevada, USA", USA,Red,True,Featherweight,MALE,5,0,5,0,62.47368421,0.42157894700000004,0.42105263200000004,3.210526316,0.333157895,5,5,69,7,0,0,8,4,2,0,14,Orthodox,167.64,172.72,145,1,0,0,53.625,0.4025,0.375,1.5,0.2975,7,1,31,8,0,0,5,2,0,0,7,Orthodox,170.18,177.8,145,29,34,1,5,-2,7,-4,38,-1,2,2,-2.54,-5.08,-5,8.84868421,0.046052632,1.710526316,0,1,2.0,1.0,,,,,,,,,,1.0,,,8.0,,,,,,,,,,2.0,,,10.0,Red,U-DEC,
Cain Velasquez,Travis Browne,-355,295,28.16901408,295.0,7/9/2016,"Las Vegas, Nevada, USA", USA,Red,False,Heavyweight,MALE,3,0,1,0,23.15384615,0.500769231,0.153846154,0.7692307690000001,0.37076923100000003,3,4,23,0,0,0,1,7,1,0,9,Orthodox,198.12,200.66,255,1,0,0,51.38461538,0.59,0.23076923100000002,2.538461538,0.44076923100000004,7,2,27,6,0,0,2,9,0,0,11,Orthodox,185.42,195.58,240,33,33,1,1,-4,-2,-2,-4,-6,-2,1,12.7,5.08,0,-28.23076923,-0.076923077,-1.769230769,0,1,7.0,2.0,,,,,2.0,,,,,,,,,,,,,7.0,,,,,,,,,Red,KO/TKO,Punches
Cat Zingano,Julianna Pena,-175,155,57.14285714,155.0,7/9/2016,"Las Vegas, Nevada, USA", USA,Blue,False,Women's Bantamweight,FEMALE,3,0,3,0,34.66666667,0.47666666700000004,1.0,2.0,0.833333333,3,0,5,1,0,0,1,2,0,0,3,Orthodox,167.64,175.26,135,1,0,0,25.0,0.496666667,1.333333333,1.333333333,0.666666667,2,1,7,1,0,0,0,2,0,0,2,Southpaw,167.64,172.72,145,34,26,1,3,1,1,1,-2,0,0,0,0.0,2.54,8,9.66666667,-0.333333333,0.666666667,0,1,5.0,3.0,,,,3.0,,,,,,,,,,,,,5.0,,,,,,,,,,Red,U-DEC,
Johny Hendricks,Kelvin Gastelum,-105,-115,95.23809524,86.95652174,7/9/2016,"Las Vegas, Nevada, USA", USA,Blue,False,Welterweight,MALE,3,1,0,0,41.5,0.42625,0.25,1.125,0.395,5,2,21,1,0,2,1,1,2,0,6,Southpaw,175.26,180.34,185,1,0,0,44.3125,0.539375,0.375,3.375,0.32125,6,4,43,3,1,2,4,5,0,0,12,Southpaw,175.26,175.26,185,32,24,0,0,-1,-6,2,-22,-2,-4,2,0.0,5.08,8,-2.8125,-0.125,-2.25,0,1,12.0,6.0,,,,,,,,6.0,,,,,,,,,,,,,12.0,,,,,,Red,U-DEC,
TJ Dillashaw,Raphael Assuncao,-420,335,23.80952381,335.0,7/9/2016,"Las Vegas, Nevada, USA", USA,Red,False,Bantamweight,MALE,3,0,7,0,47.75,0.455,0.25,1.375,0.2875,7,1,20,0,0,1,4,1,1,0,7,Orthodox,165.1,167.64,135,1,0,0,73.09090909,0.39727272700000005,1.0,1.363636364,0.340909091,4,3,33,5,0,0,2,5,1,0,8,Orthodox,167.64,170.18,125,30,33,1,7,3,-1,2,-13,-5,-4,0,-2.54,-2.54,-3,-25.34090909,-0.75,0.011363636000000002,0,1,3.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,,,Red,U-DEC,
Sage Northcutt,Enrique Marin,-490,390,20.40816327,390.0,7/9/2016,"Las Vegas, Nevada, USA", USA,Red,False,Lightweight,MALE,3,1,0,0,27.0,0.28,0.0,1.0,0.33,0,1,3,1,0,0,0,0,0,0,0,Orthodox,177.8,187.96,170,1,0,0,15.66666667,0.65,0.333333333,1.333333333,0.7333333329999999,2,1,5,0,0,0,0,1,1,0,2,Orthodox,182.88,180.34,170,20,29,0,0,-2,-2,0,-2,1,-1,-1,-5.08,7.62,-9,11.33333333,-0.333333333,-0.333333333,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Diego Sanchez,Joe Lauzon,-125,105,80.0,105.0,7/9/2016,"Las Vegas, Nevada, USA", USA,Blue,False,Lightweight,MALE,3,1,0,0,19.45,0.4245,1.3,1.2,0.4,3,8,39,0,0,0,1,3,7,1,12,Orthodox,177.8,180.34,155,0,1,0,36.13043478,0.376956522,0.7826086959999999,1.217391304,0.269130435,6,8,64,2,0,3,7,5,0,0,15,Southpaw,177.8,182.88,170,34,32,-1,-1,-3,-3,0,-25,-2,-1,7,0.0,-2.54,2,-16.68043478,0.517391304,-0.017391304,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches
Gegard Mousasi,Thiago Santos,-290,245,34.48275862,245.0,7/9/2016,"Las Vegas, Nevada, USA", USA,Red,False,Middleweight,MALE,3,0,4,0,20.28571429,0.458571429,0.0,0.14285714300000002,0.071428571,4,2,11,0,0,0,1,4,0,0,5,Orthodox,187.96,193.04,205,0,1,0,39.75,0.4925,0.375,0.625,0.25,2,3,21,0,0,0,3,1,1,0,5,Orthodox,187.96,193.04,185,30,32,0,3,2,0,1,-10,0,3,-1,0.0,0.0,-2,-19.46428571,-0.375,-0.48214285700000004,0,1,15.0,8.0,,,,,,,8.0,,,,,,,,,,,,,15.0,,,,,,,Red,KO/TKO,Punch
Jim Miller,Takanori Gomi,-290,245,34.48275862,245.0,7/9/2016,"Las Vegas, Nevada, USA", USA,Red,False,Lightweight,MALE,3,2,0,0,36.4,0.319,0.0,0.1,0.05,2,6,20,0,0,1,1,2,0,0,4,Southpaw,170.18,177.8,155,2,0,0,26.86363636,0.358636364,1.5909090909999999,1.181818182,0.41772727299999995,7,8,52,0,0,1,5,2,6,0,14,Southpaw,172.72,180.34,155,32,37,0,0,-5,-10,2,-32,0,0,-6,-2.54,-2.54,-5,9.53636364,-1.5909090909999999,-1.0818181820000001,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches
Joanna Jedrzejczyk,Claudia Gadelha,-130,110,76.92307692,110.0,7/8/2016,"Las Vegas, Nevada, USA", USA,Red,True,Women's Strawweight,FEMALE,5,0,1,0,69.33333333,0.41333333299999997,1.0,5.333333333,0.7533333329999999,1,1,9,0,0,0,2,0,0,0,2,Orthodox,162.56,160.02,115,0,5,0,96.6,0.434,0.0,0.0,0.0,5,0,16,3,0,1,2,2,0,0,5,Orthodox,167.64,165.1,125,28,27,0,-4,-4,-3,-1,-7,-3,-2,0,-5.08,-5.08,1,-27.26666667,1.0,5.333333333,0,1,1.0,0.0,,,0.0,,,,,,,,,,12.0,,,1.0,,,,,,,,,,,Red,U-DEC,
Andrew Sanchez,Khalil Rountree Jr.,-160,140,62.5,140.0,7/8/2016,"Las Vegas, Nevada, USA", USA,Red,True,Light Heavyweight,MALE,4,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,185.42,193.04,205,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,187.96,185,28,26,0,0,0,0,0,0,0,0,0,0.0,5.08,2,0.0,0.0,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Tatiana Suarez,Amanda Cooper,-370,310,27.02702703,310.0,7/8/2016,"Las Vegas, Nevada, USA", USA,Red,True,Women's Strawweight,FEMALE,4,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Switch,160.02,162.56,115,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,165.1,167.64,115,25,24,0,0,0,0,0,0,0,0,0,-5.08,-5.08,1,0.0,0.0,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,D'Arce Choke
Ross Pearson,Will Brooks,305,-365,305.0,27.39726027,7/8/2016,"Las Vegas, Nevada, USA", USA,Blue,False,Lightweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,155,0,1,0,41.21052632,0.42210526299999995,0.0,0.684210526,0.36842105299999994,3,8,48,1,0,2,4,4,0,1,11,Orthodox,172.72,175.26,155,31,29,0,-1,-3,-11,8,-48,-1,-5,0,5.08,7.62,2,-41.21052632,0.0,-0.684210526,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Dooho Choi,Thiago Tavares,-220,180,45.45454545,180.0,7/8/2016,"Las Vegas, Nevada, USA", USA,Red,False,Featherweight,MALE,3,0,1,0,19.23529412,0.429411765,0.9411764709999999,2.352941176,0.464705882,2,7,37,0,0,0,4,1,5,0,10,Orthodox,170.18,172.72,145,0,2,0,14.0,0.675,0.0,0.0,0.0,2,0,2,0,0,0,0,2,0,0,2,Orthodox,177.8,177.8,145,25,31,0,-1,0,8,-7,35,0,-1,5,-7.62,-5.08,-6,5.23529412,0.9411764709999999,2.352941176,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch
Joaquim Silva,Andrew Holbrook,115,-135,115.0,74.07407407,7/8/2016,"Las Vegas, Nevada, USA", USA,Red,False,Lightweight,MALE,3,0,1,0,20.0,0.51,2.0,0.0,0.0,1,0,3,0,0,1,0,0,0,0,1,Southpaw,180.34,177.8,155,0,1,0,49.0,0.3,0.0,0.0,0.0,1,0,3,0,0,1,0,0,0,0,1,Orthodox,172.72,175.26,155,27,30,0,0,0,0,0,0,0,0,0,7.62,2.54,-3,-29.0,2.0,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch
Gray Maynard,Fernando Bruno,-165,145,60.60606061,145.0,7/8/2016,"Las Vegas, Nevada, USA", USA,Red,False,Featherweight,MALE,3,1,0,0,20.0,0.62,0.0,2.0,0.18,0,1,3,1,0,0,0,0,0,0,0,Southpaw,167.64,177.8,145,4,0,0,26.375,0.365,0.5625,2.25,0.445625,8,7,45,2,0,3,5,1,0,0,9,Orthodox,175.26,177.8,155,37,34,3,0,-8,-9,6,-42,-1,-1,0,-7.62,0.0,3,-6.375,-0.5625,-0.25,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
John Moraga,Matheus Nicolau,-140,120,71.42857143,120.0,7/8/2016,"Las Vegas, Nevada, USA", USA,Blue,False,Flyweight,MALE,3,0,1,0,46.0,0.59,3.0,3.0,0.75,1,0,3,0,0,0,0,0,1,0,1,Orthodox,167.64,167.64,125,1,0,0,30.625,0.42,0.75,0.5,0.18125,2,3,22,1,0,1,0,1,3,0,5,Orthodox,167.64,167.64,125,32,23,1,1,-1,-4,3,-19,-1,-1,-2,0.0,0.0,9,15.375,2.25,2.5,0,1,,6.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,Red,,
