R_fighter,B_fighter,date,finish,finish_details
Demetrious Johnson,John Moraga,7/27/2013,SUB,Armbar
Rory MacDonald,Jake Ellenberger,7/27/2013,U-DEC,
Robbie Lawler,Bobby Voelker,7/27/2013,KO/TKO,Kick
Liz Carmouche,Jessica Andrade,7/27/2013,KO/TKO,Punches
Michael Chiesa,Jorge Masvidal,7/27/2013,SUB,D'Arce Choke
Danny Castillo,Tim Means,7/27/2013,U-DEC,
Mac Danzig,Melvin Guillard,7/27/2013,KO/TKO,Punch
Yves Edwards,Daron Cruickshank,7/27/2013,S-DEC,
Ed Herman,Trevor Smith,7/27/2013,S-DEC,
Julie Kedzie,Germaine de Randamie,7/27/2013,S-DEC,
Aaron Riley,Justin Salas,7/27/2013,S-DEC,
John Albert,Yaotzin Meza,7/27/2013,SUB,Rear Naked Choke
Anderson Silva,Chris Weidman,7/6/2013,KO/TKO,Punch
Frankie Edgar,Charles Oliveira,7/6/2013,U-DEC,
Tim Kennedy,Roger Gracie,7/6/2013,U-DEC,
Mark Munoz,Tim Boetsch,7/6/2013,U-DEC,
Cub Swanson,Dennis Siver,7/6/2013,KO/TKO,Punches
Chris Leben,Andrew Craig,7/6/2013,S-DEC,
Norman Parke,Kazuki Tokudome,7/6/2013,U-DEC,
Gabriel Gonzaga,Dave Herman,7/6/2013,KO/TKO,Punch
Edson Barboza,Rafaello Oliveira,7/6/2013,KO/TKO,Kicks
Seth Baczynski,Brian Melancon,7/6/2013,KO/TKO,Punches
Mike Pierce,David Mitchell,7/6/2013,KO/TKO,Knee
Rashad Evans,Dan Henderson,6/15/2013,S-DEC,
Roy Nelson,Stipe Miocic,6/15/2013,U-DEC,
Ryan Jimmo,Igor Pokrajac,6/15/2013,U-DEC,
Alexis Davis,Rosi Sexton,6/15/2013,U-DEC,
Pat Barry,Shawn Jordan,6/15/2013,KO/TKO,Punches
Jake Shields,Tyron Woodley,6/15/2013,S-DEC,
Sam Stout,James Krause,6/15/2013,SUB,Guillotine Choke
Sean Pierson,Kenny Robertson,6/15/2013,M-DEC,
Roland Delorme,Edwin Figueroa,6/15/2013,U-DEC,
Mitch Clarke,John Maguire,6/15/2013,U-DEC,
Yves Jabouin,Dustin Pague,6/15/2013,S-DEC,
Minotauro Nogueira,Fabricio Werdum,6/8/2013,,
William Patolino,Leonardo Santos,6/8/2013,,
Thiago Silva,Rafael Feijao,6/8/2013,,
Erick Silva,Jason High,6/8/2013,SUB,Armbar
Daniel Sarafian,Eddie Mendez,6/8/2013,SUB,Arm Triangle
Rony Jason,Mike Wilkinson,6/8/2013,SUB,Triangle Choke
Raphael Assuncao,Vaughan Lee,6/8/2013,SUB,Armbar
Godofredo Pepey,Felipe Arantes,6/8/2013,KO/TKO,Elbows
Ildemar Alcantara,Leandro Silva,6/8/2013,U-DEC,
Rodrigo Damm,Mizuto Hirota,6/8/2013,S-DEC,
Caio Magalhaes,Karlos Vemola,6/8/2013,SUB,Rear Naked Choke
Antonio Braga Neto,Anthony Smith,6/8/2013,SUB,Kneebar
Cain Velasquez,Antonio Silva,5/25/2013,KO/TKO,Punch
Junior Dos Santos,Mark Hunt,5/25/2013,KO/TKO,Kick
Glover Teixeira,James Te Huna,5/25/2013,SUB,Guillotine Choke
Gray Maynard,TJ Grant,5/25/2013,KO/TKO,Punches
Donald Cerrone,KJ Noons,5/25/2013,U-DEC,
Mike Pyle,Rick Story,5/25/2013,S-DEC,
Dennis Bermudez,Max Holloway,5/25/2013,S-DEC,
Colton Smith,Robert Whittaker,5/25/2013,KO/TKO,Punch
Khabib Nurmagomedov,Abel Trujillo,5/25/2013,U-DEC,
Stephen Thompson,Nah-Shon Burrell,5/25/2013,U-DEC,
Brian Bowles,George Roop,5/25/2013,KO/TKO,Punch
Jeremy Stephens,Estevan Payan,5/25/2013,U-DEC,
Vitor Belfort,Luke Rockhold,5/18/2013,KO/TKO,Kick
Jacare Souza,Chris Camozzi,5/18/2013,SUB,Arm Triangle
Rafael Dos Anjos,Evan Dunham,5/18/2013,U-DEC,
Rafael Natal,Joao Zeferino,5/18/2013,U-DEC,
Hacran Dias,Nik Lentz,5/18/2013,U-DEC,
Francisco Trinaldo,Mike Rio,5/18/2013,SUB,Arm Triangle
Gleison Tibau,John Cholish,5/18/2013,SUB,Guillotine Choke
Paulo Thiago,Michel Prazeres,5/18/2013,U-DEC,
Iuri Alcantara,Iliarde Santos,5/18/2013,KO/TKO,Punch
Fabio Maldonado,Roger Hollett,5/18/2013,U-DEC,
John Lineker,Azamat Gashimov,5/18/2013,KO/TKO,Punch
Jussier Formiga,Chris Cariaso,5/18/2013,U-DEC,
Lucas Martins,Jeremy Larsen,5/18/2013,KO/TKO,Punch
Jon Jones,Chael Sonnen,4/27/2013,KO/TKO,Punches
Michael Bisping,Alan Belcher,4/27/2013,U-DEC,
Roy Nelson,Cheick Kongo,4/27/2013,KO/TKO,Punch
Phil Davis,Vinny Magalhaes,4/27/2013,U-DEC,
Rustam Khabilov,Yancy Medeiros,4/27/2013,KO/TKO,
Gian Villante,Ovince Saint Preux,4/27/2013,M-DEC,
Sara McMann,Sheila Gaff,4/27/2013,KO/TKO,Punches
Bryan Caraway,Johnny Bedford,4/27/2013,SUB,Guillotine Choke
Leonard Garcia,Cody McKenzie,4/27/2013,U-DEC,
Steven Siler,Kurt Holobaugh,4/27/2013,U-DEC,
Benson Henderson,Gilbert Melendez,4/20/2013,S-DEC,
Frank Mir,Daniel Cormier,4/20/2013,U-DEC,
Nate Diaz,Josh Thomson,4/20/2013,KO/TKO,Kick
Matt Brown,Jordan Mein,4/20/2013,KO/TKO,Elbows
Chad Mendes,Darren Elkins,4/20/2013,KO/TKO,Punch
Francis Carmont,Lorenz Larkin,4/20/2013,U-DEC,
Ramsey Nijem,Myles Jury,4/20/2013,KO/TKO,Punch
Joseph Benavidez,Darren Uyenoyama,4/20/2013,KO/TKO,Punch
Tim Means,Jorge Masvidal,4/20/2013,U-DEC,
TJ Dillashaw,Hugo Viana,4/20/2013,KO/TKO,Punches
Anthony Njokuani,Roger Bowling,4/20/2013,KO/TKO,Punch
Clifford Starks,Yoel Romero,4/20/2013,KO/TKO,Flying Knee
Urijah Faber,Scott Jorgensen,4/13/2013,SUB,Rear Naked Choke
Uriah Hall,Kelvin Gastelum,4/13/2013,S-DEC,
Miesha Tate,Cat Zingano,4/13/2013,KO/TKO,Knees
Travis Browne,Gabriel Gonzaga,4/13/2013,KO/TKO,Elbows
Bubba McDaniel,Gilbert Smith,4/13/2013,,
Josh Samman,Kevin Casey,4/13/2013,KO/TKO,Knee
Luke Barnatt,Collin Hart,4/13/2013,U-DEC,
Dylan Andrews,Jimmy Quinlan,4/13/2013,KO/TKO,Punch
Bristol Marunde,Clint Hester,4/13/2013,KO/TKO,Elbow
Cole Miller,Bart Palaszewski,4/13/2013,SUB,Rear Naked Choke
Sam Sicilia,Maximo Blanco,4/13/2013,U-DEC,
Justin Lawrence,Daniel Pineda,4/13/2013,SUB,Kimura
Gegard Mousasi,Ilir Latifi,4/6/2013,U-DEC,
Ryan Couture,Ross Pearson,4/6/2013,KO/TKO,Punches
Matt Mitrione,Philip De Fries,4/6/2013,KO/TKO,Punches
Brad Pickett,Mike Easton,4/6/2013,S-DEC,
Diego Brandao,Pablo Garza,4/6/2013,SUB,Arm Triangle
Akira Corassani,Robert Peralta,4/6/2013,U-DEC,
Reza Madadi,Michael Johnson,4/6/2013,SUB,D'Arce Choke
Tor Troeng,Adam Cella,4/6/2013,SUB,Rear Naked Choke
Chris Spang,Adlan Amagov,4/6/2013,U-DEC,
Marcus Brimage,Conor McGregor,4/6/2013,KO/TKO,Punches
Benny Alloway,Ryan LaFlare,4/6/2013,,
Michael Kuiper,Tom Lawlor,4/6/2013,SUB,Guillotine Choke
Papy Abedi,Besam Yousef,4/6/2013,S-DEC,
Georges St-Pierre,Nick Diaz,3/16/2013,U-DEC,
Carlos Condit,Johny Hendricks,3/16/2013,U-DEC,
Jake Ellenberger,Nate Marquardt,3/16/2013,KO/TKO,Punch
Nick Ring,Chris Camozzi,3/16/2013,S-DEC,
Mike Ricci,Colin Fletcher,3/16/2013,U-DEC,
Patrick Cote,Bobby Voelker,3/16/2013,U-DEC,
Antonio Carvalho,Darren Elkins,3/16/2013,KO/TKO,Punch
Dan Miller,Jordan Mein,3/16/2013,KO/TKO,Punches
John Makdessi,Daron Cruickshank,3/16/2013,U-DEC,
Rick Story,Quinn Mulhern,3/16/2013,KO/TKO,Punch
TJ Dillashaw,Issei Tamura,3/16/2013,KO/TKO,Kick
George Roop,Reuben Duran,3/16/2013,U-DEC,
Wanderlei Silva,Brian Stann,3/2/2013,KO/TKO,Punch
Stefan Struve,Mark Hunt,3/2/2013,KO/TKO,Punch
Takanori Gomi,Diego Sanchez,3/2/2013,S-DEC,
Yushin Okami,Hector Lombard,3/2/2013,S-DEC,
Mizuto Hirota,Rani Yahya,3/2/2013,U-DEC,
Dong Hyun Kim,Siyar Bahadurzada,3/2/2013,U-DEC,
Riki Fukuda,Brad Tavares,3/2/2013,U-DEC,
Takeya Mizugaki,Bryan Caraway,3/2/2013,S-DEC,
Cristiano Marcello,Kazuki Tokudome,3/2/2013,U-DEC,
Marcelo Guimaraes,Hyun Gyu Lim,3/2/2013,KO/TKO,Knee
Ronda Rousey,Liz Carmouche,2/23/2013,SUB,Armbar
Lyoto Machida,Dan Henderson,2/23/2013,S-DEC,
Urijah Faber,Ivan Menjivar,2/23/2013,SUB,Rear Naked Choke
Court McGee,Josh Neer,2/23/2013,U-DEC,
Josh Koscheck,Robbie Lawler,2/23/2013,KO/TKO,Punches
Brendan Schaub,Lavar Johnson,2/23/2013,U-DEC,
Michael Chiesa,Anton Kuivanen,2/23/2013,SUB,Rear Naked Choke
Dennis Bermudez,Matt Grice,2/23/2013,S-DEC,
Sam Stout,Caros Fodor,2/23/2013,S-DEC,
Kenny Robertson,Brock Jardine,2/23/2013,SUB,Kneebar
Jon Manley,Neil Magny,2/23/2013,U-DEC,
Nah-Shon Burrell,Yuri Villefort,2/23/2013,U-DEC,
Renan Barao,Michael McDonald,2/16/2013,SUB,Arm Triangle
Cub Swanson,Dustin Poirier,2/16/2013,U-DEC,
Jimi Manuwa,Cyrille Diabate,2/16/2013,KO/TKO,
Gunnar Nelson,Jorge Santiago,2/16/2013,U-DEC,
James Te Huna,Ryan Jimmo,2/16/2013,U-DEC,
Terry Etim,Renee Forte,2/16/2013,U-DEC,
Paul Sass,Danny Castillo,2/16/2013,U-DEC,
Andy Ogle,Josh Grispi,2/16/2013,U-DEC,
Tom Watson,Stanislav Nedkov,2/16/2013,KO/TKO,Knee
Vaughan Lee,Motonobu Tezuka,2/16/2013,U-DEC,
Phil Harris,Ulysses Gomez,2/16/2013,U-DEC,
Jose Aldo,Frankie Edgar,2/2/2013,U-DEC,
Rashad Evans,Rogerio Nogueira,2/2/2013,U-DEC,
Alistair Overeem,Antonio Silva,2/2/2013,KO/TKO,Punches
Jon Fitch,Demian Maia,2/2/2013,U-DEC,
Joseph Benavidez,Ian McCall,2/2/2013,U-DEC,
Gleison Tibau,Evan Dunham,2/2/2013,S-DEC,
Tyron Woodley,Jay Hieron,2/2/2013,KO/TKO,Punch
Jacob Volkmann,Bobby Green,2/2/2013,SUB,Rear Naked Choke
Yves Edwards,Isaac Vallie-Flagg,2/2/2013,S-DEC,
Chico Camus,Dustin Kimura,2/2/2013,SUB,Rear Naked Choke
Edwin Figueroa,Francisco Rivera,2/2/2013,KO/TKO,Punches
Demetrious Johnson,John Dodson,1/26/2013,U-DEC,
Rampage Jackson,Glover Teixeira,1/26/2013,,
Anthony Pettis,Donald Cerrone,1/26/2013,KO/TKO,Kick
Erik Koch,Ricardo Lamas,1/26/2013,KO/TKO,Elbows
TJ Grant,Matt Wiman,1/26/2013,KO/TKO,Elbows
Clay Guida,Hatsu Hioki,1/26/2013,S-DEC,
Mike Stumpf,Pascal Krauss,1/26/2013,U-DEC,
Ryan Bader,Vladimir Matyushenko,1/26/2013,SUB,Guillotine Choke
Mike Russow,Shawn Jordan,1/26/2013,KO/TKO,
Rafael Natal,Sean Spencer,1/26/2013,SUB,Arm Triangle
Simeon Thoresen,David Mitchell,1/26/2013,U-DEC,
Vitor Belfort,Michael Bisping,1/19/2013,KO/TKO,Kick
Daniel Sarafian,CB Dollaway,1/19/2013,S-DEC,
Gabriel Gonzaga,Ben Rothwell,1/19/2013,SUB,Guillotine Choke
Thiago Tavares,Khabib Nurmagomedov,1/19/2013,KO/TKO,Elbows
Godofredo Pepey,Milton Vieira,1/19/2013,S-DEC,
Ronny Markes,Andrew Craig,1/19/2013,U-DEC,
Diego Nunes,Nik Lentz,1/19/2013,U-DEC,
Edson Barboza,Lucas Martins,1/19/2013,KO/TKO,Punches
Wagner Prado,Ildemar Alcantara,1/19/2013,SUB,Kneebar
Francisco Trinaldo,CJ Keith,1/19/2013,SUB,Arm Triangle
Junior Dos Santos,Cain Velasquez,12/29/2012,U-DEC,
Jim Miller,Joe Lauzon,12/29/2012,U-DEC,
Tim Boetsch,Costas Philippou,12/29/2012,,
Yushin Okami,Alan Belcher,12/29/2012,U-DEC,
Chris Leben,Derek Brunson,12/29/2012,U-DEC,
Brad Pickett,Eddie Wineland,12/29/2012,S-DEC,
Erik Perez,Byron Bloodworth,12/29/2012,KO/TKO,Punches
Melvin Guillard,Jamie Varner,12/29/2012,S-DEC,
Michael Johnson,Myles Jury,12/29/2012,U-DEC,
Philip De Fries,Todd Duffee,12/29/2012,KO/TKO,Punches
Leonard Garcia,Max Holloway,12/29/2012,S-DEC,
Chris Cariaso,John Moraga,12/29/2012,SUB,Guillotine Choke
Roy Nelson,Matt Mitrione,12/15/2012,KO/TKO,Punch
Colton Smith,Mike Ricci,12/15/2012,U-DEC,
Pat Barry,Shane del Rosario,12/15/2012,KO/TKO,Punch
Dustin Poirier,Jonathan Brookins,12/15/2012,SUB,D'Arce Choke
Mike Pyle,James Head,12/15/2012,KO/TKO,Knee
Johnny Bedford,Marcos Vinicius,12/15/2012,KO/TKO,Punch
Vinc Pichel,Rustam Khabilov,12/15/2012,KO/TKO,Slam
TJ Waldburger,Nick Catone,12/15/2012,SUB,Triangle Choke
Reuben Duran,Hugo Viana,12/15/2012,KO/TKO,Punch
Mike Rio,John Cofer,12/15/2012,SUB,Armbar
Jared Papazian,Tim Elliott,12/15/2012,U-DEC,
George Sotiropoulos,Ross Pearson,12/14/2012,KO/TKO,Punch
Robert Whittaker,Bradley Scott,12/14/2012,,
Colin Fletcher,Norman Parke,12/14/2012,U-DEC,
Hector Lombard,Rousimar Palhares,12/14/2012,KO/TKO,Punches
Chad Mendes,Yaotzin Meza,12/14/2012,KO/TKO,Punch
Mike Pierce,Seth Baczynski,12/14/2012,U-DEC,
Benny Alloway,Manuel Rodriguez,12/14/2012,,
Brendan Loughnane,Mike Wilkinson,12/14/2012,U-DEC,
Nick Penner,Cody Donovan,12/14/2012,KO/TKO,Punch
Benson Henderson,Nate Diaz,12/8/2012,U-DEC,
Mauricio Rua,Alexander Gustafsson,12/8/2012,U-DEC,
BJ Penn,Rory MacDonald,12/8/2012,U-DEC,
Mike Swick,Matt Brown,12/8/2012,KO/TKO,Punches
Yves Edwards,Jeremy Stephens,12/8/2012,KO/TKO,Punch
Raphael Assuncao,Mike Easton,12/8/2012,U-DEC,
Ramsey Nijem,Joe Proctor,12/8/2012,U-DEC,
Daron Cruickshank,Henry Martinez,12/8/2012,KO/TKO,Kick
Marcus LeVesseur,Abel Trujillo,12/8/2012,KO/TKO,Knees
Dennis Siver,Nam Phan,12/8/2012,U-DEC,
Scott Jorgensen,John Albert,12/8/2012,SUB,Rear Naked Choke
Georges St-Pierre,Carlos Condit,11/17/2012,U-DEC,
Johny Hendricks,Martin Kampmann,11/17/2012,KO/TKO,Punch
Francis Carmont,Tom Lawlor,11/17/2012,S-DEC,
Mark Bocek,Rafael Dos Anjos,11/17/2012,U-DEC,
Mark Hominick,Pablo Garza,11/17/2012,U-DEC,
Patrick Cote,Alessio Sakara,11/17/2012,DQ,
Cyrille Diabate,Chad Griggs,11/17/2012,SUB,Rear Naked Choke
Sam Stout,John Makdessi,11/17/2012,U-DEC,
Antonio Carvalho,Rodrigo Damm,11/17/2012,S-DEC,
Matthew Riddle,John Maguire,11/17/2012,U-DEC,
Ivan Menjivar,Azamat Gashimov,11/17/2012,SUB,Armbar
Steven Siler,Darren Elkins,11/17/2012,U-DEC,
Rich Franklin,Cung Le,11/10/2012,KO/TKO,Punch
Dong Hyun Kim,Paulo Thiago,11/10/2012,U-DEC,
Takanori Gomi,Mac Danzig,11/10/2012,S-DEC,
Tiequan Zhang,Jon Tuck,11/10/2012,U-DEC,
Takeya Mizugaki,Jeff Hougland,11/10/2012,U-DEC,
Alex Caceres,Motonobu Tezuka,11/10/2012,S-DEC,
Yasuhiro Urushitani,John Lineker,11/10/2012,U-DEC,
Riki Fukuda,Tom DeBlass,11/10/2012,U-DEC,
Anderson Silva,Stephan Bonnar,10/13/2012,KO/TKO,Knee
Minotauro Nogueira,Dave Herman,10/13/2012,,
Glover Teixeira,Fabio Maldonado,10/13/2012,KO/TKO,
Jon Fitch,Erick Silva,10/13/2012,U-DEC,
Phil Davis,Wagner Prado,10/13/2012,SUB,Anaconda Choke
Demian Maia,Rick Story,10/13/2012,SUB,Rear Naked Choke
Rony Jason,Sam Sicilia,10/13/2012,KO/TKO,Punch
Gleison Tibau,Francisco Trinaldo,10/13/2012,U-DEC,
Diego Brandao,Joey Gambino,10/13/2012,U-DEC,
Sergio Moraes,Renee Forte,10/13/2012,SUB,Rear Naked Choke
Luiz Cane,Chris Camozzi,10/13/2012,U-DEC,
Cristiano Marcello,Reza Madadi,10/13/2012,S-DEC,
Travis Browne,Antonio Silva,10/5/2012,KO/TKO,Punch
Jake Ellenberger,Jay Hieron,10/5/2012,U-DEC,
John Dodson,Jussier Formiga,10/5/2012,KO/TKO,Punch
Josh Neer,Justin Edwards,10/5/2012,SUB,Guillotine Choke
Michael Johnson,Danny Castillo,10/5/2012,KO/TKO,Punch
Aaron Simpson,Mike Pierce,10/5/2012,KO/TKO,Punch
Marcus LeVesseur,Carlo Prater,10/5/2012,S-DEC,
Jacob Volkmann,Shane Roller,10/5/2012,SUB,Rear Naked Choke
Bart Palaszewski,Diego Nunes,10/5/2012,U-DEC,
Darren Uyenoyama,Phil Harris,10/5/2012,SUB,Rear Naked Choke
Stefan Struve,Stipe Miocic,9/29/2012,KO/TKO,Punches
Dan Hardy,Amir Sadollah,9/29/2012,U-DEC,
Brad Pickett,Yves Jabouin,9/29/2012,KO/TKO,Punch
Paul Sass,Matt Wiman,9/29/2012,SUB,Armbar
John Hathaway,John Maguire,9/29/2012,U-DEC,
Che Mills,Duane Ludwig,9/29/2012,KO/TKO,
Kyle Kingsbury,Jimi Manuwa,9/29/2012,KO/TKO,
Andy Ogle,Akira Corassani,9/29/2012,S-DEC,
Tom Watson,Brad Tavares,9/29/2012,S-DEC,
DaMarques Johnson,Gunnar Nelson,9/29/2012,SUB,Rear Naked Choke
Jason Young,Robert Peralta,9/29/2012,KO/TKO,Punch
Jon Jones,Vitor Belfort,9/22/2012,SUB,Keylock
Joseph Benavidez,Demetrious Johnson,9/22/2012,S-DEC,
Michael Bisping,Brian Stann,9/22/2012,U-DEC,
Matt Hamill,Roger Hollett,9/22/2012,U-DEC,
Cub Swanson,Charles Oliveira,9/22/2012,KO/TKO,Punch
Igor Pokrajac,Vinny Magalhaes,9/22/2012,SUB,Armbar
TJ Grant,Evan Dunham,9/22/2012,U-DEC,
Sean Pierson,Lance Benoist,9/22/2012,U-DEC,
Jimy Hettes,Marcus Brimage,9/22/2012,U-DEC,
Seth Baczynski,Simeon Thoresen,9/22/2012,KO/TKO,Punch
Mitch Gagnon,Walel Watson,9/22/2012,SUB,Rear Naked Choke
Kyle Noke,Charlie Brenneman,9/22/2012,KO/TKO,Punch
Benson Henderson,Frankie Edgar,8/11/2012,S-DEC,
Donald Cerrone,Melvin Guillard,8/11/2012,KO/TKO,Kick
Yushin Okami,Buddy Roberts,8/11/2012,KO/TKO,Punches
Justin Lawrence,Max Holloway,8/11/2012,KO/TKO,Punch
Dennis Bermudez,Tommy Hayden,8/11/2012,SUB,Guillotine Choke
Jared Hamman,Michael Kuiper,8/11/2012,KO/TKO,Punch
Ken Stone,Erik Perez,8/11/2012,KO/TKO,Punch
Dustin Pague,Chico Camus,8/11/2012,U-DEC,
Nik Lentz,Eiji Mitsuoka,8/11/2012,KO/TKO,Punches
Mauricio Rua,Brandon Vera,8/4/2012,KO/TKO,Punches
Lyoto Machida,Ryan Bader,8/4/2012,KO/TKO,Punch
Joe Lauzon,Jamie Varner,8/4/2012,SUB,Triangle Choke
Mike Swick,DaMarques Johnson,8/4/2012,KO/TKO,Punch
Cole Miller,Nam Phan,8/4/2012,S-DEC,
Josh Grispi,Rani Yahya,8/4/2012,SUB,North-South Choke
Philip De Fries,Oli Thompson,8/4/2012,SUB,Other - Lock
Manvel Gamburyan,Michihiro Omigawa,8/4/2012,U-DEC,
John Moraga,Ulysses Gomez,8/4/2012,KO/TKO,Elbow
Urijah Faber,Renan Barao,7/21/2012,U-DEC,
Hector Lombard,Tim Boetsch,7/21/2012,S-DEC,
Cheick Kongo,Shawn Jordan,7/21/2012,U-DEC,
Brian Ebersole,James Head,7/21/2012,S-DEC,
Court McGee,Nick Ring,7/21/2012,U-DEC,
Anthony Perosh,Ryan Jimmo,7/21/2012,KO/TKO,Punch
Bryan Caraway,Mitch Gagnon,7/21/2012,SUB,Rear Naked Choke
Antonio Carvalho,Daniel Pineda,7/21/2012,KO/TKO,Punch
Mitch Clarke,Anton Kuivanen,7/21/2012,S-DEC,
Mark Munoz,Chris Weidman,7/11/2012,KO/TKO,Elbow
James Te Huna,Joey Beltran,7/11/2012,U-DEC,
Aaron Simpson,Kenny Robertson,7/11/2012,U-DEC,
Karlos Vemola,Francis Carmont,7/11/2012,SUB,Rear Naked Choke
TJ Dillashaw,Vaughan Lee,7/11/2012,SUB,Rear Naked Choke
Rafael Dos Anjos,Anthony Njokuani,7/11/2012,U-DEC,
Damacio Page,Alex Caceres,7/11/2012,SUB,Triangle Choke
Chris Cariaso,Josh Ferguson,7/11/2012,U-DEC,
Rafael Natal,Andrew Craig,7/11/2012,KO/TKO,Kick
Marcelo Guimaraes,Dan Stittgen,7/11/2012,S-DEC,
Raphael Assuncao,Issei Tamura,7/11/2012,KO/TKO,Punch
Anderson Silva,Chael Sonnen,7/7/2012,KO/TKO,Punch
Forrest Griffin,Tito Ortiz,7/7/2012,U-DEC,
Cung Le,Patrick Cote,7/7/2012,U-DEC,
Dong Hyun Kim,Demian Maia,7/7/2012,KO/TKO,
Chad Mendes,Cody McKenzie,7/7/2012,KO/TKO,Punch
Ivan Menjivar,Mike Easton,7/7/2012,U-DEC,
Melvin Guillard,Fabricio Camoes,7/7/2012,U-DEC,
Gleison Tibau,Khabib Nurmagomedov,7/7/2012,U-DEC,
Costas Philippou,Riki Fukuda,7/7/2012,,
John Alessio,Shane Roller,7/7/2012,U-DEC,
Rafaello Oliveira,Yoislandy Izquierdo,7/7/2012,U-DEC,
Wanderlei Silva,Rich Franklin,6/23/2012,U-DEC,
Cezar Ferreira,Sergio Moraes,6/23/2012,U-DEC,
Godofredo Pepey,Rony Jason,6/23/2012,U-DEC,
Fabricio Werdum,Mike Russow,6/23/2012,KO/TKO,Punch
Iuri Alcantara,Hacran Dias,6/23/2012,U-DEC,
Anistavio Medeiros,Rodrigo Damm,6/23/2012,SUB,Rear Naked Choke
Delson Heleno,Francisco Trinaldo,6/23/2012,KO/TKO,Punches
John Teixeira,Hugo Viana,6/23/2012,S-DEC,
Thiago Perpetuo,Leonardo Mafra,6/23/2012,KO/TKO,Punch
Marcos Vinicius,Wagner Campos,6/23/2012,KO/TKO,Punches
Gray Maynard,Clay Guida,6/22/2012,S-DEC,
Sam Stout,Spencer Fisher,6/22/2012,U-DEC,
Brian Ebersole,TJ Waldburger,6/22/2012,U-DEC,
Ross Pearson,Cub Swanson,6/22/2012,KO/TKO,Punch
Hatsu Hioki,Ricardo Lamas,6/22/2012,U-DEC,
Ramsey Nijem,CJ Keith,6/22/2012,KO/TKO,Punch
Rick Story,Brock Jardine,6/22/2012,U-DEC,
Steven Siler,Joey Gambino,6/22/2012,SUB,Guillotine Choke
Nick Catone,Chris Camozzi,6/22/2012,KO/TKO,
Matt Brown,Luis Ramos,6/22/2012,KO/TKO,Knees
Dan Miller,Ricardo Funch,6/22/2012,SUB,Guillotine Choke
Ken Stone,Dustin Pague,6/22/2012,S-DEC,
Demetrious Johnson,Ian McCall,6/8/2012,U-DEC,
Erick Silva,Charlie Brenneman,6/8/2012,SUB,Rear Naked Choke
Mike Pyle,Josh Neer,6/8/2012,KO/TKO,Punch
Eddie Wineland,Scott Jorgensen,6/8/2012,KO/TKO,Punch
Mike Pierce,Carlos Eduardo Rocha,6/8/2012,U-DEC,
Seth Baczynski,Lance Benoist,6/8/2012,S-DEC,
Leonard Garcia,Matt Grice,6/8/2012,U-DEC,
Dustin Pague,Jared Papazian,6/8/2012,SUB,Rear Naked Choke
Tim Means,Justin Salas,6/8/2012,KO/TKO,Punches
Buddy Roberts,Caio Magalhaes,6/8/2012,U-DEC,
Henry Martinez,Bernardo Magalhaes,6/8/2012,S-DEC,
Jake Hecht,Sean Pierson,6/8/2012,U-DEC,
Jake Ellenberger,Martin Kampmann,6/1/2012,KO/TKO,Knee
Michael Chiesa,Al Iaquinta,6/1/2012,SUB,Rear Naked Choke
Jonathan Brookins,Charles Oliveira,6/1/2012,SUB,Guillotine Choke
Max Holloway,Pat Schilling,6/1/2012,U-DEC,
Justin Lawrence,John Cofer,6/1/2012,KO/TKO,Kick
Daron Cruickshank,Chris Tickle,6/1/2012,U-DEC,
Myles Jury,Chris Saunders,6/1/2012,SUB,Guillotine Choke
Cristiano Marcello,Sam Sicilia,6/1/2012,KO/TKO,Knee
Joe Proctor,Jeremy Larsen,6/1/2012,KO/TKO,Knee
John Albert,Erik Perez,6/1/2012,SUB,Armbar
Junior Dos Santos,Frank Mir,5/26/2012,KO/TKO,Punch
Cain Velasquez,Antonio Silva,5/26/2012,KO/TKO,Punches
Roy Nelson,Dave Herman,5/26/2012,KO/TKO,Punch
Stipe Miocic,Shane del Rosario,5/26/2012,KO/TKO,Elbows
Stefan Struve,Lavar Johnson,5/26/2012,SUB,Armbar
Diego Brandao,Darren Elkins,5/26/2012,U-DEC,
Edson Barboza,Jamie Varner,5/26/2012,KO/TKO,Punches
Jason Miller,CB Dollaway,5/26/2012,U-DEC,
Dan Hardy,Duane Ludwig,5/26/2012,KO/TKO,Punch
Jacob Volkmann,Paul Sass,5/26/2012,SUB,Triangle Choke
Kyle Kingsbury,Glover Teixeira,5/26/2012,SUB,Arm Triangle
Mike Brown,Daniel Pineda,5/26/2012,U-DEC,
Chan Sung Jung,Dustin Poirier,5/15/2012,SUB,D'Arce Choke
Amir Sadollah,Jorge Lopez,5/15/2012,S-DEC,
Donald Cerrone,Jeremy Stephens,5/15/2012,U-DEC,
Yves Jabouin,Jeff Hougland,5/15/2012,U-DEC,
Igor Pokrajac,Fabio Maldonado,5/15/2012,U-DEC,
Jason MacDonald,Tom Lawlor,5/15/2012,KO/TKO,Punch
Brad Tavares,Dongi Yang,5/15/2012,U-DEC,
Cody McKenzie,Marcus LeVesseur,5/15/2012,SUB,Guillotine Choke
TJ Grant,Carlo Prater,5/15/2012,U-DEC,
Rafael Dos Anjos,Kamal Shalorus,5/15/2012,SUB,Rear Naked Choke
Jeff Curran,Johnny Eduardo,5/15/2012,U-DEC,
Alex Soto,Francisco Rivera,5/15/2012,U-DEC,
